Team,Year,Head Coaches,Division,Conference,Wins,Losses,Ties,WL%,Notes
Air Force Falcons,2017-18,Troy Calhoun,FBS,Mountain West,5,7,0,0.41700000000000004,
Air Force Falcons,2016-17,Troy Calhoun,FBS,Mountain West,10,3,0,0.769,
Air Force Falcons,2015-16,Troy Calhoun,FBS,Mountain West,8,6,0,0.5710000000000001,
Air Force Falcons,2014-15,Troy Calhoun,FBS,Mountain West,10,3,0,0.769,
Air Force Falcons,2013-14,Troy Calhoun,FBS,Mountain West,2,10,0,0.16699999999999998,
Air Force Falcons,2012-13,Troy Calhoun,FBS,Mountain West,6,7,0,0.462,
Air Force Falcons,2011-12,Troy Calhoun,FBS,Mountain West,7,6,0,0.5379999999999999,Military Bowl
Air Force Falcons,2010-11,Troy Calhoun,FBS,Mountain West,9,4,0,0.6920000000000001,Independence Bowl
Air Force Falcons,2009-10,Troy Calhoun,FBS,Mountain West,8,5,0,0.615,Armed Forces Bowl
Air Force Falcons,2008-09,Troy Calhoun,FBS,Mountain West,8,5,0,0.615,Armed Forces Bowl
Air Force Falcons,2007-08,Troy Calhoun,FBS,Mountain West,9,4,0,0.6920000000000001,Armed Forces Bowl
Air Force Falcons,2006-07,Fisher DeBerry,FBS,Mountain West,4,8,0,0.33299999999999996,
Air Force Falcons,2005-06,Fisher DeBerry,FBS,Mountain West,4,7,0,0.364,
Air Force Falcons,2004-05,Fisher DeBerry,FBS,Mountain West,5,6,0,0.455,
Air Force Falcons,2003-04,Fisher DeBerry,FBS,Mountain West,7,5,0,0.583,
Air Force Falcons,2002-03,Fisher DeBerry,FBS,Mountain West,8,5,0,0.615,San Francisco Bowl
Air Force Falcons,2001-02,Fisher DeBerry,FBS,Mountain West,6,6,0,0.5,
Air Force Falcons,2000-01,Fisher DeBerry,FBS,Mountain West,9,3,0,0.75,Silicon Valley Bowl
Air Force Falcons,1999-00,Fisher DeBerry,FBS,-,6,5,0,0.545,
Air Force Falcons,1998-99,Fisher DeBerry,FBS,-,12,1,0,0.9229999999999999,Oahu Bowl
Air Force Falcons,1997-98,Fisher DeBerry,FBS,-,10,3,0,0.769,Las Vegas Bowl
Air Force Falcons,1996-97,Fisher DeBerry,FBS,-,6,5,0,0.545,
Air Force Falcons,1995-96,Fisher DeBerry,FBS,-,8,5,0,0.615,Copper Bowl
Air Force Falcons,1994-95,Fisher DeBerry,FBS,-,8,4,0,0.667,
Air Force Falcons,1993-94,Fisher DeBerry,FBS,-,4,8,0,0.33299999999999996,
Air Force Falcons,1992-93,Fisher DeBerry,FBS,-,7,5,0,0.583,Liberty Bowl
Air Force Falcons,1991-92,Fisher DeBerry,FBS,-,10,3,0,0.769,Liberty Bowl
Air Force Falcons,1990-91,Fisher DeBerry,FBS,-,7,5,0,0.583,Liberty Bowl
Air Force Falcons,1989-90,Fisher DeBerry,FBS,-,8,4,1,0.654,Liberty Bowl
Air Force Falcons,1988-89,Fisher DeBerry,FBS,-,5,7,0,0.41700000000000004,
Air Force Falcons,1987-88,Fisher DeBerry,FBS,-,9,4,0,0.6920000000000001,Freedom Bowl
Air Force Falcons,1986-87,Fisher DeBerry,FBS,-,6,5,0,0.545,
Air Force Falcons,1985-86,Fisher DeBerry,FBS,-,12,1,0,0.9229999999999999,Bluebonnet Bowl
Air Force Falcons,1984-85,Fisher DeBerry,FBS,-,8,4,0,0.667,Independence Bowl
Air Force Falcons,1983-84,Ken Hatfield,FBS,-,10,2,0,0.833,Independence Bowl
Air Force Falcons,1982-83,Ken Hatfield,FBS,-,8,5,0,0.615,Hall of Fame Bowl
Air Force Falcons,1981-82,Ken Hatfield,FBS,-,4,7,0,0.364,
Air Force Falcons,1980-81,Ken Hatfield,FBS,-,2,9,1,0.20800000000000002,
Air Force Falcons,1979-80,Ken Hatfield,FBS,-,2,9,0,0.182,
Air Force Falcons,1978-79,Bill Parcells,,-,3,8,0,0.273,
Air Force Falcons,1977-78,Ben Martin,FBS,-,2,8,1,0.22699999999999998,
Air Force Falcons,1976-77,Ben Martin,FBS,-,4,7,0,0.364,
Air Force Falcons,1975-76,Ben Martin,FBS,-,2,8,1,0.22699999999999998,
Air Force Falcons,1974-75,Ben Martin,FBS,-,2,9,0,0.182,
Air Force Falcons,1973-74,Ben Martin,FBS,-,6,4,0,0.6,
Air Force Falcons,1972-73,Ben Martin,FBS,-,6,4,0,0.6,
Air Force Falcons,1971-72,Ben Martin,FBS,-,6,4,0,0.6,
Air Force Falcons,1970-71,Ben Martin,FBS,-,9,3,0,0.75,Sugar Bowl
Air Force Falcons,1969-70,Ben Martin,FBS,-,6,4,0,0.6,
