Team,Stat,Player,Value,Year
Air Force Falcons,APY,Anthony Lacoste,1382,2014
Air Force Falcons,FGM,Will Conant,11,2014
Air Force Falcons,Int,Christian Spears,2,2014
Air Force Falcons,Pass Eff,Sam Gagliano,360.40,2014
Air Force Falcons,Points,Will Conant,65,2014
Air Force Falcons,Punt Avg,David Baska,476.8,2014
Air Force Falcons,Punt Ret Yds,Garrett Brown,14,2014
Air Force Falcons,Rec,Garrett Brown,19,2014
Air Force Falcons,ReceivingYards,Jalen Robinette,291,2014
Air Force Falcons,Rush Net Yards,Anthony Lacoste,890,2014
Air Force Falcons,Sacks,David Harris,2.5,2014
Air Force Falcons,Tackles,Christian Spears,92,2014
Air Force Falcons,Tot Off,Anthony Lacoste,890,2014
Air Force Falcons,Team Stats,,,2014
