team,link,txt,key,match
Air Force Falcons,http://stats.ncaa.org/teams/history/MFB/721,Team History,history,True
Air Force Falcons,http://stats.ncaa.org/people/31099?sport_code=MFB,Troy Calhoun,people,True
Air Force Falcons,http://stats.ncaa.org/team/721/roster/11520,Roster,roster,True
Air Force Falcons,http://stats.ncaa.org/team/721/stats/11520,Team Statistics,stats,True
Akron Zips,http://stats.ncaa.org/teams/history/MFB/5,Team History,history,True
Akron Zips,http://stats.ncaa.org/people/25564?sport_code=MFB,Terry Bowden,people,True
Akron Zips,http://stats.ncaa.org/team/5/roster/11520,Roster,roster,True
Akron Zips,http://stats.ncaa.org/team/5/stats/11520,Team Statistics,stats,True
Alabama Crimson Tide,http://stats.ncaa.org/teams/history/MFB/8,Team History,history,True
Alabama Crimson Tide,http://stats.ncaa.org/people/2826?sport_code=MFB,Nick Saban,people,True
Alabama Crimson Tide,http://stats.ncaa.org/team/8/roster/11520,Roster,roster,True
Alabama Crimson Tide,http://stats.ncaa.org/team/8/stats/11520,Team Statistics,stats,True
Appalachian St. Mountaineers,http://stats.ncaa.org/teams/history/MFB/27,Team History,history,True
Appalachian St. Mountaineers,http://stats.ncaa.org/people/41727?sport_code=MFB,Scott Satterfield,people,True
Appalachian St. Mountaineers,http://stats.ncaa.org/team/27/roster/11520,Roster,roster,True
Appalachian St. Mountaineers,http://stats.ncaa.org/team/27/stats/11520,Team Statistics,stats,True
Arizona Wildcats,http://stats.ncaa.org/teams/history/MFB/29,Team History,history,True
Arizona Wildcats,http://stats.ncaa.org/people/3089?sport_code=MFB,Rich Rodriguez,people,True
Arizona Wildcats,http://stats.ncaa.org/team/29/roster/11520,Roster,roster,True
Arizona Wildcats,http://stats.ncaa.org/team/29/stats/11520,Team Statistics,stats,True
Arkansas Razorbacks,http://stats.ncaa.org/teams/history/MFB/31,Team History,history,True
Arkansas Razorbacks,http://stats.ncaa.org/people/28008?sport_code=MFB,Bret Bielema,people,True
Arkansas Razorbacks,http://stats.ncaa.org/team/31/roster/11520,Roster,roster,True
Arkansas Razorbacks,http://stats.ncaa.org/team/31/stats/11520,Team Statistics,stats,True
Army West Point Black Knights,http://stats.ncaa.org/teams/history/MFB/725,Team History,history,True
Army West Point Black Knights,http://stats.ncaa.org/people/3078?sport_code=MFB,Rich Ellerson,people,True
Army West Point Black Knights,http://stats.ncaa.org/team/725/roster/11520,Roster,roster,True
