Link,Stat,Team,Year
http://stats.ncaa.org/team/721/stats?id=11980&year_stat_category_id=10762,Passing,Air Force Falcons,2014-15
http://stats.ncaa.org/team/721/stats?id=11980&year_stat_category_id=10763,Receiving,Air Force Falcons,2014-15
http://stats.ncaa.org/team/721/stats?id=11980&year_stat_category_id=10764,Total Offense,Air Force Falcons,2014-15
http://stats.ncaa.org/team/721/stats?id=11980&year_stat_category_id=10765,All-Purpose Yards,Air Force Falcons,2014-15
http://stats.ncaa.org/team/721/stats?id=11980&year_stat_category_id=10766,Scoring,Air Force Falcons,2014-15
http://stats.ncaa.org/team/721/stats?id=11980&year_stat_category_id=10767,Sacks,Air Force Falcons,2014-15
http://stats.ncaa.org/team/721/stats?id=11980&year_stat_category_id=10768,Tackles,Air Force Falcons,2014-15
http://stats.ncaa.org/team/721/stats?id=11980&year_stat_category_id=10769,Passes Defended,Air Force Falcons,2014-15
http://stats.ncaa.org/team/721/stats?id=11980&year_stat_category_id=10770,Fumbles,Air Force Falcons,2014-15
http://stats.ncaa.org/team/721/stats?id=11980&year_stat_category_id=10771,Kicking,Air Force Falcons,2014-15
http://stats.ncaa.org/team/721/stats?id=11980&year_stat_category_id=10772,Punting,Air Force Falcons,2014-15
http://stats.ncaa.org/team/721/stats?id=11980&year_stat_category_id=10773,Punt Returns,Air Force Falcons,2014-15
http://stats.ncaa.org/team/721/stats?id=11980&year_stat_category_id=10774,Kickoffs and KO Returns,Air Force Falcons,2014-15
http://stats.ncaa.org/team/721/stats?id=11980&year_stat_category_id=10775,Redzone,Air Force Falcons,2014-15
http://stats.ncaa.org/team/721/stats?id=11980&year_stat_category_id=10776,Defense,Air Force Falcons,2014-15
http://stats.ncaa.org/team/721/stats?id=11980&year_stat_category_id=10777,Turnover Margin,Air Force Falcons,2014-15
http://stats.ncaa.org/team/721/stats?id=11980&year_stat_category_id=10778,Participation,Air Force Falcons,2014-15
