Team,Stat,Rank,Value,Year
Air Force Falcons,Total Offense,91,367.6,2014
Air Force Falcons,Rushing Offense,12,262.7,2014
Air Force Falcons,Passing Offense,121,104.9,2014
Air Force Falcons,Team Passing Efficiency,80,124.80,2014
Air Force Falcons,Scoring Offense,91,24.7,2014
Air Force Falcons,Total Defense,114,490.3,2014
Air Force Falcons,Rushing Defense,119,250.6,2014
Air Force Falcons,Passing Yards Allowed,77,239.7,2014
Air Force Falcons,Team Passing Efficiency Defense,122,170.67,2014
Air Force Falcons,Scoring Defense,116,40.0,2014
Air Force Falcons,Turnover Margin,T-86,-0.33,2014
Air Force Falcons,3rd Down Conversion Pct,36,0.442,2014
Air Force Falcons,4th Down Conversion Pct,29,0.593,2014
Air Force Falcons,3rd Down Conversion Pct Defense,123,0.589,2014
Air Force Falcons,4th Down Conversion Pct Defense,T-89,0.579,2014
Air Force Falcons,Red Zone Offense,5,0.946,2014
Air Force Falcons,Red Zone Defense,102,0.877,2014
Air Force Falcons,Net Punting,67,36.73,2014
Air Force Falcons,Punt Returns,116,3.29,2014
Air Force Falcons,Kickoff Returns,25,23.46,2014
Air Force Falcons,First Downs Offense,97,230,2014
Air Force Falcons,First Downs Defense,123,330,2014
Air Force Falcons,Fewest Penalties Per Game,23,4.42,2014
Air Force Falcons,Fewest Penalty Yards Per Game,15,35.67,2014
Air Force Falcons,Time of Possession,108,27:34,2014
Air Force Falcons,View Complete Ranking Summary,,,2014
