Date,Opponent,Result,Team
08/30/2014,Nicholls St.,W 44 - 16,Air Force Falcons
09/06/2014,@ Wyoming,L 13 - 17,Air Force Falcons
09/13/2014,@ Georgia St.,W 48 - 38,Air Force Falcons
09/27/2014,Boise St.,W 28 - 14,Air Force Falcons
10/04/2014,Navy,W 30 - 21,Air Force Falcons
10/11/2014,@ Utah St.,L 16 - 34,Air Force Falcons
10/18/2014,New Mexico,W 35 - 31,Air Force Falcons
11/01/2014,@ Army West Point,W 23 - 6,Air Force Falcons
11/08/2014,@ UNLV,W 48 - 21,Air Force Falcons
11/15/2014,Nevada,W 45 - 38 (1OT),Air Force Falcons
11/21/2014,@ San Diego St.,L 14 - 30,Air Force Falcons
11/28/2014,Colorado St.,W 27 - 24,Air Force Falcons
12/20/2014,"Western Mich. @ Boise, Idaho",W 38 - 24,Air Force Falcons
