Date,Opponent,Result,G,FumblesRecovered,Int,Blkd,Team,OffenseDefense
09/05/2015,"Texas A&M @ Houston, Texas",L 17 - 38,1/,1,2,nan,Arizona St. Sun Devils,Offense
09/05/2015,"Texas A&M @ Houston, Texas",L 17 - 38,1/,2,nan,nan,Arizona St. Sun Devils,Defense
09/12/2015,Cal Poly,W 35 - 21,1/,nan,nan,nan,Arizona St. Sun Devils,Offense
09/12/2015,Cal Poly,W 35 - 21,1/,1,1,nan,Arizona St. Sun Devils,Defense
09/18/2015,New Mexico,W 34 - 10,1/,nan,1,nan,Arizona St. Sun Devils,Offense
09/18/2015,New Mexico,W 34 - 10,1/,1,nan,nan,Arizona St. Sun Devils,Defense
09/26/2015,Southern California,L 14 - 42,1/,1,1,nan,Arizona St. Sun Devils,Offense
09/26/2015,Southern California,L 14 - 42,1/,3,1,nan,Arizona St. Sun Devils,Defense
10/03/2015,@ UCLA,W 38 - 23,1/,nan,1,nan,Arizona St. Sun Devils,Offense
10/03/2015,@ UCLA,W 38 - 23,1/,nan,1,nan,Arizona St. Sun Devils,Defense
10/10/2015,Colorado,W 48 - 23,1/,1,1,1,Arizona St. Sun Devils,Offense
10/10/2015,Colorado,W 48 - 23,1/,nan,1,nan,Arizona St. Sun Devils,Defense
10/17/2015,@ Utah,L 18 - 34,1/,nan,nan,nan,Arizona St. Sun Devils,Offense
10/17/2015,@ Utah,L 18 - 34,1/,1,1,nan,Arizona St. Sun Devils,Defense
10/29/2015,Oregon,L 55 - 61 (3OT),1/,nan,1,nan,Arizona St. Sun Devils,Offense
10/29/2015,Oregon,L 55 - 61 (3OT),1/,nan,2,nan,Arizona St. Sun Devils,Defense
11/07/2015,@ Washington St.,L 24 - 38,1/,nan,1,nan,Arizona St. Sun Devils,Offense
11/07/2015,@ Washington St.,L 24 - 38,1/,1,1,nan,Arizona St. Sun Devils,Defense
11/14/2015,Washington,W 27 - 17,1/,1,3,nan,Arizona St. Sun Devils,Offense
11/14/2015,Washington,W 27 - 17,1/,nan,nan,nan,Arizona St. Sun Devils,Defense
11/21/2015,Arizona,W 52 - 37,1/,1,2,nan,Arizona St. Sun Devils,Offense
11/21/2015,Arizona,W 52 - 37,1/,1,1,nan,Arizona St. Sun Devils,Defense
11/28/2015,@ California,L 46 - 48,1/,1,nan,nan,Arizona St. Sun Devils,Offense
11/28/2015,@ California,L 46 - 48,1/,nan,nan,nan,Arizona St. Sun Devils,Defense
01/02/2016,"West Virginia @ Phoenix, Ariz.",L 42 - 43,1/,nan,2,1,Arizona St. Sun Devils,Offense
01/02/2016,"West Virginia @ Phoenix, Ariz.",L 42 - 43,1/,nan,nan,nan,Arizona St. Sun Devils,Defense
09/05/2015,Howard,W 49 - 0,1/,nan,1,nan,Appalachian St. Mountaineers,Offense
09/05/2015,Howard,W 49 - 0,1/,1,nan,nan,Appalachian St. Mountaineers,Defense
09/12/2015,@ Clemson,L 10 - 41,1/,nan,2,nan,Appalachian St. Mountaineers,Offense
09/12/2015,@ Clemson,L 10 - 41,1/,1,3,nan,Appalachian St. Mountaineers,Defense
09/26/2015,@ Old Dominion,W 49 - 0,1/,2,2,nan,Appalachian St. Mountaineers,Offense
09/26/2015,@ Old Dominion,W 49 - 0,1/,1,nan,nan,Appalachian St. Mountaineers,Defense
10/03/2015,Wyoming,W 31 - 13,1/,2,1,nan,Appalachian St. Mountaineers,Offense
10/03/2015,Wyoming,W 31 - 13,1/,nan,1,nan,Appalachian St. Mountaineers,Defense
10/10/2015,@ Georgia St.,W 37 - 3,1/,1,1,nan,Appalachian St. Mountaineers,Offense
10/10/2015,@ Georgia St.,W 37 - 3,1/,nan,1,nan,Appalachian St. Mountaineers,Defense
10/17/2015,@ La.-Monroe,W 59 - 14,1/,nan,2,nan,Appalachian St. Mountaineers,Offense
10/17/2015,@ La.-Monroe,W 59 - 14,1/,1,nan,nan,Appalachian St. Mountaineers,Defense
