Date,Opponent,Result,G,FGM,FGA,FGBlocksAllowed,LongFGM,Team,OffenseDefense
09/05/2015,"Texas A&M @ Houston, Texas",L 17 - 38,1/,1,1,nan,23,Arizona St. Sun Devils,Offense
09/05/2015,"Texas A&M @ Houston, Texas",L 17 - 38,1/,1,1,nan,19,Arizona St. Sun Devils,Defense
09/12/2015,Cal Poly,W 35 - 21,1/,nan,1,nan,nan,Arizona St. Sun Devils,Offense
09/12/2015,Cal Poly,W 35 - 21,1/,nan,nan,nan,nan,Arizona St. Sun Devils,Defense
09/18/2015,New Mexico,W 34 - 10,1/,2,2,nan,24,Arizona St. Sun Devils,Offense
09/18/2015,New Mexico,W 34 - 10,1/,1,2,nan,32,Arizona St. Sun Devils,Defense
09/26/2015,Southern California,L 14 - 42,1/,nan,2,nan,nan,Arizona St. Sun Devils,Offense
09/26/2015,Southern California,L 14 - 42,1/,nan,nan,nan,nan,Arizona St. Sun Devils,Defense
10/03/2015,@ UCLA,W 38 - 23,1/,2,3,nan,31,Arizona St. Sun Devils,Offense
10/03/2015,@ UCLA,W 38 - 23,1/,1,1,nan,53,Arizona St. Sun Devils,Defense
10/10/2015,Colorado,W 48 - 23,1/,2,2,nan,26,Arizona St. Sun Devils,Offense
10/10/2015,Colorado,W 48 - 23,1/,1,1,nan,27,Arizona St. Sun Devils,Defense
10/17/2015,@ Utah,L 18 - 34,1/,3,3,nan,44,Arizona St. Sun Devils,Offense
10/17/2015,@ Utah,L 18 - 34,1/,2,2,nan,43,Arizona St. Sun Devils,Defense
10/29/2015,Oregon,L 55 - 61 (3OT),1/,2,5,nan,33,Arizona St. Sun Devils,Offense
10/29/2015,Oregon,L 55 - 61 (3OT),1/,2,2,nan,37,Arizona St. Sun Devils,Defense
11/07/2015,@ Washington St.,L 24 - 38,1/,1,1,nan,22,Arizona St. Sun Devils,Offense
11/07/2015,@ Washington St.,L 24 - 38,1/,1,1,nan,22,Arizona St. Sun Devils,Defense
11/14/2015,Washington,W 27 - 17,1/,2,2,nan,40,Arizona St. Sun Devils,Offense
11/14/2015,Washington,W 27 - 17,1/,1,2,nan,35,Arizona St. Sun Devils,Defense
11/21/2015,Arizona,W 52 - 37,1/,1,1,nan,29,Arizona St. Sun Devils,Offense
11/21/2015,Arizona,W 52 - 37,1/,3,3,nan,46,Arizona St. Sun Devils,Defense
11/28/2015,@ California,L 46 - 48,1/,6/,6/,nan,45,Arizona St. Sun Devils,Offense
11/28/2015,@ California,L 46 - 48,1/,2,2,nan,39,Arizona St. Sun Devils,Defense
01/02/2016,"West Virginia @ Phoenix, Ariz.",L 42 - 43,1/,4,5,nan,48,Arizona St. Sun Devils,Offense
01/02/2016,"West Virginia @ Phoenix, Ariz.",L 42 - 43,1/,3,3,nan,31,Arizona St. Sun Devils,Defense
