Date,Opponent,Result,G,KO,KOYds,KOTB,KORet,KickRetTDs,KORetYds,Team,OffenseDefense
09/05/2015,"Texas A&M @ Houston, Texas",L 17 - 38,1/,4,260,2,5,nan,82,Arizona St. Sun Devils,Offense
09/05/2015,"Texas A&M @ Houston, Texas",L 17 - 38,1/,7,427,2,2,nan,36,Arizona St. Sun Devils,Defense
09/12/2015,Cal Poly,W 35 - 21,1/,6,390,5,4,nan,120,Arizona St. Sun Devils,Offense
09/12/2015,Cal Poly,W 35 - 21,1/,4,224,nan,1,nan,21,Arizona St. Sun Devils,Defense
09/18/2015,New Mexico,W 34 - 10,1/,7,427,4,1,nan,34,Arizona St. Sun Devils,Offense
09/18/2015,New Mexico,W 34 - 10,1/,3,195,2,3,nan,48,Arizona St. Sun Devils,Defense
09/26/2015,Southern California,L 14 - 42,1/,3,195,3,6,nan,101,Arizona St. Sun Devils,Offense
09/26/2015,Southern California,L 14 - 42,1/,7,436,1,nan,nan,nan,Arizona St. Sun Devils,Defense
10/03/2015,@ UCLA,W 38 - 23,1/,7,453,5,3,nan,129,Arizona St. Sun Devils,Offense
10/03/2015,@ UCLA,W 38 - 23,1/,6,403,3,2,nan,57,Arizona St. Sun Devils,Defense
10/10/2015,Colorado,W 48 - 23,1/,9,585,9/,4,nan,90,Arizona St. Sun Devils,Offense
10/10/2015,Colorado,W 48 - 23,1/,5,311,1,nan,nan,nan,Arizona St. Sun Devils,Defense
10/17/2015,@ Utah,L 18 - 34,1/,5,325,4,5,1/,171,Arizona St. Sun Devils,Offense
10/17/2015,@ Utah,L 18 - 34,1/,8,499,3,nan,nan,nan,Arizona St. Sun Devils,Defense
10/29/2015,Oregon,L 55 - 61 (3OT),1/,8,515,3,3,nan,50,Arizona St. Sun Devils,Offense
10/29/2015,Oregon,L 55 - 61 (3OT),1/,8,489,5,4,1/,185,Arizona St. Sun Devils,Defense
11/07/2015,@ Washington St.,L 24 - 38,1/,5,317,4,4,nan,50,Arizona St. Sun Devils,Offense
11/07/2015,@ Washington St.,L 24 - 38,1/,7,416,3,1,nan,19,Arizona St. Sun Devils,Defense
11/14/2015,Washington,W 27 - 17,1/,6,390,6,2,nan,31,Arizona St. Sun Devils,Offense
11/14/2015,Washington,W 27 - 17,1/,4,260,2,nan,nan,nan,Arizona St. Sun Devils,Defense
11/21/2015,Arizona,W 52 - 37,1/,8,531,7,5,nan,103,Arizona St. Sun Devils,Offense
11/21/2015,Arizona,W 52 - 37,1/,7,426,2,1,nan,19,Arizona St. Sun Devils,Defense
11/28/2015,@ California,L 46 - 48,1/,11,712,7,5,nan,62,Arizona St. Sun Devils,Offense
11/28/2015,@ California,L 46 - 48,1/,8,406,2,4,nan,98,Arizona St. Sun Devils,Defense
01/02/2016,"West Virginia @ Phoenix, Ariz.",L 42 - 43,1/,9,550,7,7,nan,214,Arizona St. Sun Devils,Offense
01/02/2016,"West Virginia @ Phoenix, Ariz.",L 42 - 43,1/,9,504,1,nan,nan,nan,Arizona St. Sun Devils,Defense
09/05/2015,Howard,W 49 - 0,1/,8,515,6,nan,nan,nan,Appalachian St. Mountaineers,Offense
09/05/2015,Howard,W 49 - 0,1/,1,45,nan,2,nan,26,Appalachian St. Mountaineers,Defense
09/12/2015,@ Clemson,L 10 - 41,1/,3,173,1,8/,nan,205,Appalachian St. Mountaineers,Offense
09/12/2015,@ Clemson,L 10 - 41,1/,8,478,nan,2,nan,92,Appalachian St. Mountaineers,Defense
09/26/2015,@ Old Dominion,W 49 - 0,1/,8,484,3,1,nan,11,Appalachian St. Mountaineers,Offense
09/26/2015,@ Old Dominion,W 49 - 0,1/,1,61,nan,5,nan,98,Appalachian St. Mountaineers,Defense
10/03/2015,Wyoming,W 31 - 13,1/,6,310,nan,2,nan,47,Appalachian St. Mountaineers,Offense
10/03/2015,Wyoming,W 31 - 13,1/,2,121,nan,4,nan,106,Appalachian St. Mountaineers,Defense
10/10/2015,@ Georgia St.,W 37 - 3,1/,8,519,5,nan,nan,nan,Appalachian St. Mountaineers,Offense
