Date,Opponent,Result,SackUA,G,SackA,SackYds,Sacks,Team,OffenseDefense
09/05/2015,"Texas A&M @ Houston, Texas",L 17 - 38,nan,1/,nan,22,3.0,Arizona St. Sun Devils,Offense
09/05/2015,"Texas A&M @ Houston, Texas",L 17 - 38,nan,1/,nan,49,9.0/,Arizona St. Sun Devils,Defense
09/12/2015,Cal Poly,W 35 - 21,nan,1/,nan,3,2.0,Arizona St. Sun Devils,Offense
09/12/2015,Cal Poly,W 35 - 21,nan,1/,nan,7,1.0,Arizona St. Sun Devils,Defense
09/18/2015,New Mexico,W 34 - 10,nan,1/,nan,10,2.0,Arizona St. Sun Devils,Offense
09/18/2015,New Mexico,W 34 - 10,nan,1/,nan,11,1.0,Arizona St. Sun Devils,Defense
09/26/2015,Southern California,L 14 - 42,nan,1/,nan,15,2.0,Arizona St. Sun Devils,Offense
09/26/2015,Southern California,L 14 - 42,nan,1/,nan,21,3.0,Arizona St. Sun Devils,Defense
10/03/2015,@ UCLA,W 38 - 23,nan,1/,nan,17,2.0,Arizona St. Sun Devils,Offense
10/03/2015,@ UCLA,W 38 - 23,nan,1/,nan,6,1.0,Arizona St. Sun Devils,Defense
10/10/2015,Colorado,W 48 - 23,nan,1/,nan,42,8.0/,Arizona St. Sun Devils,Offense
10/10/2015,Colorado,W 48 - 23,nan,1/,nan,7,1.0,Arizona St. Sun Devils,Defense
10/17/2015,@ Utah,L 18 - 34,nan,1/,nan,44,5.0,Arizona St. Sun Devils,Offense
10/17/2015,@ Utah,L 18 - 34,nan,1/,nan,32,5.0,Arizona St. Sun Devils,Defense
10/29/2015,Oregon,L 55 - 61 (3OT),nan,1/,nan,32,5.0,Arizona St. Sun Devils,Offense
10/29/2015,Oregon,L 55 - 61 (3OT),nan,1/,nan,25,5.0,Arizona St. Sun Devils,Defense
11/07/2015,@ Washington St.,L 24 - 38,nan,1/,nan,28,3.0,Arizona St. Sun Devils,Offense
11/07/2015,@ Washington St.,L 24 - 38,nan,1/,nan,13,3.0,Arizona St. Sun Devils,Defense
11/14/2015,Washington,W 27 - 17,nan,1/,nan,30,4.0,Arizona St. Sun Devils,Offense
11/14/2015,Washington,W 27 - 17,nan,1/,nan,21,4.0,Arizona St. Sun Devils,Defense
11/21/2015,Arizona,W 52 - 37,nan,1/,nan,37,8.0/,Arizona St. Sun Devils,Offense
11/21/2015,Arizona,W 52 - 37,nan,1/,nan,17,2.0,Arizona St. Sun Devils,Defense
11/28/2015,@ California,L 46 - 48,nan,1/,nan,nan,nan,Arizona St. Sun Devils,Offense
11/28/2015,@ California,L 46 - 48,nan,1/,nan,24,4.0,Arizona St. Sun Devils,Defense
01/02/2016,"West Virginia @ Phoenix, Ariz.",L 42 - 43,nan,1/,nan,12,2.0,Arizona St. Sun Devils,Offense
