Date,Opponent,Result,G,TDs,KickPAT,PATAtt,RushPAT,Ru2PTAtt,ReceivingPAT,Pass2PtConv,Pass2PTAtt,KickReturnPAT,FumbRetPAT,FG,Safeties,Points,Team,OffenseDefense
09/05/2015,"Texas A&M @ Houston, Texas",L 17 - 38,1/,2,2,2,nan,nan,nan,nan,nan,nan,nan,1,nan,17,Arizona St. Sun Devils,Offense
09/05/2015,"Texas A&M @ Houston, Texas",L 17 - 38,1/,5,5,5,nan,nan,nan,nan,nan,nan,nan,1,nan,38,Arizona St. Sun Devils,Defense
09/12/2015,Cal Poly,W 35 - 21,1/,5,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,35,Arizona St. Sun Devils,Offense
09/12/2015,Cal Poly,W 35 - 21,1/,3,3,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,21,Arizona St. Sun Devils,Defense
09/18/2015,New Mexico,W 34 - 10,1/,4,4,4,nan,nan,nan,nan,nan,nan,nan,2,nan,34,Arizona St. Sun Devils,Offense
09/18/2015,New Mexico,W 34 - 10,1/,1,1,1,nan,nan,nan,nan,nan,nan,nan,1,nan,10,Arizona St. Sun Devils,Defense
09/26/2015,Southern California,L 14 - 42,1/,2,2,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,14,Arizona St. Sun Devils,Offense
09/26/2015,Southern California,L 14 - 42,1/,6,6,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,42,Arizona St. Sun Devils,Defense
10/03/2015,@ UCLA,W 38 - 23,1/,4,4,4,nan,nan,nan,nan,nan,nan,nan,2,2/,38,Arizona St. Sun Devils,Offense
10/03/2015,@ UCLA,W 38 - 23,1/,3,2,2,nan,nan,nan,nan,1,nan,nan,1,nan,23,Arizona St. Sun Devils,Defense
10/10/2015,Colorado,W 48 - 23,1/,6,6,6,nan,nan,nan,nan,nan,nan,nan,2,nan,48,Arizona St. Sun Devils,Offense
10/10/2015,Colorado,W 48 - 23,1/,3,2,2,nan,nan,nan,nan,1,nan,nan,1,nan,23,Arizona St. Sun Devils,Defense
10/17/2015,@ Utah,L 18 - 34,1/,1,1,1,nan,nan,nan,nan,nan,nan,nan,3,1,18,Arizona St. Sun Devils,Offense
10/17/2015,@ Utah,L 18 - 34,1/,4,4,4,nan,nan,nan,nan,nan,nan,nan,2,nan,34,Arizona St. Sun Devils,Defense
10/29/2015,Oregon,L 55 - 61 (3OT),1/,7,7,7,nan,nan,nan,nan,nan,nan,nan,2,nan,55,Arizona St. Sun Devils,Offense
10/29/2015,Oregon,L 55 - 61 (3OT),1/,8,7,7,nan,nan,nan,nan,1,nan,nan,2,nan,61,Arizona St. Sun Devils,Defense
11/07/2015,@ Washington St.,L 24 - 38,1/,3,3,3,nan,nan,nan,nan,nan,nan,nan,1,nan,24,Arizona St. Sun Devils,Offense
11/07/2015,@ Washington St.,L 24 - 38,1/,5,5,5,nan,nan,nan,nan,nan,nan,nan,1,nan,38,Arizona St. Sun Devils,Defense
11/14/2015,Washington,W 27 - 17,1/,3,3,3,nan,nan,nan,nan,nan,nan,nan,2,nan,27,Arizona St. Sun Devils,Offense
11/14/2015,Washington,W 27 - 17,1/,2,2,2,nan,nan,nan,nan,nan,nan,nan,1,nan,17,Arizona St. Sun Devils,Defense
11/21/2015,Arizona,W 52 - 37,1/,7,7,7,nan,nan,nan,nan,nan,nan,nan,1,nan,52,Arizona St. Sun Devils,Offense
11/21/2015,Arizona,W 52 - 37,1/,4,4,4,nan,nan,nan,nan,nan,nan,nan,3,nan,37,Arizona St. Sun Devils,Defense
11/28/2015,@ California,L 46 - 48,1/,4,4,4,nan,nan,nan,nan,nan,nan,nan,6/,nan,46,Arizona St. Sun Devils,Offense
11/28/2015,@ California,L 46 - 48,1/,6,4,4,1/,2/,nan,nan,nan,nan,nan,2,nan,48,Arizona St. Sun Devils,Defense
01/02/2016,"West Virginia @ Phoenix, Ariz.",L 42 - 43,1/,4,4,4,nan,nan,nan,nan,nan,1/,nan,4,nan,42,Arizona St. Sun Devils,Offense
01/02/2016,"West Virginia @ Phoenix, Ariz.",L 42 - 43,1/,5,4,5,nan,nan,nan,nan,nan,nan,nan,3,nan,43,Arizona St. Sun Devils,Defense
09/05/2015,Howard,W 49 - 0,1/,7,7,7,nan,nan,nan,nan,nan,nan,nan,nan,nan,49,Appalachian St. Mountaineers,Offense
09/05/2015,Howard,W 49 - 0,1/,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Appalachian St. Mountaineers,Defense
09/12/2015,@ Clemson,L 10 - 41,1/,1,1,1,nan,nan,nan,nan,nan,nan,nan,1,nan,10,Appalachian St. Mountaineers,Offense
09/12/2015,@ Clemson,L 10 - 41,1/,5,5,5,nan,nan,nan,nan,nan,nan,nan,2,nan,41,Appalachian St. Mountaineers,Defense
09/26/2015,@ Old Dominion,W 49 - 0,1/,7,7,7,nan,nan,nan,nan,nan,nan,nan,nan,nan,49,Appalachian St. Mountaineers,Offense
09/26/2015,@ Old Dominion,W 49 - 0,1/,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Appalachian St. Mountaineers,Defense
10/03/2015,Wyoming,W 31 - 13,1/,4,4,4,nan,nan,nan,nan,nan,nan,nan,1,nan,31,Appalachian St. Mountaineers,Offense
10/03/2015,Wyoming,W 31 - 13,1/,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,13,Appalachian St. Mountaineers,Defense
10/10/2015,@ Georgia St.,W 37 - 3,1/,4,4,4,nan,nan,nan,nan,nan,nan,nan,3,nan,37,Appalachian St. Mountaineers,Offense
10/10/2015,@ Georgia St.,W 37 - 3,1/,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,3,Appalachian St. Mountaineers,Defense
10/17/2015,@ La.-Monroe,W 59 - 14,1/,8,8,8,nan,nan,nan,nan,nan,nan,nan,1,nan,59,Appalachian St. Mountaineers,Offense
10/17/2015,@ La.-Monroe,W 59 - 14,1/,2,2,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,14,Appalachian St. Mountaineers,Defense
10/22/2015,Ga. Southern,W 31 - 13,1/,4,4,4,nan,nan,nan,nan,nan,nan,nan,1,nan,31,Appalachian St. Mountaineers,Offense
10/22/2015,Ga. Southern,W 31 - 13,1/,2,1,1,nan,1/,nan,nan,nan,nan,nan,nan,nan,13,Appalachian St. Mountaineers,Defense
10/31/2015,Troy,W 44 - 41 (3OT),1/,5,5,5,nan,nan,nan,nan,nan,nan,nan,3,nan,44,Appalachian St. Mountaineers,Offense
10/31/2015,Troy,W 44 - 41 (3OT),1/,5,5,5,nan,nan,nan,nan,nan,nan,nan,2,nan,41,Appalachian St. Mountaineers,Defense
11/05/2015,Arkansas St.,L 27 - 40,1/,4,3,3,nan,nan,nan,nan,1,nan,nan,nan,nan,27,Appalachian St. Mountaineers,Offense
11/05/2015,Arkansas St.,L 27 - 40,1/,4,4,4,nan,nan,nan,nan,nan,nan,nan,4/,nan,40,Appalachian St. Mountaineers,Defense
11/14/2015,@ Idaho,W 47 - 20,1/,6,6,6,nan,nan,nan,nan,nan,nan,nan,1,1/,47,Appalachian St. Mountaineers,Offense
11/14/2015,@ Idaho,W 47 - 20,1/,2,2,2,nan,nan,nan,nan,nan,nan,nan,2,nan,20,Appalachian St. Mountaineers,Defense
11/28/2015,Louisiana,W 28 - 7,1/,4,4,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,28,Appalachian St. Mountaineers,Offense
11/28/2015,Louisiana,W 28 - 7,1/,1,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,7,Appalachian St. Mountaineers,Defense
12/05/2015,@ South Ala.,W 34 - 27,1/,4,4,4,nan,nan,nan,nan,nan,nan,nan,2,nan,34,Appalachian St. Mountaineers,Offense
12/05/2015,@ South Ala.,W 34 - 27,1/,3,3,3,nan,nan,nan,nan,nan,nan,nan,2,nan,27,Appalachian St. Mountaineers,Defense
12/19/2015,"Ohio @ Montgomery, Ala.",W 31 - 29,1/,4,4,4,nan,nan,nan,nan,nan,nan,nan,1,nan,31,Appalachian St. Mountaineers,Offense
12/19/2015,"Ohio @ Montgomery, Ala.",W 31 - 29,1/,3,3,3,nan,nan,nan,nan,nan,nan,nan,2,1/,29,Appalachian St. Mountaineers,Defense
08/31/2013,@ Montana,L 6 - 30,1/,nan,nan,nan,nan,nan,nan,,nan,nan,nan,2,nan,6,Appalachian St. Mountaineers,Offense
08/31/2013,@ Montana,L 6 - 30,1/,4,3,4,nan,nan,nan,,nan,nan,nan,1,nan,30,Appalachian St. Mountaineers,Defense
