Date,Opponent,Result,G,SoloTack,AsstTack,STFL,ATFL,TackleYds,Tackles,Team,OffenseDefense
09/05/2015,"Texas A&M @ Houston, Texas",L 17 - 38,1/,36,40,5,6,30,76,Arizona St. Sun Devils,Offense
09/05/2015,"Texas A&M @ Houston, Texas",L 17 - 38,1/,47,40,13/,2,63,87,Arizona St. Sun Devils,Defense
09/12/2015,Cal Poly,W 35 - 21,1/,67,12,11,nan,34,79,Arizona St. Sun Devils,Offense
09/12/2015,Cal Poly,W 35 - 21,1/,64,4,3,2,12,68,Arizona St. Sun Devils,Defense
09/18/2015,New Mexico,W 34 - 10,1/,56,12,5,4,26,68,Arizona St. Sun Devils,Offense
09/18/2015,New Mexico,W 34 - 10,1/,28,24,3,4,18,52,Arizona St. Sun Devils,Defense
09/26/2015,Southern California,L 14 - 42,1/,44,2,11,nan,34,46,Arizona St. Sun Devils,Offense
09/26/2015,Southern California,L 14 - 42,1/,58,4,8,nan,32,62,Arizona St. Sun Devils,Defense
10/03/2015,@ UCLA,W 38 - 23,1/,44,4,6,2,29,48,Arizona St. Sun Devils,Offense
10/03/2015,@ UCLA,W 38 - 23,1/,52,26,5,6,23,78,Arizona St. Sun Devils,Defense
10/10/2015,Colorado,W 48 - 23,1/,43,12,10,4,50,55,Arizona St. Sun Devils,Offense
10/10/2015,Colorado,W 48 - 23,1/,54,12,3,2,11,66,Arizona St. Sun Devils,Defense
10/17/2015,@ Utah,L 18 - 34,1/,33,40,8,10/,63,73,Arizona St. Sun Devils,Offense
10/17/2015,@ Utah,L 18 - 34,1/,29,30,8,6,47,59,Arizona St. Sun Devils,Defense
10/29/2015,Oregon,L 55 - 61 (3OT),1/,38,14,6,2,37,52,Arizona St. Sun Devils,Offense
10/29/2015,Oregon,L 55 - 61 (3OT),1/,69,10,8,nan,28,79,Arizona St. Sun Devils,Defense
11/07/2015,@ Washington St.,L 24 - 38,1/,42,8,3,nan,28,50,Arizona St. Sun Devils,Offense
11/07/2015,@ Washington St.,L 24 - 38,1/,50,34,8,2,26,84,Arizona St. Sun Devils,Defense
