shortName,longName
" South Ala. @ Tucson, Ariz.",South Ala. Jaguars
" Western Mich. @ Boise, Idaho",Western Mich. Broncos
@ Colorado St. ,Colorado St. Rams
@ Ohio ,Ohio Bobcats
@ Kent St. ,Kent St. Golden Flashes
 Toledo  ,Toledo  Rockets
 Kent St. ,Kent St. Golden Flashes
" Clemson @ Tampa, Florida",Clemson Tigers
" Clemson @ Glendale, Ariz.",Clemson Tigers
" Oklahoma  @ New Orleans, La.",Oklahoma  Sooners
 Ohio St. ,Ohio St. Buckeyes
 Idaho  ,Idaho  Vandals
@ New Mexico St. ,New Mexico St. Aggies
 Western Caro. ,Western Caro. Catamounts
@ South Ala. ,South Ala. Jaguars
" West Virginia  @ Phoenix, Ariz.",West Virginia  Mountaineers
 Arizona  ,Arizona  Wildcats
 Washington  ,Washington  Huskies
@ Washington St. ,Washington St. Cougars
 Oregon  ,Oregon  Ducks
@ Utah  ,Utah  Utes
 Colorado  ,Colorado  Buffaloes
@ UCLA ,UCLA Bruins
 Southern California ,Southern California Trojans
 Cal Poly ,Cal Poly Mustangs
Arizona St. ,Arizona St. Sun Devils
Arizona St. ,Arizona St. Sun Devils
Arizona St. ,Arizona St. Sun Devils
Arizona St. ,Arizona St. Sun Devils
@ Idaho  ,Idaho  Vandals
 Troy ,Troy Trojans
 Ga. Southern ,Ga. Southern Eagles
@ Georgia St. ,Georgia St. Panthers
@ Old Dominion ,Old Dominion Monarchs
 Howard ,Howard Bison
@ Wofford ,Wofford Terriers
@ Georgia  ,Georgia  Bulldogs
 Ga. Southern ,Ga. Southern Eagles
@ Furman ,Furman Paladins
 Samford ,Samford Bulldogs
@ The Citadel ,The Citadel Bulldogs
 Charleston So. ,Charleston So. Buccaneers
@ Elon ,Elon Phoenix
 N.C. A&T ,N.C. A&T Aggies
@ Montana  ,Montana  Grizzlies
 La.-Monroe ,La.-Monroe Warhawks
@ Troy ,Troy Trojans
 Texas St. ,Texas St. Bobcats
@ Ga. Southern ,Ga. Southern Eagles
 Idaho  ,Idaho  Vandals
@ Louisiana ,Louisiana Ragin' Cajuns
 Miami (FL) ,Miami (FL) Hurricanes
 Old Dominion ,Old Dominion Monarchs
@ Louisiana ,Louisiana Ragin' Cajuns
@ Arkansas St. ,Arkansas St. Red Wolves
 La.-Monroe ,La.-Monroe Warhawks
@ Troy ,Troy Trojans
 Liberty  ,Liberty  Flames
 South Ala. ,South Ala. Jaguars
@ Ga. Southern ,Ga. Southern Eagles
 Campbell  ,Campbell  Fighting Camels
@ Michigan  ,Michigan  Wolverines
Appalachian St. ,Appalachian St. Mountaineers
Appalachian St. ,Appalachian St. Mountaineers
Appalachian St. ,Appalachian St. Mountaineers
Appalachian St. ,Appalachian St. Mountaineers
 Auburn ,Auburn Tigers
 Western Caro. ,Western Caro. Catamounts
 Mississippi St. ,Mississippi St. Bulldogs
@ LSU ,LSU Fighting Tigers
@ Tennessee  ,Tennessee  Volunteers
 Texas A&M ,Texas A&M Aggies
@ Arkansas  ,Arkansas  Razorbacks
@ Ole Miss ,Ole Miss Rebels
 Florida  ,Florida  Gators
 Southern Miss.  ,Southern Miss.  Golden Eagles
 Fla. Atlantic ,Fla. Atlantic Owls
" West Virginia  @ Atlanta, Georgia",West Virginia  Mountaineers
" Florida  @ Atltana, Ga.",Florida  Gators
@ Auburn ,Auburn Tigers
 Charleston So. ,Charleston So. Buccaneers
@ Mississippi St. ,Mississippi St. Bulldogs
 Tennessee  ,Tennessee  Volunteers
@ Texas A&M ,Texas A&M Aggies
 Arkansas  ,Arkansas  Razorbacks
@ Georgia  ,Georgia  Bulldogs
 La.-Monroe ,La.-Monroe Warhawks
 Ole Miss ,Ole Miss Rebels
 Middle Tenn. ,Middle Tenn. Blue Raiders
" Wisconsin @ Arlington, Texas",Wisconsin Badgers
@ Auburn ,Auburn Tigers
 Chattanooga  ,Chattanooga  Mocs
@ Mississippi St. ,Mississippi St. Bulldogs
 LSU ,LSU Fighting Tigers
 Tennessee  ,Tennessee  Volunteers
 Arkansas  ,Arkansas  Razorbacks
@ Kentucky  ,Kentucky  Wildcats
 Georgia St. ,Georgia St. Panthers
 Ole Miss ,Ole Miss Rebels
@ Texas A&M ,Texas A&M Aggies
" Virginia Tech @ Atlanta, Georgia",Virginia Tech Hokies
" Washington  @ Atlanta, Georgia",Washington  Huskies
" Florida  @ Atlanta, Ga.",Florida  Gators
 Auburn ,Auburn Tigers
 Chattanooga  ,Chattanooga  Mocs
 Mississippi St. ,Mississippi St. Bulldogs
@ LSU ,LSU Fighting Tigers
 Texas A&M ,Texas A&M Aggies
@ Tennessee  ,Tennessee  Volunteers
@ Arkansas  ,Arkansas  Razorbacks
 Kentucky  ,Kentucky  Wildcats
@ Ole Miss ,Ole Miss Rebels
 Western Ky. ,Western Ky. Hilltoppers
" Southern California @ Arlington, Texas",Southern California Trojans
Alabama  ,Alabama  Crimson Tide
Alabama  ,Alabama  Crimson Tide
Alabama  ,Alabama  Crimson Tide
Alabama  ,Alabama  Crimson Tide
Alabama  ,Alabama  Crimson Tide
 Buffalo  ,Buffalo  Bulls
@ Miami (OH) ,Miami (OH) RedHawks
@ Massachusetts  ,Massachusetts  Minutemen
@ Bowling Green  ,Bowling Green  Falcons
@ Eastern Mich. ,Eastern Mich. Eagles
 Ohio ,Ohio Bobcats
@ Louisiana ,Louisiana Ragin' Cajuns
 Savannah St. ,Savannah St. Tigers
 Pittsburgh  ,Pittsburgh  Panthers
@ Oklahoma  ,Oklahoma  Sooners
@ Massachusetts  ,Massachusetts  Minutemen
 Kent St. ,Kent St. Golden Flashes
 Ball St. ,Ball St. Cardinals
@ Miami (OH) ,Miami (OH) RedHawks
 Ohio ,Ohio Bobcats
@ Bowling Green  ,Bowling Green  Falcons
 Louisiana ,Louisiana Ragin' Cajuns
@ Michigan  ,Michigan  Wolverines
 James Madison ,James Madison Dukes
@ UCF ,UCF Knights
 Massachusetts  ,Massachusetts  Minutemen
@ Buffalo  ,Buffalo  Bulls
 Bowling Green  ,Bowling Green  Falcons
@ Ball St. ,Ball St. Cardinals
@ Ohio ,Ohio Bobcats
 Miami (OH) ,Miami (OH) RedHawks
 Eastern Mich. ,Eastern Mich. Eagles
@ Pittsburgh  ,Pittsburgh  Panthers
@ Penn St. ,Penn St. Nittany Lions
 Howard ,Howard Bison
 Bowling Green  ,Bowling Green  Falcons
 Toledo  ,Toledo  Rockets
@ Buffalo  ,Buffalo  Bulls
@ Ball St. ,Ball St. Cardinals
 Western Mich. ,Western Mich. Broncos
 Miami (OH) ,Miami (OH) RedHawks
@ Kent St. ,Kent St. Golden Flashes
 Appalachian St. ,Appalachian St. Mountaineers
@ Marshall  ,Marshall  Thundering Herd
@ Wisconsin ,Wisconsin Badgers
 VMI ,VMI Keydets
Akron  ,Akron  Zips
Akron  ,Akron  Zips
Akron  ,Akron  Zips
Akron  ,Akron  Zips
Akron  ,Akron  Zips
 UNLV ,UNLV Rebels
@ New Mexico  ,New Mexico  Lobos
 Army West Point ,Army West Point Black Knights
 Notre Dame ,Notre Dame Fighting Irish
 San Diego St. ,San Diego St. Aztecs
@ Navy ,Navy Midshipmen
@ Nevada  ,Nevada  Wolf Pack
 Wyoming  ,Wyoming  Cowboys
@ Boise St. ,Boise St. Broncos
 Utah St. ,Utah St. Aggies
 Colgate ,Colgate Raiders
 Colorado St. ,Colorado St. Rams
@ San Diego St. ,San Diego St. Aztecs
 Nevada  ,Nevada  Wolf Pack
@ UNLV ,UNLV Rebels
@ Army West Point ,Army West Point Black Knights
 New Mexico  ,New Mexico  Lobos
@ Utah St. ,Utah St. Aggies
 Navy ,Navy Midshipmen
 Boise St. ,Boise St. Broncos
@ Georgia St. ,Georgia St. Panthers
@ Wyoming  ,Wyoming  Cowboys
 Nicholls St. ,Nicholls St. Colonels
 Boise St. ,Boise St. Broncos
@ San Jose St. ,San Jose St. Spartans
 Colorado St. ,Colorado St. Rams
@ Army West Point ,Army West Point Black Knights
@ Fresno St. ,Fresno St. Bulldogs
 Hawaii  ,Hawaii  Rainbow Warriors
" New Mexico  @ Dallas, Texas",New Mexico  Lobos
@ Wyoming  ,Wyoming  Cowboys
 Navy ,Navy Midshipmen
@ Utah St. ,Utah St. Aggies
 Georgia St. ,Georgia St. Panthers
 Abilene Christian ,Abilene Christian Wildcats
@ San Diego St. ,San Diego St. Aztecs
@ New Mexico  ,New Mexico  Lobos
@ Boise St. ,Boise St. Broncos
