Stat,Player,Value,Team,Year
APY,Anthony Lacoste,1382,Air Force Falcons,2014
FGM,Will Conant,11,Air Force Falcons,2014
Int,Christian Spears,2,Air Force Falcons,2014
Pass Eff,Sam Gagliano,360.40,Air Force Falcons,2014
Points,Will Conant,65,Air Force Falcons,2014
Punt Avg,David Baska,476.8,Air Force Falcons,2014
Punt Ret Yds,Garrett Brown,14,Air Force Falcons,2014
Rec,Garrett Brown,19,Air Force Falcons,2014
ReceivingYards,Jalen Robinette,291,Air Force Falcons,2014
Rush Net Yards,Anthony Lacoste,890,Air Force Falcons,2014
Sacks,David Harris,2.5,Air Force Falcons,2014
Tackles,Christian Spears,92,Air Force Falcons,2014
Tot Off,Anthony Lacoste,890,Air Force Falcons,2014
APY,Jawon Chisholm,1080,Akron  Zips,2014
FGM,Robert Stein,9,Akron  Zips,2014
Int,Malachi Freeman,3,Akron  Zips,2014
Pass Eff,Zach D'Orazio,707.20,Akron  Zips,2014
Points,Robert Stein,56,Akron  Zips,2014
Punt Avg,Zach Paul,512.2,Akron  Zips,2014
Punt Ret Yds,Imani Davis,39,Akron  Zips,2014
Rec,Zach D'Orazio,42,Akron  Zips,2014
ReceivingYards,Zach D'Orazio,567,Akron  Zips,2014
Rush Net Yards,Jawon Chisholm,869,Akron  Zips,2014
Sacks,Nico Caponi,6.5,Akron  Zips,2014
Tackles,Jatavis Brown,107,Akron  Zips,2014
Tot Off,Kyle Pohl,2534,Akron  Zips,2014
APY,T.J. Yeldon,1418,Alabama  Crimson Tide,2014
FGM,Cade Foster,12,Alabama  Crimson Tide,2014
Int,Haha Clinton-Dix,2,Alabama  Crimson Tide,2014
Pass Eff,A.J. McCarron,167.17,Alabama  Crimson Tide,2014
Points,Cade Foster,96,Alabama  Crimson Tide,2014
Punt Avg,Cody Mandell,563.6,Alabama  Crimson Tide,2014
Punt Ret Yds,Christion Jones,321,Alabama  Crimson Tide,2014
Rec,Amari Cooper,45,Alabama  Crimson Tide,2014
ReceivingYards,Amari Cooper,736,Alabama  Crimson Tide,2014
Rush Net Yards,T.J. Yeldon,1235,Alabama  Crimson Tide,2014
Sacks,A'Shawn Robinson,5.5,Alabama  Crimson Tide,2014
Tackles,C.J. Mosley,108,Alabama  Crimson Tide,2014
Tot Off,A.J. McCarron,3041,Alabama  Crimson Tide,2014
APY,Marcus Cox,1809,Appalachian St. Mountaineers,2014
FGM,Drew Stewart,13,Appalachian St. Mountaineers,2014
Int,John Law,3,Appalachian St. Mountaineers,2014
Pass Eff,Kameron Bryant,151.08,Appalachian St. Mountaineers,2014
Points,Marcus Cox,126,Appalachian St. Mountaineers,2014
Punt Avg,Bentlee Critcher,540.7,Appalachian St. Mountaineers,2014
Punt Ret Yds,Tony Washington,41,Appalachian St. Mountaineers,2014
Rec,Andrew Peacock,78,Appalachian St. Mountaineers,2014
ReceivingYards,Tony Washington,939,Appalachian St. Mountaineers,2014
Rush Net Yards,Marcus Cox,1250,Appalachian St. Mountaineers,2014
Sacks,Deuce Robinson,2.0,Appalachian St. Mountaineers,2014
Tackles,Karl Anderson,113,Appalachian St. Mountaineers,2014
Tot Off,Kameron Bryant,2871,Appalachian St. Mountaineers,2014
APY,Ka'Deem Carey,2058,Arizona  Wildcats,2014
FGM,Jake Smith,12,Arizona  Wildcats,2014
Int,Tra'Mayne Bondurant,4,Arizona  Wildcats,2014
Pass Eff,B.J. Denker,126.81,Arizona  Wildcats,2014
Points,Ka'Deem Carey,120,Arizona  Wildcats,2014
Punt Avg,Drew Riggleman,520.7,Arizona  Wildcats,2014
Punt Ret Yds,Johnny Jackson,111,Arizona  Wildcats,2014
Rec,Nate Phillips,51,Arizona  Wildcats,2014
ReceivingYards,Nate Phillips,696,Arizona  Wildcats,2014
Rush Net Yards,Ka'Deem Carey,1885,Arizona  Wildcats,2014
Sacks,Sione Tuihalamaka,5.0,Arizona  Wildcats,2014
Tackles,Jake Fischer,99,Arizona  Wildcats,2014
Tot Off,B.J. Denker,3465,Arizona  Wildcats,2014
APY,Alex Collins,1089,Arkansas  Razorbacks,2014
FGM,Zach Hocker,13,Arkansas  Razorbacks,2014
Int,Alan Turner,2,Arkansas  Razorbacks,2014
Pass Eff,Jonathan Williams,202.13,Arkansas  Razorbacks,2014
Points,Zach Hocker,67,Arkansas  Razorbacks,2014
Punt Avg,Sam Irwin-Hill,526.3,Arkansas  Razorbacks,2014
Punt Ret Yds,Javontee Herndon,67,Arkansas  Razorbacks,2014
Rec,Javontee Herndon,31,Arkansas  Razorbacks,2014
ReceivingYards,Javontee Herndon,437,Arkansas  Razorbacks,2014
Rush Net Yards,Alex Collins,1026,Arkansas  Razorbacks,2014
Sacks,Chris Smith,8.5,Arkansas  Razorbacks,2014
Tackles,Alan Turner,97,Arkansas  Razorbacks,2014
Tot Off,Brandon Allen,1581,Arkansas  Razorbacks,2014
APY,Terry Baggett,1236,Army West Point Black Knights,2014
FGM,Daniel Grochowski,8,Army West Point Black Knights,2014
Int,Justin Trimble,2,Army West Point Black Knights,2014
