Jersey,Player,Yr,Pos,GP,GS,G,PBU,Int,IntRetTDs,IntRYds,PDef,stat,year,team
17,"Rhodes, J'Marcus",Jr,DB,12,3,12,1,nan,nan,nan,1.0,Passes Defended,2016-17,Arizona St. Sun Devils
0K,"Crump, Koron",Jr,LB,12,8,12,1,1,nan,59,2.0,Passes Defended,2016-17,Arizona St. Sun Devils
0W,"Wicker, Jojo",So,DL,12,11,12,3,nan,nan,nan,3.0,Passes Defended,2016-17,Arizona St. Sun Devils
12,"White, Tim",Sr,WR,12,7,12,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
92,"Topps, Tramel",Sr,DL,12,0,12,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
22,"Ralston, Nick",Fr,RB,12,0,12,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
8,"Hayes, De'Chavon",Sr,DB,12,9,12,6,3,nan,56,9.0,Passes Defended,2016-17,Arizona St. Sun Devils
90,"Smallwood, Tashon",Jr,DL,12,12,12,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
95,"Wren, Renell",So,DL,12,1,12,3,nan,nan,nan,3.0,Passes Defended,2016-17,Arizona St. Sun Devils
7,"Ballage, Kalen",Jr,RB,12,6,12,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
59,"Bailey, Quinn",So,OL,12,12,12,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
0C,"Calhoun, DJ",Jr,LB,12,12,12,1,nan,nan,nan,1.0,Passes Defended,2016-17,Arizona St. Sun Devils
44,"Latu, Alani",Jr,LB,12,7,12,2,nan,nan,nan,2.0,Passes Defended,2016-17,Arizona St. Sun Devils
19,"Jefferson, Ellis",Jr,WR,12,0,12,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
26,"Haack, Matt",Sr,P,12,0,12,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
0G,"Gonzalez, Zane",Sr,K,12,0,12,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
57,"Goodman, Evan",Sr,OL,12,12,12,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
43,"Mendoza, Carlos",Sr,LB,12,1,12,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
89,"Gammage, Frederick",Sr,WR,12,4,12,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
1,"Harry, N'Keal",Fr,WR,12,12,12,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
99,"Cabral, Cohl",Fr,OL,11,0,11,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
16,"Chandler, Maurice",Jr,DB,11,4,11,2,nan,nan,nan,2.0,Passes Defended,2016-17,Arizona St. Sun Devils
10,"Williams, Kyle",Fr,DB,11,0,11,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
25,"Orr, Kareem",So,DB,11,11,11,5,1,nan,13,6.0,Passes Defended,2016-17,Arizona St. Sun Devils
71,"Miller, Steven",Fr,OL,11,3,11,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
83,"Kohl, Kody",Sr,TE,11,11,11,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
4,"Richard, Demario",Jr,RB,11,10,11,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
97,"Boateng, Edmond",Sr,DL,11,0,11,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
2A,"Adams, Chad",Jr,DB,11,3,11,1,nan,nan,nan,1.0,Passes Defended,2016-17,Arizona St. Sun Devils
31,"Ball, Marcus",Jr,LB,11,8,11,2,1,nan,22,3.0,Passes Defended,2016-17,Arizona St. Sun Devils
28,"Moeakiola, Viliami",Sr,DB,11,10,11,9,1,1,28,10.0,Passes Defended,2016-17,Arizona St. Sun Devils
80,"Epps, Raymond",Jr,TE,11,2,11,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
65,"McCollum, A.J.",Jr,OL,10,8,10,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
15,"Eckhols, Bryson",Sr,DB,10,0,10,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
0R,"Robinson, Robbie",Fr,DB,10,0,10,nan,1,nan,3,1.0,Passes Defended,2016-17,Arizona St. Sun Devils
51,"Robertson, Zach",Fr,OL,10,5,10,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
45,"Lea, George",Fr,DL,10,4,10,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
77,"McCray, Stephon",Sr,OL,10,10,10,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
82,"Harvey, Jalen",So,WR,10,5,10,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
30,"Tautalatasi, Dasmond",So,DB,10,0,10,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
13,"Perry, Armand",So,DB,10,10,10,3,nan,nan,nan,3.0,Passes Defended,2016-17,Arizona St. Sun Devils
5,"Wilkins, Manny",So,QB,10,10,10,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
41,"Latu, Viliami",Sr,LB,10,10,10,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
39,"Lawal, Malik",Fr,LB,10,0,10,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
9,"Wilson, Jay Jay",So,TE,9,2,9,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
94,"Hill, Christian",Jr,DL,9,0,9,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
63,"Fraboni, Mitchell",Jr,DB,8,0,8,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
6,"Smith, Cameron",Jr,WR,8,1,8,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
1G,"Guignard, Deion",So,DB,7,0,7,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
76,"Jones, Sam",So,OL,7,7,7,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
5F,"Fiso, Salamo",Sr,LB,7,4,7,1,1,nan,22,2.0,Passes Defended,2016-17,Arizona St. Sun Devils
37,"Gerhart, Coltin",So,DB,7,0,7,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
15,"Sterling-Cole, Dillon",Fr,QB,6,1,6,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
75,"McClure, Tyler",Jr,OL,6,2,6,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
34,"Smith, Jack",Fr,WR,5,0,5,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
91,"Smith, Corey",Jr,DL,5,0,5,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
86,"Jenkins, Ryan",Jr,WR,5,0,5,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
2,"White, Brady",Fr,QB,4,1,4,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
2W,"Whiley, Tyler",So,LB,4,1,4,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
79,"Walter, Mason",Fr,OL,4,0,4,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
64,"John, Riley",nan,nan,3,0,3,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
5M,"Mathews, Brandon",Sr,LB,3,0,3,nan,nan,nan,nan,0.0,Passes Defended,2016-17,Arizona St. Sun Devils
