Stat,Rank,Value,Team,Year
Total Offense,91,367.6,Air Force Falcons,2014
Rushing Offense,12,262.7,Air Force Falcons,2014
Passing Offense,121,104.9,Air Force Falcons,2014
Team Passing Efficiency,80,124.80,Air Force Falcons,2014
Scoring Offense,91,24.7,Air Force Falcons,2014
Total Defense,114,490.3,Air Force Falcons,2014
Rushing Defense,119,250.6,Air Force Falcons,2014
Passing Yards Allowed,77,239.7,Air Force Falcons,2014
Team Passing Efficiency Defense,122,170.67,Air Force Falcons,2014
Scoring Defense,116,40.0,Air Force Falcons,2014
Turnover Margin,T-86,-0.33,Air Force Falcons,2014
3rd Down Conversion Pct,36,0.442,Air Force Falcons,2014
4th Down Conversion Pct,29,0.593,Air Force Falcons,2014
3rd Down Conversion Pct Defense,123,0.589,Air Force Falcons,2014
4th Down Conversion Pct Defense,T-89,0.579,Air Force Falcons,2014
Red Zone Offense,5,0.946,Air Force Falcons,2014
Red Zone Defense,102,0.877,Air Force Falcons,2014
Net Punting,67,36.73,Air Force Falcons,2014
Punt Returns,116,3.29,Air Force Falcons,2014
Kickoff Returns,25,23.46,Air Force Falcons,2014
First Downs Offense,97,230,Air Force Falcons,2014
First Downs Defense,123,330,Air Force Falcons,2014
Fewest Penalties Per Game,23,4.42,Air Force Falcons,2014
Fewest Penalty Yards Per Game,15,35.67,Air Force Falcons,2014
Time of Possession,108,27:34,Air Force Falcons,2014
Total Offense,106,342.0,Akron  Zips,2014
Rushing Offense,106,122.6,Akron  Zips,2014
Passing Offense,75,219.4,Akron  Zips,2014
Team Passing Efficiency,94,118.04,Akron  Zips,2014
Scoring Offense,108,20.2,Akron  Zips,2014
Total Defense,59,397.0,Akron  Zips,2014
Rushing Defense,63,164.1,Akron  Zips,2014
Passing Yards Allowed,67,232.9,Akron  Zips,2014
Team Passing Efficiency Defense,92,139.19,Akron  Zips,2014
Scoring Defense,73,28.6,Akron  Zips,2014
Turnover Margin,T-74,-0.17,Akron  Zips,2014
3rd Down Conversion Pct,71,0.393,Akron  Zips,2014
4th Down Conversion Pct,101,0.389,Akron  Zips,2014
3rd Down Conversion Pct Defense,93,0.429,Akron  Zips,2014
4th Down Conversion Pct Defense,T-27,0.412,Akron  Zips,2014
Red Zone Offense,96,0.781,Akron  Zips,2014
Red Zone Defense,T-75,0.843,Akron  Zips,2014
Net Punting,31,38.18,Akron  Zips,2014
Punt Returns,117,3.27,Akron  Zips,2014
Kickoff Returns,111,18.57,Akron  Zips,2014
First Downs Offense,T-98,227,Akron  Zips,2014
First Downs Defense,T-54,258,Akron  Zips,2014
Fewest Penalties Per Game,93,6.50,Akron  Zips,2014
Fewest Penalty Yards Per Game,89,53.50,Akron  Zips,2014
Time of Possession,74,29:20,Akron  Zips,2014
Total Offense,33,454.1,Alabama  Crimson Tide,2014
Rushing Offense,25,205.6,Alabama  Crimson Tide,2014
Passing Offense,49,248.5,Alabama  Crimson Tide,2014
Team Passing Efficiency,7,164.47,Alabama  Crimson Tide,2014
Scoring Offense,17,38.2,Alabama  Crimson Tide,2014
Total Defense,5,286.5,Alabama  Crimson Tide,2014
Rushing Defense,7,106.2,Alabama  Crimson Tide,2014
Passing Yards Allowed,11,180.3,Alabama  Crimson Tide,2014
Team Passing Efficiency Defense,26,116.84,Alabama  Crimson Tide,2014
Scoring Defense,4,13.9,Alabama  Crimson Tide,2014
Turnover Margin,T-48,0.15,Alabama  Crimson Tide,2014
3rd Down Conversion Pct,17,0.476,Alabama  Crimson Tide,2014
4th Down Conversion Pct,33,0.583,Alabama  Crimson Tide,2014
3rd Down Conversion Pct Defense,24,0.347,Alabama  Crimson Tide,2014
4th Down Conversion Pct Defense,3,0.263,Alabama  Crimson Tide,2014
Red Zone Offense,85,0.796,Alabama  Crimson Tide,2014
Red Zone Defense,4,0.680,Alabama  Crimson Tide,2014
Net Punting,1,42.43,Alabama  Crimson Tide,2014
Punt Returns,6,14.24,Alabama  Crimson Tide,2014
Kickoff Returns,22,23.74,Alabama  Crimson Tide,2014
First Downs Offense,32,302,Alabama  Crimson Tide,2014
First Downs Defense,4,194,Alabama  Crimson Tide,2014
Fewest Penalties Per Game,34,4.85,Alabama  Crimson Tide,2014
Fewest Penalty Yards Per Game,28,40.00,Alabama  Crimson Tide,2014
Time of Possession,24,32:00,Alabama  Crimson Tide,2014
Total Offense,31,458.5,Arizona  Wildcats,2014
Rushing Offense,11,264.9,Arizona  Wildcats,2014
Passing Offense,97,193.5,Arizona  Wildcats,2014
Team Passing Efficiency,76,126.15,Arizona  Wildcats,2014
Scoring Offense,36,33.5,Arizona  Wildcats,2014
Total Defense,62,401.1,Arizona  Wildcats,2014
Rushing Defense,69,167.8,Arizona  Wildcats,2014
Passing Yards Allowed,70,233.2,Arizona  Wildcats,2014
Team Passing Efficiency Defense,37,120.37,Arizona  Wildcats,2014
Scoring Defense,39,24.2,Arizona  Wildcats,2014
Turnover Margin,T-39,0.31,Arizona  Wildcats,2014
