Jersey,Player,Yr,Pos,GP,GS,FumblesRecovered,Int,FumblesLost,Interceptions,stat,year,team
24,"Bickley, Fransohn",Fr,WR,12,7,nan,nan,2.0,nan,Turnover Margin,2013-14,Akron Zips
20,"Freeman, Malachi",Sr,DB,12,12,nan,3,nan,nan,Turnover Margin,2013-14,Akron Zips
12,"Davis, Imani",So,WR,12,1,nan,nan,1.0,nan,Turnover Margin,2013-14,Akron Zips
91,"Presley, Albert",Sr,DL,12,6,1.0,nan,nan,nan,Turnover Margin,2013-14,Akron Zips
16,"Pohl, Kyle",So,QB,12,12,nan,nan,3.0,10,Turnover Margin,2013-14,Akron Zips
5,"March, Justin",Jr,LB,12,12,nan,3,nan,nan,Turnover Margin,2013-14,Akron Zips
23,"Ford, Bre'",Jr,DB,12,4,nan,1,nan,nan,Turnover Margin,2013-14,Akron Zips
7,"Chisholm, Jawon",Jr,RB,12,12,nan,nan,2.0,nan,Turnover Margin,2013-14,Akron Zips
7A,"Holmes, Anthony",Sr,DB,12,11,nan,2,nan,nan,Turnover Margin,2013-14,Akron Zips
88,"Dillard, Jerrod",Sr,WR,12,12,nan,nan,1.0,nan,Turnover Margin,2013-14,Akron Zips
32,"Durant, Martel",Jr,DB,11,0,nan,1,nan,nan,Turnover Margin,2013-14,Akron Zips
96,"Horner, Alfonso",So,DL,11,4,1.0,nan,nan,nan,Turnover Margin,2013-14,Akron Zips
4,"Robinson, Johnny",Jr,DB,11,9,1.0,2,nan,nan,Turnover Margin,2013-14,Akron Zips
58,"Caponi, Nico",Sr,DL,10,7,1.0,nan,nan,nan,Turnover Margin,2013-14,Akron Zips
2,"Bercovici, Mike",Sr,QB,13,13,nan,nan,3.0,9.0,Turnover Margin,2015-16,Arizona St. Sun Devils
58,"Fiso, Salamo",Jr,LB,13,13,nan,1.0,nan,nan,Turnover Margin,2015-16,Arizona St. Sun Devils
83,"Kohl, Kody",Jr,TE,13,12,nan,nan,1.0,nan,Turnover Margin,2015-16,Arizona St. Sun Devils
0C,"Carrington, Lloyd",Sr,DB,13,13,nan,1.0,nan,nan,Turnover Margin,2015-16,Arizona St. Sun Devils
94,"Cherry, Demetrius",Sr,DL,13,11,1.0,nan,nan,nan,Turnover Margin,2015-16,Arizona St. Sun Devils
32,"Longino, Antonio",Sr,LB,13,12,1.0,nan,nan,nan,Turnover Margin,2015-16,Arizona St. Sun Devils
0S,"Sam, Christian",So,LB,13,13,nan,1.0,nan,nan,Turnover Margin,2015-16,Arizona St. Sun Devils
12,"White, Tim",Jr,WR,13,10,nan,nan,1.0,nan,Turnover Margin,2015-16,Arizona St. Sun Devils
15,"Lucien, Devin",Sr,WR,13,10,nan,nan,1.0,nan,Turnover Margin,2015-16,Arizona St. Sun Devils
1,"Hayes, De'Chavon",Jr,RB,13,1,nan,nan,1.0,nan,Turnover Margin,2015-16,Arizona St. Sun Devils
10,"Brown, Kweishi",Sr,DB,13,13,nan,2.0,nan,nan,Turnover Margin,2015-16,Arizona St. Sun Devils
28,"Moeakiola, Viliami",Jr,LB,12,12,1.0,1.0,nan,nan,Turnover Margin,2015-16,Arizona St. Sun Devils
25,"Orr, Kareem",Fr,DB,12,9,nan,6.0,nan,nan,Turnover Margin,2015-16,Arizona St. Sun Devils
41,"Latu, Viliami",Jr,LB,12,4,1.0,nan,nan,nan,Turnover Margin,2015-16,Arizona St. Sun Devils
4,"Richard, Demario",So,RB,12,11,nan,nan,2.0,nan,Turnover Margin,2015-16,Arizona St. Sun Devils
31,"Ball, Marcus",So,DB,11,1,1.0,1.0,nan,nan,Turnover Margin,2015-16,Arizona St. Sun Devils
97,"Boateng, Edmond",Jr,DL,10,3,1.0,nan,nan,nan,Turnover Margin,2015-16,Arizona St. Sun Devils
0K,"Crump, Koron",Jr,LB,12,8,3,1,nan,nan,Turnover Margin,2016-17,Arizona St. Sun Devils
0W,"Wicker, Jojo",So,DL,12,11,1,nan,nan,nan,Turnover Margin,2016-17,Arizona St. Sun Devils
12,"White, Tim",Sr,WR,12,7,nan,nan,1.0,nan,Turnover Margin,2016-17,Arizona St. Sun Devils
8,"Hayes, De'Chavon",Sr,DB,12,9,nan,3,1.0,nan,Turnover Margin,2016-17,Arizona St. Sun Devils
7,"Ballage, Kalen",Jr,RB,12,6,nan,nan,2.0,nan,Turnover Margin,2016-17,Arizona St. Sun Devils
43,"Mendoza, Carlos",Sr,LB,12,1,1,nan,nan,nan,Turnover Margin,2016-17,Arizona St. Sun Devils
25,"Orr, Kareem",So,DB,11,11,nan,1,nan,nan,Turnover Margin,2016-17,Arizona St. Sun Devils
31,"Ball, Marcus",Jr,LB,11,8,1,1,nan,nan,Turnover Margin,2016-17,Arizona St. Sun Devils
28,"Moeakiola, Viliami",Sr,DB,11,10,1,1,nan,nan,Turnover Margin,2016-17,Arizona St. Sun Devils
0R,"Robinson, Robbie",Fr,DB,10,0,nan,1,nan,nan,Turnover Margin,2016-17,Arizona St. Sun Devils
45,"Lea, George",Fr,DL,10,4,1,nan,nan,nan,Turnover Margin,2016-17,Arizona St. Sun Devils
5,"Wilkins, Manny",So,QB,10,10,nan,nan,1.0,9,Turnover Margin,2016-17,Arizona St. Sun Devils
