Year,Team,GP,G,RushNetYards,ReceivingYards,IntRYds,PuntRetYds,FRetYds,KORetYds,APY,All-PurposeYardsG,OffenseDefense
2013-14,Arizona St.,14,14,2679,3723,345,206,nan,970,7927,nan,Offense
2013-14,Arizona St.,0,14,1927,3286,107,191,11,1365,6887,nan,Defensive
2014-15,Arizona St.,13,13,2194,3556,276,55,133,555,6769,nan,Offense
2014-15,Arizona St.,0,13,2046,3376,243,196,25,1280,7166,nan,Defensive
2015-16,Arizona St.,13,13,2319,3888,189,189,19,1237,7841,nan,Offense
2015-16,Arizona St.,0,13,1641,4388,57,267,103,483,6939,nan,Defensive
2016-17,Arizona St.,12,12,1578,3111,203,236,87,1213,6428,nan,Offense
2016-17,Arizona St.,0,12,1957,4289,133,65,nan,493,6937,nan,Defensive
2017-18,Arizona St.,12,12,2159,2972,95,115,5,619,5965,nan,Offense
2017-18,Arizona St.,0,12,2108,3256,63,162,nan,472,6061,nan,Defensive
2013-14,Appalachian St.,12,12,1656,3261,80,41,28,878,5944,nan,Offense
2013-14,Appalachian St.,0,12,2643,2163,199,121,4,730,5865,nan,Defensive
2014-15,Appalachian St.,12,12,2901,2637,97,65,37,551,6288,nan,Offense
2014-15,Appalachian St.,0,12,1828,2342,61,261,67,1046,5605,nan,Defensive
2015-16,Appalachian St.,13,13,3529,2546,280,99,97,804,7355,nan,Offense
2015-16,Appalachian St.,0,13,1710,2378,70,117,92,919,5286,nan,Defensive
2016-17,Appalachian St.,13,13,3262,2327,271,185,nan,702,6747,nan,Offense
2016-17,Appalachian St.,0,13,1637,2649,20,150,90,643,5189,nan,Defensive
2017-18,Appalachian St.,12,12,2580,2680,328,226,36,642,6492,nan,Offense
2017-18,Appalachian St.,0,12,1765,2542,24,126,45,965,5467,nan,Defensive
2013-14,Appalachian St.,12,12,1656,3261,80,41,28,878,5944,nan,Offense
2013-14,Appalachian St.,0,12,2643,2163,199,121,4,730,5865,nan,Defensive
2014-15,Appalachian St.,12,12,2901,2637,97,65,37,551,6288,nan,Offense
2014-15,Appalachian St.,0,12,1828,2342,61,261,67,1046,5605,nan,Defensive
2015-16,Appalachian St.,13,13,3529,2546,280,99,97,804,7355,nan,Offense
2015-16,Appalachian St.,0,13,1710,2378,70,117,92,919,5286,nan,Defensive
2016-17,Appalachian St.,13,13,3262,2327,271,185,nan,702,6747,nan,Offense
2016-17,Appalachian St.,0,13,1637,2649,20,150,90,643,5189,nan,Defensive
2017-18,Appalachian St.,12,12,2580,2680,328,226,36,642,6492,nan,Offense
2017-18,Appalachian St.,0,12,1765,2542,24,126,45,965,5467,nan,Defensive
2013-14,Appalachian St.,12,12,1656,3261,80,41,28,878,5944,nan,Offense
2013-14,Appalachian St.,0,12,2643,2163,199,121,4,730,5865,nan,Defensive
2014-15,Appalachian St.,12,12,2901,2637,97,65,37,551,6288,nan,Offense
2014-15,Appalachian St.,0,12,1828,2342,61,261,67,1046,5605,nan,Defensive
2015-16,Appalachian St.,13,13,3529,2546,280,99,97,804,7355,nan,Offense
2015-16,Appalachian St.,0,13,1710,2378,70,117,92,919,5286,nan,Defensive
2016-17,Appalachian St.,13,13,3262,2327,271,185,nan,702,6747,nan,Offense
2016-17,Appalachian St.,0,13,1637,2649,20,150,90,643,5189,nan,Defensive
2017-18,Appalachian St.,12,12,2580,2680,328,226,36,642,6492,nan,Offense
2017-18,Appalachian St.,0,12,1765,2542,24,126,45,965,5467,nan,Defensive
2013-14,Appalachian St.,12,12,1656,3261,80,41,28,878,5944,nan,Offense
2013-14,Appalachian St.,0,12,2643,2163,199,121,4,730,5865,nan,Defensive
2014-15,Appalachian St.,12,12,2901,2637,97,65,37,551,6288,nan,Offense
2014-15,Appalachian St.,0,12,1828,2342,61,261,67,1046,5605,nan,Defensive
2015-16,Appalachian St.,13,13,3529,2546,280,99,97,804,7355,nan,Offense
2015-16,Appalachian St.,0,13,1710,2378,70,117,92,919,5286,nan,Defensive
2016-17,Appalachian St.,13,13,3262,2327,271,185,nan,702,6747,nan,Offense
2016-17,Appalachian St.,0,13,1637,2649,20,150,90,643,5189,nan,Defensive
2017-18,Appalachian St.,12,12,2580,2680,328,226,36,642,6492,nan,Offense
2017-18,Appalachian St.,0,12,1765,2542,24,126,45,965,5467,nan,Defensive
2013-14,Alabama,13,13,2673,3230,253,413,46,736,7351,nan,Offense
2013-14,Alabama,0,13,1381,2344,129,58,39,1400,5422,nan,Defensive
2014-15,Alabama,14,14,2893,3890,84,234,40,1006,8147,nan,Offense
2014-15,Alabama,0,14,1434,3164,124,83,76,1291,6172,nan,Defensive
2015-16,Alabama,15,15,2999,3407,462,597,27,803,8310,nan,Offense
2015-16,Alabama,0,15,1136,3009,140,279,nan,779,5323,nan,Defensive
2016-17,Alabama,15,15,3675,3154,398,528,210,547,8512,nan,Offense
2016-17,Alabama,0,15,959,2968,96,213,44,1212,5492,nan,Defensive
2017-18,Alabama,12,12,3184,2401,221,233,nan,348,6416,nan,Offense
2017-18,Alabama,0,12,1129,1964,97,5,nan,868,4063,nan,Defensive
2013-14,Alabama,13,13,2673,3230,253,413,46,736,7351,nan,Offense
2013-14,Alabama,0,13,1381,2344,129,58,39,1400,5422,nan,Defensive
2014-15,Alabama,14,14,2893,3890,84,234,40,1006,8147,nan,Offense
2014-15,Alabama,0,14,1434,3164,124,83,76,1291,6172,nan,Defensive
2015-16,Alabama,15,15,2999,3407,462,597,27,803,8310,nan,Offense
2015-16,Alabama,0,15,1136,3009,140,279,nan,779,5323,nan,Defensive
