Year,Team,GP,G,FumblesRecovered,Int,Blkd,OffenseDefense
2013-14,Arizona St.,14,14,12,21,2,Offense
2013-14,Arizona St.,0,14,6,12,4,Defensive
2014-15,Arizona St.,13,13,13,14,2,Offense
2014-15,Arizona St.,0,13,4,9,4,Defensive
2015-16,Arizona St.,13,13,6,15,2,Offense
2015-16,Arizona St.,0,13,10,9,nan,Defensive
2016-17,Arizona St.,12,12,8,9,nan,Offense
2016-17,Arizona St.,0,12,7,14,nan,Defensive
2017-18,Arizona St.,12,12,5,11,6,Offense
2017-18,Arizona St.,0,12,5,6,1,Defensive
2013-14,Appalachian St.,12,12,8,10,1,Offense
2013-14,Appalachian St.,0,12,10,7,4,Defensive
2014-15,Appalachian St.,12,12,7,12,2,Offense
2014-15,Appalachian St.,0,12,10,11,6,Defensive
2015-16,Appalachian St.,13,13,6,18,1,Offense
2015-16,Appalachian St.,0,13,13,9,nan,Defensive
2016-17,Appalachian St.,13,13,1,20,1,Offense
2016-17,Appalachian St.,0,13,5,8,2,Defensive
2017-18,Appalachian St.,12,12,7,15,1,Offense
2017-18,Appalachian St.,0,12,8,6,3,Defensive
2013-14,Appalachian St.,12,12,8,10,1,Offense
2013-14,Appalachian St.,0,12,10,7,4,Defensive
2014-15,Appalachian St.,12,12,7,12,2,Offense
2014-15,Appalachian St.,0,12,10,11,6,Defensive
2015-16,Appalachian St.,13,13,6,18,1,Offense
2015-16,Appalachian St.,0,13,13,9,nan,Defensive
2016-17,Appalachian St.,13,13,1,20,1,Offense
2016-17,Appalachian St.,0,13,5,8,2,Defensive
2017-18,Appalachian St.,12,12,7,15,1,Offense
2017-18,Appalachian St.,0,12,8,6,3,Defensive
2013-14,Appalachian St.,12,12,8,10,1,Offense
2013-14,Appalachian St.,0,12,10,7,4,Defensive
2014-15,Appalachian St.,12,12,7,12,2,Offense
2014-15,Appalachian St.,0,12,10,11,6,Defensive
2015-16,Appalachian St.,13,13,6,18,1,Offense
2015-16,Appalachian St.,0,13,13,9,nan,Defensive
2016-17,Appalachian St.,13,13,1,20,1,Offense
2016-17,Appalachian St.,0,13,5,8,2,Defensive
2017-18,Appalachian St.,12,12,7,15,1,Offense
2017-18,Appalachian St.,0,12,8,6,3,Defensive
2013-14,Appalachian St.,12,12,8,10,1,Offense
2013-14,Appalachian St.,0,12,10,7,4,Defensive
2014-15,Appalachian St.,12,12,7,12,2,Offense
2014-15,Appalachian St.,0,12,10,11,6,Defensive
2015-16,Appalachian St.,13,13,6,18,1,Offense
2015-16,Appalachian St.,0,13,13,9,nan,Defensive
2016-17,Appalachian St.,13,13,1,20,1,Offense
2016-17,Appalachian St.,0,13,5,8,2,Defensive
2017-18,Appalachian St.,12,12,7,15,1,Offense
2017-18,Appalachian St.,0,12,8,6,3,Defensive
2013-14,Alabama,13,13,8,11,3,Offense
2013-14,Alabama,0,13,9,7,2,Defensive
