Year,Team,GP,G,FF,FRet,FRetTD,FRetYds,OffenseDefense
2013-14,Arizona St.,14,14,14,nan,nan,nan,Offense
2013-14,Arizona St.,0,14,8,2,1,11,Defensive
2014-15,Arizona St.,13,13,13,7,2,133,Offense
2014-15,Arizona St.,0,13,10,1,1,25,Defensive
2015-16,Arizona St.,13,13,9,2,nan,19,Offense
2015-16,Arizona St.,0,13,17,3,1,103,Defensive
2016-17,Arizona St.,12,12,10,2,1,87,Offense
2016-17,Arizona St.,0,12,5,nan,nan,nan,Defensive
2017-18,Arizona St.,12,12,5,nan,nan,5,Offense
2017-18,Arizona St.,0,12,6,nan,nan,nan,Defensive
2013-14,Appalachian St.,12,12,10,1,nan,28,Offense
2013-14,Appalachian St.,0,12,10,1,nan,4,Defensive
2014-15,Appalachian St.,12,12,6,2,2,37,Offense
2014-15,Appalachian St.,0,12,9,3,1,67,Defensive
2015-16,Appalachian St.,13,13,4,2,1,97,Offense
2015-16,Appalachian St.,0,13,10,3,2,92,Defensive
2016-17,Appalachian St.,13,13,2,nan,nan,nan,Offense
2016-17,Appalachian St.,0,13,4,1,1,90,Defensive
2017-18,Appalachian St.,12,12,8,3,nan,36,Offense
2017-18,Appalachian St.,0,12,8,1,1,45,Defensive
2013-14,Appalachian St.,12,12,10,1,nan,28,Offense
2013-14,Appalachian St.,0,12,10,1,nan,4,Defensive
2014-15,Appalachian St.,12,12,6,2,2,37,Offense
2014-15,Appalachian St.,0,12,9,3,1,67,Defensive
2015-16,Appalachian St.,13,13,4,2,1,97,Offense
2015-16,Appalachian St.,0,13,10,3,2,92,Defensive
2016-17,Appalachian St.,13,13,2,nan,nan,nan,Offense
2016-17,Appalachian St.,0,13,4,1,1,90,Defensive
2017-18,Appalachian St.,12,12,8,3,nan,36,Offense
2017-18,Appalachian St.,0,12,8,1,1,45,Defensive
2013-14,Appalachian St.,12,12,10,1,nan,28,Offense
2013-14,Appalachian St.,0,12,10,1,nan,4,Defensive
2014-15,Appalachian St.,12,12,6,2,2,37,Offense
2014-15,Appalachian St.,0,12,9,3,1,67,Defensive
2015-16,Appalachian St.,13,13,4,2,1,97,Offense
2015-16,Appalachian St.,0,13,10,3,2,92,Defensive
2016-17,Appalachian St.,13,13,2,nan,nan,nan,Offense
2016-17,Appalachian St.,0,13,4,1,1,90,Defensive
2017-18,Appalachian St.,12,12,8,3,nan,36,Offense
2017-18,Appalachian St.,0,12,8,1,1,45,Defensive
2013-14,Appalachian St.,12,12,10,1,nan,28,Offense
2013-14,Appalachian St.,0,12,10,1,nan,4,Defensive
2014-15,Appalachian St.,12,12,6,2,2,37,Offense
2014-15,Appalachian St.,0,12,9,3,1,67,Defensive
2015-16,Appalachian St.,13,13,4,2,1,97,Offense
2015-16,Appalachian St.,0,13,10,3,2,92,Defensive
2016-17,Appalachian St.,13,13,2,nan,nan,nan,Offense
2016-17,Appalachian St.,0,13,4,1,1,90,Defensive
2017-18,Appalachian St.,12,12,8,3,nan,36,Offense
2017-18,Appalachian St.,0,12,8,1,1,45,Defensive
2013-14,Alabama,13,13,12,3,nan,46,Offense
2013-14,Alabama,0,13,10,3,2,39,Defensive
2014-15,Alabama,14,14,9,4,1,40,Offense
2014-15,Alabama,0,14,10,2,1,76,Defensive
2015-16,Alabama,15,15,16,2,nan,27,Offense
2015-16,Alabama,0,15,7,nan,nan,nan,Defensive
2016-17,Alabama,15,15,17,8,5,210,Offense
2016-17,Alabama,0,15,16,1,1,44,Defensive
2017-18,Alabama,12,12,8,nan,nan,nan,Offense
2017-18,Alabama,0,12,9,nan,nan,nan,Defensive
2013-14,Alabama,13,13,12,3,nan,46,Offense
2013-14,Alabama,0,13,10,3,2,39,Defensive
2014-15,Alabama,14,14,9,4,1,40,Offense
2014-15,Alabama,0,14,10,2,1,76,Defensive
2015-16,Alabama,15,15,16,2,nan,27,Offense
2015-16,Alabama,0,15,7,nan,nan,nan,Defensive
2016-17,Alabama,15,15,17,8,5,210,Offense
2016-17,Alabama,0,15,16,1,1,44,Defensive
2017-18,Alabama,12,12,8,nan,nan,nan,Offense
2017-18,Alabama,0,12,9,nan,nan,nan,Defensive
2013-14,Alabama,13,13,12,3,nan,46,Offense
2013-14,Alabama,0,13,10,3,2,39,Defensive
2014-15,Alabama,14,14,9,4,1,40,Offense
2014-15,Alabama,0,14,10,2,1,76,Defensive
2015-16,Alabama,15,15,16,2,nan,27,Offense
2015-16,Alabama,0,15,7,nan,nan,nan,Defensive
2016-17,Alabama,15,15,17,8,5,210,Offense
2016-17,Alabama,0,15,16,1,1,44,Defensive
2017-18,Alabama,12,12,8,nan,nan,nan,Offense
2017-18,Alabama,0,12,9,nan,nan,nan,Defensive
2013-14,Akron,12,12,14,nan,nan,nan,Offense
2013-14,Akron,0,12,11,1,1,18,Defensive
2014-15,Akron,12,12,15,1,nan,6,Offense
2014-15,Akron,0,12,15,2,1,29,Defensive
2015-16,Akron,13,13,14,2,nan,68,Offense
2015-16,Akron,0,13,10,nan,1,nan,Defensive
2016-17,Akron,12,12,5,1,1,35,Offense
2016-17,Akron,0,12,8,2,1,85,Defensive
2017-18,Akron,13,13,12,2,1,56,Offense
2017-18,Akron,0,13,9,1,nan,7,Defensive
2013-14,Alabama,13,13,12,3,nan,46,Offense
2013-14,Alabama,0,13,10,3,2,39,Defensive
2014-15,Alabama,14,14,9,4,1,40,Offense
2014-15,Alabama,0,14,10,2,1,76,Defensive
2015-16,Alabama,15,15,16,2,nan,27,Offense
2015-16,Alabama,0,15,7,nan,nan,nan,Defensive
2016-17,Alabama,15,15,17,8,5,210,Offense
2016-17,Alabama,0,15,16,1,1,44,Defensive
2017-18,Alabama,12,12,8,nan,nan,nan,Offense
2017-18,Alabama,0,12,9,nan,nan,nan,Defensive
2013-14,Akron,12,12,14,nan,nan,nan,Offense
2013-14,Akron,0,12,11,1,1,18,Defensive
2014-15,Akron,12,12,15,1,nan,6,Offense
2014-15,Akron,0,12,15,2,1,29,Defensive
2015-16,Akron,13,13,14,2,nan,68,Offense
2015-16,Akron,0,13,10,nan,1,nan,Defensive
2016-17,Akron,12,12,5,1,1,35,Offense
2016-17,Akron,0,12,8,2,1,85,Defensive
2017-18,Akron,13,13,12,2,1,56,Offense
2017-18,Akron,0,13,9,1,nan,7,Defensive
2013-14,Akron,12,12,14,nan,nan,nan,Offense
2013-14,Akron,0,12,11,1,1,18,Defensive
2014-15,Akron,12,12,15,1,nan,6,Offense
2014-15,Akron,0,12,15,2,1,29,Defensive
2015-16,Akron,13,13,14,2,nan,68,Offense
2015-16,Akron,0,13,10,nan,1,nan,Defensive
2016-17,Akron,12,12,5,1,1,35,Offense
2016-17,Akron,0,12,8,2,1,85,Defensive
2017-18,Akron,13,13,12,2,1,56,Offense
2017-18,Akron,0,13,9,1,nan,7,Defensive
2013-14,Akron,12,12,14,nan,nan,nan,Offense
2013-14,Akron,0,12,11,1,1,18,Defensive
2014-15,Akron,12,12,15,1,nan,6,Offense
2014-15,Akron,0,12,15,2,1,29,Defensive
2015-16,Akron,13,13,14,2,nan,68,Offense
2015-16,Akron,0,13,10,nan,1,nan,Defensive
2016-17,Akron,12,12,5,1,1,35,Offense
2016-17,Akron,0,12,8,2,1,85,Defensive
2017-18,Akron,13,13,12,2,1,56,Offense
2017-18,Akron,0,13,9,1,nan,7,Defensive
2013-14,Air Force,12,12,11,nan,nan,nan,Offense
2013-14,Air Force,0,12,13,nan,nan,nan,Defensive
2014-15,Air Force,13,13,8,2,1,88,Offense
