Year,Team,GP,G,FGM,FGA,FGBlocksAllowed,FGM1-19,FGA1-19,FGM20-29,FGA20-29,FGM30-39,FGA30-39,FGM40-49,FGA40-49,FGM50-59,FGA50-59,FGM60+,FGA60+,LongFGM,OffenseDefense
2013-14,Arizona St.,14,14,25,30,nan,2,2,12,13,7,9,4,6,nan,nan,nan,nan,nan,Offense
2013-14,Arizona St.,0,14,14,21,1,nan,nan,7,7,3,7,2,4,2,3,nan,nan,nan,Defensive
2014-15,Arizona St.,13,13,23,28,nan,1,1,9,9,7,8,6,9,0,1,nan,nan,nan,Offense
2014-15,Arizona St.,0,13,13,15,nan,nan,nan,4,4,4,5,4,5,1,1,nan,nan,nan,Defensive
2015-16,Arizona St.,13,13,26,34,nan,1,1,14,16,7,7,4,7,0,3,nan,nan,nan,Offense
2015-16,Arizona St.,0,13,18,20,nan,1,1,7,7,7,8,2,3,1,1,nan,nan,nan,Defensive
2016-17,Arizona St.,12,12,23,25,nan,nan,nan,5,5,5,5,6,6,7,9,nan,nan,nan,Offense
2016-17,Arizona St.,0,12,18,25,nan,1,1,8,9,6,7,3,7,0,1,nan,nan,nan,Defensive
2017-18,Arizona St.,12,12,18,25,nan,nan,nan,6,6,5,5,5,9,2,5,nan,nan,nan,Offense
2017-18,Arizona St.,0,12,17,21,nan,nan,nan,7,9,7,9,nan,nan,3,3,nan,nan,nan,Defensive
2013-14,Appalachian St.,12,12,13,18,2,nan,nan,3,3,6,7,4,8,nan,nan,nan,nan,nan,Offense
2013-14,Appalachian St.,0,12,10,13,nan,nan,nan,4,4,4,6,1,2,1,1,nan,nan,nan,Defensive
2014-15,Appalachian St.,12,12,8,15,2,nan,nan,2,3,5,8,1,4,nan,nan,nan,nan,nan,Offense
2014-15,Appalachian St.,0,12,14,21,1,2,2,1,3,10,11,1,3,0,2,nan,nan,nan,Defensive
2015-16,Appalachian St.,13,13,14,17,nan,nan,nan,4,4,5,6,2,3,3,4,nan,nan,nan,Offense
2015-16,Appalachian St.,0,13,15,20,1,nan,nan,8,8,4,8,3,4,nan,nan,nan,nan,nan,Defensive
2016-17,Appalachian St.,13,13,15,21,1,nan,nan,8,8,5,5,2,6,0,2,nan,nan,nan,Offense
2016-17,Appalachian St.,0,13,12,17,nan,nan,nan,5,5,4,5,3,6,0,1,nan,nan,nan,Defensive
2017-18,Appalachian St.,12,12,15,21,1,nan,nan,3,3,7,11,4,6,1,1,nan,nan,nan,Offense
2017-18,Appalachian St.,0,12,18,23,nan,nan,nan,9,9,3,7,5,6,1,1,nan,nan,nan,Defensive
2013-14,Appalachian St.,12,12,13,18,2,nan,nan,3,3,6,7,4,8,nan,nan,nan,nan,nan,Offense
2013-14,Appalachian St.,0,12,10,13,nan,nan,nan,4,4,4,6,1,2,1,1,nan,nan,nan,Defensive
2014-15,Appalachian St.,12,12,8,15,2,nan,nan,2,3,5,8,1,4,nan,nan,nan,nan,nan,Offense
2014-15,Appalachian St.,0,12,14,21,1,2,2,1,3,10,11,1,3,0,2,nan,nan,nan,Defensive
2015-16,Appalachian St.,13,13,14,17,nan,nan,nan,4,4,5,6,2,3,3,4,nan,nan,nan,Offense
