Year,Team,GP,G,KO,KOYds,KOTB,KORet,KickRetTDs,KORetYds,OffenseDefense
2013-14,Arizona St.,14,14,106,6588,39,45,nan,970,Offense
2013-14,Arizona St.,0,14,74,4616,27,64,1,1365,Defensive
2014-15,Arizona St.,13,13,91,5633,33,23,nan,555,Offense
2014-15,Arizona St.,0,13,69,4408,45,55,1,1280,Defensive
2015-16,Arizona St.,13,13,88,5650,66,54,1,1237,Offense
2015-16,Arizona St.,0,13,83,4996,27,18,1,483,Defensive
2016-17,Arizona St.,12,12,79,5087,60,56,1,1213,Offense
2016-17,Arizona St.,0,12,91,5687,34,19,2,493,Defensive
2017-18,Arizona St.,12,12,73,4626,50,32,nan,619,Offense
2017-18,Arizona St.,0,12,74,4605,40,21,1,472,Defensive
2013-14,Appalachian St.,12,12,55,3400,21,41,nan,878,Offense
2013-14,Appalachian St.,0,12,63,3797,18,31,1,730,Defensive
2014-15,Appalachian St.,12,12,77,4394,27,32,nan,551,Offense
2014-15,Appalachian St.,0,12,61,3708,29,45,1,1046,Defensive
2015-16,Appalachian St.,13,13,85,5279,43,38,nan,804,Offense
2015-16,Appalachian St.,0,13,51,3008,11,40,nan,919,Defensive
2016-17,Appalachian St.,13,13,76,4831,48,34,1,702,Offense
2016-17,Appalachian St.,0,13,51,3021,12,27,nan,643,Defensive
2017-18,Appalachian St.,12,12,75,4590,25,29,nan,642,Offense
2017-18,Appalachian St.,0,12,58,3566,27,47,1,965,Defensive
2013-14,Appalachian St.,12,12,,3400,21,41,nan,878,Offense
2013-14,Appalachian St.,0,12,,3797,18,31,1,730,Defensive
2014-15,Appalachian St.,12,12,,4394,27,32,nan,551,Offense
2014-15,Appalachian St.,0,12,,3708,29,45,1,1046,Defensive
2015-16,Appalachian St.,13,13,,5279,43,38,nan,804,Offense
2015-16,Appalachian St.,0,13,,3008,11,40,nan,919,Defensive
2016-17,Appalachian St.,13,13,,4831,48,34,1,702,Offense
2016-17,Appalachian St.,0,13,,3021,12,27,nan,643,Defensive
2017-18,Appalachian St.,12,12,,4590,25,29,nan,642,Offense
2017-18,Appalachian St.,0,12,,3566,27,47,1,965,Defensive
2013-14,Appalachian St.,12,12,55,3400,21,41,nan,878,Offense
2013-14,Appalachian St.,0,12,63,3797,18,31,1,730,Defensive
2014-15,Appalachian St.,12,12,77,4394,27,32,nan,551,Offense
2014-15,Appalachian St.,0,12,61,3708,29,45,1,1046,Defensive
2015-16,Appalachian St.,13,13,85,5279,43,38,nan,804,Offense
2015-16,Appalachian St.,0,13,51,3008,11,40,nan,919,Defensive
2016-17,Appalachian St.,13,13,76,4831,48,34,1,702,Offense
2016-17,Appalachian St.,0,13,51,3021,12,27,nan,643,Defensive
2017-18,Appalachian St.,12,12,75,4590,25,29,nan,642,Offense
2017-18,Appalachian St.,0,12,58,3566,27,47,1,965,Defensive
2013-14,Appalachian St.,12,12,,3400,21,41,nan,878,Offense
2013-14,Appalachian St.,0,12,,3797,18,31,1,730,Defensive
2014-15,Appalachian St.,12,12,,4394,27,32,nan,551,Offense
2014-15,Appalachian St.,0,12,,3708,29,45,1,1046,Defensive
2015-16,Appalachian St.,13,13,,5279,43,38,nan,804,Offense
2015-16,Appalachian St.,0,13,,3008,11,40,nan,919,Defensive
2016-17,Appalachian St.,13,13,,4831,48,34,1,702,Offense
2016-17,Appalachian St.,0,13,,3021,12,27,nan,643,Defensive
2017-18,Appalachian St.,12,12,,4590,25,29,nan,642,Offense
2017-18,Appalachian St.,0,12,,3566,27,47,1,965,Defensive
2013-14,Alabama,13,13,,5616,22,31,1,736,Offense
2013-14,Alabama,0,13,,2497,9,68,nan,1400,Defensive
2014-15,Alabama,14,14,,5741,28,49,nan,1006,Offense
2014-15,Alabama,0,14,,3685,12,60,1,1291,Defensive
2015-16,Alabama,15,15,,6379,55,37,1,803,Offense
2015-16,Alabama,0,15,,3475,17,41,nan,779,Defensive
2016-17,Alabama,15,15,,6930,52,28,nan,547,Offense
2016-17,Alabama,0,15,,2916,13,57,nan,1212,Defensive
2017-18,Alabama,12,12,,5614,42,15,nan,348,Offense
2017-18,Alabama,0,12,,2160,19,45,nan,868,Defensive
2013-14,Alabama,13,13,90,5616,22,31,1,736,Offense
2013-14,Alabama,0,13,41,2497,9,68,nan,1400,Defensive
2014-15,Alabama,14,14,93,5741,28,49,nan,1006,Offense
2014-15,Alabama,0,14,63,3685,12,60,1,1291,Defensive
2015-16,Alabama,15,15,101,6379,55,37,1,803,Offense
2015-16,Alabama,0,15,57,3475,17,41,nan,779,Defensive
2016-17,Alabama,15,15,110,6930,52,28,nan,547,Offense
2016-17,Alabama,0,15,49,2916,13,57,nan,1212,Defensive
2017-18,Alabama,12,12,89,5614,42,15,nan,348,Offense
2017-18,Alabama,0,12,34,2160,19,45,nan,868,Defensive
2013-14,Alabama,13,13,,5616,22,31,1,736,Offense
2013-14,Alabama,0,13,,2497,9,68,nan,1400,Defensive
2014-15,Alabama,14,14,,5741,28,49,nan,1006,Offense
2014-15,Alabama,0,14,,3685,12,60,1,1291,Defensive
2015-16,Alabama,15,15,,6379,55,37,1,803,Offense
2015-16,Alabama,0,15,,3475,17,41,nan,779,Defensive
2016-17,Alabama,15,15,,6930,52,28,nan,547,Offense
2016-17,Alabama,0,15,,2916,13,57,nan,1212,Defensive
2017-18,Alabama,12,12,,5614,42,15,nan,348,Offense
2017-18,Alabama,0,12,,2160,19,45,nan,868,Defensive
2013-14,Akron,12,12,53,2989,14,44,nan,817,Offense
2013-14,Akron,0,12,63,3604,17,39,nan,716,Defensive
2014-15,Akron,12,12,57,3278,10,32,nan,626,Offense
2014-15,Akron,0,12,61,3548,25,43,nan,828,Defensive
