Year,Team,GP,G,OffenseDefense
2013-14,Air Force,12,12,Offense
2013-14,Air Force,0,12,Defensive
2014-15,Air Force,13,13,Offense
2014-15,Air Force,0,13,Defensive
2015-16,Air Force,14,14,Offense
2015-16,Air Force,0,14,Defensive
2016-17,Air Force,13,13,Offense
2016-17,Air Force,0,13,Defensive
2017-18,Air Force,12,12,Offense
2017-18,Air Force,0,12,Defensive
2013-14,Air Force,12,12,Offense
2013-14,Air Force,0,12,Defensive
2014-15,Air Force,13,13,Offense
2014-15,Air Force,0,13,Defensive
2015-16,Air Force,14,14,Offense
2015-16,Air Force,0,14,Defensive
2016-17,Air Force,13,13,Offense
2016-17,Air Force,0,13,Defensive
2017-18,Air Force,12,12,Offense
2017-18,Air Force,0,12,Defensive
2013-14,Air Force,12,12,Offense
2013-14,Air Force,0,12,Defensive
2014-15,Air Force,13,13,Offense
2014-15,Air Force,0,13,Defensive
2015-16,Air Force,14,14,Offense
2015-16,Air Force,0,14,Defensive
2016-17,Air Force,13,13,Offense
2016-17,Air Force,0,13,Defensive
2017-18,Air Force,12,12,Offense
2017-18,Air Force,0,12,Defensive
2013-14,Air Force,12,12,Offense
2013-14,Air Force,0,12,Defensive
2014-15,Air Force,13,13,Offense
2014-15,Air Force,0,13,Defensive
2015-16,Air Force,14,14,Offense
2015-16,Air Force,0,14,Defensive
2016-17,Air Force,13,13,Offense
2016-17,Air Force,0,13,Defensive
2017-18,Air Force,12,12,Offense
2017-18,Air Force,0,12,Defensive
2013-14,Akron,12,12,Offense
2013-14,Akron,0,12,Defensive
2014-15,Akron,12,12,Offense
2014-15,Akron,0,12,Defensive
2015-16,Akron,13,13,Offense
2015-16,Akron,0,13,Defensive
2016-17,Akron,12,12,Offense
2016-17,Akron,0,12,Defensive
2017-18,Akron,13,13,Offense
2017-18,Akron,0,13,Defensive
2013-14,Akron,12,12,Offense
2013-14,Akron,0,12,Defensive
2014-15,Akron,12,12,Offense
2014-15,Akron,0,12,Defensive
2015-16,Akron,13,13,Offense
2015-16,Akron,0,13,Defensive
2016-17,Akron,12,12,Offense
2016-17,Akron,0,12,Defensive
2017-18,Akron,13,13,Offense
2017-18,Akron,0,13,Defensive
2013-14,Akron,12,12,Offense
2013-14,Akron,0,12,Defensive
2014-15,Akron,12,12,Offense
2014-15,Akron,0,12,Defensive
2015-16,Akron,13,13,Offense
2015-16,Akron,0,13,Defensive
2016-17,Akron,12,12,Offense
2016-17,Akron,0,12,Defensive
2017-18,Akron,13,13,Offense
2017-18,Akron,0,13,Defensive
2013-14,Alabama,13,13,Offense
2013-14,Alabama,0,13,Defensive
2014-15,Alabama,14,14,Offense
2014-15,Alabama,0,14,Defensive
2015-16,Alabama,15,15,Offense
2015-16,Alabama,0,15,Defensive
2016-17,Alabama,15,15,Offense
2016-17,Alabama,0,15,Defensive
2017-18,Alabama,12,12,Offense
2017-18,Alabama,0,12,Defensive
2013-14,Akron,12,12,Offense
2013-14,Akron,0,12,Defensive
2014-15,Akron,12,12,Offense
2014-15,Akron,0,12,Defensive
