Year,Team,GP,G,PBU,Int,IntRetTDs,IntRYds,PDef,OffenseDefense
2013-14,Arizona St.,14,14,41,21,5,345,62.00,Offense
2013-14,Arizona St.,0,14,43,12,1,107,55.00,Defensive
2014-15,Arizona St.,13,13,36,14,3,276,50.00,Offense
2014-15,Arizona St.,0,13,50,9,3,243,59.00,Defensive
2015-16,Arizona St.,13,13,44,15,2,189,59.00,Offense
2015-16,Arizona St.,0,13,54,9,1,57,63.00,Defensive
2016-17,Arizona St.,12,12,41,9,1,203,50.00,Offense
2016-17,Arizona St.,0,12,42,14,1,133,56.00,Defensive
2017-18,Arizona St.,12,12,30,11,2,95,41.00,Offense
2017-18,Arizona St.,0,12,33,6,2,63,39.00,Defensive
2013-14,Appalachian St.,12,12,23,10,1,80,33.00,Offense
2013-14,Appalachian St.,0,12,37,7,3,199,44.00,Defensive
2014-15,Appalachian St.,12,12,31,12,1,97,43.00,Offense
2014-15,Appalachian St.,0,12,29,11,nan,61,40.00,Defensive
2015-16,Appalachian St.,13,13,34,18,3,280,52.00,Offense
2015-16,Appalachian St.,0,13,27,9,2,70,36.00,Defensive
2016-17,Appalachian St.,13,13,37,20,2,271,57.00,Offense
2016-17,Appalachian St.,0,13,31,8,nan,20,39.00,Defensive
2017-18,Appalachian St.,12,12,47,15,nan,328,62.00,Offense
2017-18,Appalachian St.,0,12,39,6,nan,24,45.00,Defensive
2013-14,Appalachian St.,12,12,23,10,1,80,33,Offense
2013-14,Appalachian St.,0,12,37,7,3,199,44,Defensive
2014-15,Appalachian St.,12,12,31,12,1,97,43,Offense
2014-15,Appalachian St.,0,12,29,11,nan,61,40,Defensive
2015-16,Appalachian St.,13,13,34,18,3,280,52,Offense
2015-16,Appalachian St.,0,13,27,9,2,70,36,Defensive
2016-17,Appalachian St.,13,13,37,20,2,271,57,Offense
2016-17,Appalachian St.,0,13,31,8,nan,20,39,Defensive
2017-18,Appalachian St.,12,12,47,15,nan,328,62,Offense
2017-18,Appalachian St.,0,12,39,6,nan,24,45,Defensive
2013-14,Appalachian St.,12,12,23,10,1,80,33.00,Offense
2013-14,Appalachian St.,0,12,37,7,3,199,44.00,Defensive
2014-15,Appalachian St.,12,12,31,12,1,97,43.00,Offense
2014-15,Appalachian St.,0,12,29,11,nan,61,40.00,Defensive
2015-16,Appalachian St.,13,13,34,18,3,280,52.00,Offense
2015-16,Appalachian St.,0,13,27,9,2,70,36.00,Defensive
2016-17,Appalachian St.,13,13,37,20,2,271,57.00,Offense
2016-17,Appalachian St.,0,13,31,8,nan,20,39.00,Defensive
2017-18,Appalachian St.,12,12,47,15,nan,328,62.00,Offense
2017-18,Appalachian St.,0,12,39,6,nan,24,45.00,Defensive
2013-14,Appalachian St.,12,12,23,10,1,80,33,Offense
2013-14,Appalachian St.,0,12,37,7,3,199,44,Defensive
2014-15,Appalachian St.,12,12,31,12,1,97,43,Offense
2014-15,Appalachian St.,0,12,29,11,nan,61,40,Defensive
