Year,Team,GP,G,PassAttempts,Completions,Interceptions,PassYards,PassTDs,PassEff,CompletionsPerGame,YdsPerCompletion,Pct,PassYardsG,OffenseDefense
2013-14,Arizona St.,14,14,494,309,12,3723,28,139.70,22.07,12.049,0.626,265.93,Offense
2013-14,Arizona St.,0,14,445,249,21,3286,24,126.34,17.79,13.197,0.560,234.71,Defensive
2014-15,Arizona St.,13,13,467,281,9,3556,34,144.30,21.62,12.655,0.602,273.54,Offense
2014-15,Arizona St.,0,13,453,269,14,3376,22,131.83,20.69,12.550,0.594,259.69,Defensive
2015-16,Arizona St.,13,13,534,320,9,3888,30,136.25,24.62,12.150,0.599,299.08,Offense
2015-16,Arizona St.,0,13,516,294,15,4388,35,144.98,22.62,14.925,0.570,337.54,Defensive
2016-17,Arizona St.,12,12,425,257,14,3111,16,127.79,21.42,12.105,0.605,259.25,Offense
2016-17,Arizona St.,0,12,485,310,9,4289,33,156.94,25.83,13.835,0.639,357.42,Defensive
2017-18,Arizona St.,12,12,376,239,6,2972,18,142.57,19.92,12.435,0.636,247.67,Offense
2017-18,Arizona St.,0,12,430,265,11,3256,19,134.70,22.08,12.287,0.616,271.33,Defensive
2013-14,Appalachian St.,12,12,417,291,7,3261,16,144.78,24.25,11.206,0.698,271.75,Offense
2013-14,Appalachian St.,0,12,295,188,10,2163,15,135.32,15.67,11.505,0.637,180.25,Defensive
2014-15,Appalachian St.,12,12,340,205,11,2637,21,139.36,17.08,12.863,0.603,219.75,Offense
2014-15,Appalachian St.,0,12,356,210,12,2342,17,123.27,17.50,11.152,0.590,195.17,Defensive
2015-16,Appalachian St.,13,13,297,180,9,2546,33,163.22,13.85,14.144,0.606,195.85,Offense
2015-16,Appalachian St.,0,13,374,223,18,2378,10,112.23,17.15,10.664,0.596,182.92,Defensive
2016-17,Appalachian St.,13,13,334,203,8,2327,16,130.32,15.62,11.463,0.608,179.00,Offense
2016-17,Appalachian St.,0,13,444,255,20,2649,12,1418.37,255.00,133.653,7.446,2649.00,Defensive
2017-18,Appalachian St.,12,12,339,207,6,2680,28,151.19,17.25,12.947,0.611,223.33,Offense
2017-18,Appalachian St.,0,12,351,203,15,2542,14,123.28,16.92,12.522,0.578,211.83,Defensive
2013-14,Appalachian St.,12,12,417,291,7,3261,16,144.78,24.25,11.206,,271.75,Offense
2013-14,Appalachian St.,0,12,295,188,10,2163,15,135.32,15.67,11.505,,180.25,Defensive
2014-15,Appalachian St.,12,12,340,205,11,2637,21,139.36,17.08,12.863,,219.75,Offense
2014-15,Appalachian St.,0,12,356,210,12,2342,17,123.27,17.50,11.152,,195.17,Defensive
2015-16,Appalachian St.,13,13,297,180,9,2546,33,163.22,13.85,14.144,,195.85,Offense
2015-16,Appalachian St.,0,13,374,223,18,2378,10,112.23,17.15,10.664,,182.92,Defensive
2016-17,Appalachian St.,13,13,334,203,8,2327,16,130.32,15.62,11.463,,179.00,Offense
2016-17,Appalachian St.,0,13,444,255,20,2649,12,1418.37,255.00,133.653,,2649.00,Defensive
2017-18,Appalachian St.,12,12,339,207,6,2680,28,151.19,17.25,12.947,,223.33,Offense
2017-18,Appalachian St.,0,12,351,203,15,2542,14,123.28,16.92,12.522,,211.83,Defensive
2013-14,Appalachian St.,12,12,417,291,7,3261,16,144.78,24.25,11.206,0.698,271.75,Offense
2013-14,Appalachian St.,0,12,295,188,10,2163,15,135.32,15.67,11.505,0.637,180.25,Defensive
2014-15,Appalachian St.,12,12,340,205,11,2637,21,139.36,17.08,12.863,0.603,219.75,Offense
2014-15,Appalachian St.,0,12,356,210,12,2342,17,123.27,17.50,11.152,0.590,195.17,Defensive
2015-16,Appalachian St.,13,13,297,180,9,2546,33,163.22,13.85,14.144,0.606,195.85,Offense
2015-16,Appalachian St.,0,13,374,223,18,2378,10,112.23,17.15,10.664,0.596,182.92,Defensive
2016-17,Appalachian St.,13,13,334,203,8,2327,16,130.32,15.62,11.463,0.608,179.00,Offense
2016-17,Appalachian St.,0,13,444,255,20,2649,12,1418.37,255.00,133.653,7.446,2649.00,Defensive
2017-18,Appalachian St.,12,12,339,207,6,2680,28,151.19,17.25,12.947,0.611,223.33,Offense
2017-18,Appalachian St.,0,12,351,203,15,2542,14,123.28,16.92,12.522,0.578,211.83,Defensive
2013-14,Appalachian St.,12,12,417,291,7,3261,16,144.78,24.25,11.206,,271.75,Offense
2013-14,Appalachian St.,0,12,295,188,10,2163,15,135.32,15.67,11.505,,180.25,Defensive
2014-15,Appalachian St.,12,12,340,205,11,2637,21,139.36,17.08,12.863,,219.75,Offense
2014-15,Appalachian St.,0,12,356,210,12,2342,17,123.27,17.50,11.152,,195.17,Defensive
2015-16,Appalachian St.,13,13,297,180,9,2546,33,163.22,13.85,14.144,,195.85,Offense
2015-16,Appalachian St.,0,13,374,223,18,2378,10,112.23,17.15,10.664,,182.92,Defensive
2016-17,Appalachian St.,13,13,334,203,8,2327,16,130.32,15.62,11.463,,179.00,Offense
2016-17,Appalachian St.,0,13,444,255,20,2649,12,1418.37,255.00,133.653,,2649.00,Defensive
