Year,Team,GP,Punts,G,PuntYds,PuntTBs,LongPunt,OffenseDefense
2013-14,Arizona St.,14,65,14,2428,4,nan,Offense
2013-14,Arizona St.,0,80,14,3365,3,nan,Defensive
2014-15,Arizona St.,13,67,13,2774,6,nan,Offense
2014-15,Arizona St.,0,75,13,2976,7,nan,Defensive
2015-16,Arizona St.,13,77,13,3293,2,nan,Offense
2015-16,Arizona St.,0,85,13,3587,8,nan,Defensive
2016-17,Arizona St.,12,69,12,3026,3,nan,Offense
2016-17,Arizona St.,0,61,12,2399,1,nan,Defensive
2017-18,Arizona St.,12,62,12,2401,1,nan,Offense
2017-18,Arizona St.,0,59,12,2273,1,nan,Defensive
2013-14,Appalachian St.,12,54,12,2412,5,nan,Offense
2013-14,Appalachian St.,0,55,12,2338,5,nan,Defensive
2014-15,Appalachian St.,12,45,12,1704,2,nan,Offense
2014-15,Appalachian St.,0,56,12,2162,3,nan,Defensive
2015-16,Appalachian St.,13,52,13,2235,6,nan,Offense
2015-16,Appalachian St.,0,79,13,3348,6,nan,Defensive
2016-17,Appalachian St.,13,58,13,2285,3,nan,Offense
2016-17,Appalachian St.,0,75,13,3045,8,nan,Defensive
2017-18,Appalachian St.,12,54,12,2119,5,nan,Offense
2017-18,Appalachian St.,0,66,12,2773,5,nan,Defensive
2013-14,Appalachian St.,12,54,12,2412,5,nan,Offense
2013-14,Appalachian St.,0,55,12,2338,5,nan,Defensive
2014-15,Appalachian St.,12,45,12,1704,2,nan,Offense
2014-15,Appalachian St.,0,56,12,2162,3,nan,Defensive
2015-16,Appalachian St.,13,52,13,2235,6,nan,Offense
2015-16,Appalachian St.,0,79,13,3348,6,nan,Defensive
2016-17,Appalachian St.,13,58,13,2285,3,nan,Offense
2016-17,Appalachian St.,0,75,13,3045,8,nan,Defensive
2017-18,Appalachian St.,12,54,12,2119,5,nan,Offense
2017-18,Appalachian St.,0,66,12,2773,5,nan,Defensive
2013-14,Appalachian St.,12,54,12,2412,5,nan,Offense
2013-14,Appalachian St.,0,55,12,2338,5,nan,Defensive
2014-15,Appalachian St.,12,45,12,1704,2,nan,Offense
2014-15,Appalachian St.,0,56,12,2162,3,nan,Defensive
2015-16,Appalachian St.,13,52,13,2235,6,nan,Offense
2015-16,Appalachian St.,0,79,13,3348,6,nan,Defensive
2016-17,Appalachian St.,13,58,13,2285,3,nan,Offense
2016-17,Appalachian St.,0,75,13,3045,8,nan,Defensive
2017-18,Appalachian St.,12,54,12,2119,5,nan,Offense
2017-18,Appalachian St.,0,66,12,2773,5,nan,Defensive
2013-14,Appalachian St.,12,54,12,2412,5,nan,Offense
2013-14,Appalachian St.,0,55,12,2338,5,nan,Defensive
2014-15,Appalachian St.,12,45,12,1704,2,nan,Offense
2014-15,Appalachian St.,0,56,12,2162,3,nan,Defensive
2015-16,Appalachian St.,13,52,13,2235,6,nan,Offense
2015-16,Appalachian St.,0,79,13,3348,6,nan,Defensive
2016-17,Appalachian St.,13,58,13,2285,3,nan,Offense
2016-17,Appalachian St.,0,75,13,3045,8,nan,Defensive
2017-18,Appalachian St.,12,54,12,2119,5,nan,Offense
2017-18,Appalachian St.,0,66,12,2773,5,nan,Defensive
2013-14,Alabama,13,40,13,1875,6,nan,Offense
2013-14,Alabama,0,81,13,3401,7,nan,Defensive
2014-15,Alabama,14,55,14,2640,5,nan,Offense
2014-15,Alabama,0,88,14,3790,9,nan,Defensive
2015-16,Alabama,15,72,15,3120,9,nan,Offense
2015-16,Alabama,0,113,15,4556,5,nan,Defensive
2016-17,Alabama,15,65,15,3045,12,nan,Offense
2016-17,Alabama,0,111,15,4755,3,nan,Defensive
2017-18,Alabama,12,43,12,1822,3,nan,Offense
2017-18,Alabama,0,80,12,3247,1,nan,Defensive
2013-14,Alabama,13,40,13,1875,6,nan,Offense
2013-14,Alabama,0,81,13,3401,7,nan,Defensive
2014-15,Alabama,14,55,14,2640,5,nan,Offense
2014-15,Alabama,0,88,14,3790,9,nan,Defensive
2015-16,Alabama,15,72,15,3120,9,nan,Offense
2015-16,Alabama,0,113,15,4556,5,nan,Defensive
2016-17,Alabama,15,65,15,3045,12,nan,Offense
2016-17,Alabama,0,111,15,4755,3,nan,Defensive
2017-18,Alabama,12,43,12,1822,3,nan,Offense
2017-18,Alabama,0,80,12,3247,1,nan,Defensive
2013-14,Alabama,13,40,13,1875,6,nan,Offense
2013-14,Alabama,0,81,13,3401,7,nan,Defensive
2014-15,Alabama,14,55,14,2640,5,nan,Offense
