Year,Team,GP,G,PuntRet,PuntRetTDs,PuntRetYds,OffenseDefense
2013-14,Arizona St.,14,14,36,nan,206,Offense
2013-14,Arizona St.,0,14,19,nan,191,Defensive
2014-15,Arizona St.,13,13,15,nan,55,Offense
2014-15,Arizona St.,0,13,15,2,196,Defensive
2015-16,Arizona St.,13,13,27,nan,189,Offense
2015-16,Arizona St.,0,13,22,1,267,Defensive
2016-17,Arizona St.,12,12,23,1,236,Offense
2016-17,Arizona St.,0,12,19,nan,65,Defensive
2017-18,Arizona St.,12,12,19,1,115,Offense
2017-18,Arizona St.,0,12,27,nan,162,Defensive
2013-14,Appalachian St.,12,12,11,nan,41,Offense
2013-14,Appalachian St.,0,12,19,nan,121,Defensive
2014-15,Appalachian St.,12,12,12,1,65,Offense
2014-15,Appalachian St.,0,12,18,2,261,Defensive
2015-16,Appalachian St.,13,13,20,nan,99,Offense
2015-16,Appalachian St.,0,13,19,nan,117,Defensive
2016-17,Appalachian St.,13,13,17,nan,185,Offense
2016-17,Appalachian St.,0,13,12,nan,150,Defensive
2017-18,Appalachian St.,12,12,25,nan,226,Offense
2017-18,Appalachian St.,0,12,14,nan,126,Defensive
2013-14,Appalachian St.,12,12,11,nan,41,Offense
2013-14,Appalachian St.,0,12,19,nan,121,Defensive
2014-15,Appalachian St.,12,12,12,1,65,Offense
2014-15,Appalachian St.,0,12,18,2,261,Defensive
2015-16,Appalachian St.,13,13,20,nan,99,Offense
2015-16,Appalachian St.,0,13,19,nan,117,Defensive
2016-17,Appalachian St.,13,13,17,nan,185,Offense
2016-17,Appalachian St.,0,13,12,nan,150,Defensive
2017-18,Appalachian St.,12,12,25,nan,226,Offense
2017-18,Appalachian St.,0,12,14,nan,126,Defensive
2013-14,Appalachian St.,12,12,11,nan,41,Offense
2013-14,Appalachian St.,0,12,19,nan,121,Defensive
2014-15,Appalachian St.,12,12,12,1,65,Offense
2014-15,Appalachian St.,0,12,18,2,261,Defensive
2015-16,Appalachian St.,13,13,20,nan,99,Offense
2015-16,Appalachian St.,0,13,19,nan,117,Defensive
2016-17,Appalachian St.,13,13,17,nan,185,Offense
2016-17,Appalachian St.,0,13,12,nan,150,Defensive
2017-18,Appalachian St.,12,12,25,nan,226,Offense
2017-18,Appalachian St.,0,12,14,nan,126,Defensive
2013-14,Appalachian St.,12,12,11,nan,41,Offense
2013-14,Appalachian St.,0,12,19,nan,121,Defensive
2014-15,Appalachian St.,12,12,12,1,65,Offense
2014-15,Appalachian St.,0,12,18,2,261,Defensive
2015-16,Appalachian St.,13,13,20,nan,99,Offense
2015-16,Appalachian St.,0,13,19,nan,117,Defensive
2016-17,Appalachian St.,13,13,17,nan,185,Offense
2016-17,Appalachian St.,0,13,12,nan,150,Defensive
2017-18,Appalachian St.,12,12,25,nan,226,Offense
2017-18,Appalachian St.,0,12,14,nan,126,Defensive
2013-14,Alabama,13,13,29,3,413,Offense
2013-14,Alabama,0,13,13,nan,58,Defensive
2014-15,Alabama,14,14,25,nan,234,Offense
2014-15,Alabama,0,14,12,nan,83,Defensive
2015-16,Alabama,15,15,47,5,597,Offense
2015-16,Alabama,0,15,27,2,279,Defensive
2016-17,Alabama,15,15,34,4,528,Offense
2016-17,Alabama,0,15,20,nan,213,Defensive
2017-18,Alabama,12,12,30,nan,233,Offense
2017-18,Alabama,0,12,4,nan,5,Defensive
2013-14,Alabama,13,13,29,3,413,Offense
2013-14,Alabama,0,13,13,nan,58,Defensive
2014-15,Alabama,14,14,25,nan,234,Offense
2014-15,Alabama,0,14,12,nan,83,Defensive
2015-16,Alabama,15,15,47,5,597,Offense
2015-16,Alabama,0,15,27,2,279,Defensive
2016-17,Alabama,15,15,34,4,528,Offense
2016-17,Alabama,0,15,20,nan,213,Defensive
2017-18,Alabama,12,12,30,nan,233,Offense
2017-18,Alabama,0,12,4,nan,5,Defensive
2013-14,Alabama,13,13,29,3,413,Offense
2013-14,Alabama,0,13,13,nan,58,Defensive
2014-15,Alabama,14,14,25,nan,234,Offense
2014-15,Alabama,0,14,12,nan,83,Defensive
2015-16,Alabama,15,15,47,5,597,Offense
2015-16,Alabama,0,15,27,2,279,Defensive
2016-17,Alabama,15,15,34,4,528,Offense
2016-17,Alabama,0,15,20,nan,213,Defensive
2017-18,Alabama,12,12,30,nan,233,Offense
2017-18,Alabama,0,12,4,nan,5,Defensive
2013-14,Akron,12,12,22,nan,72,Offense
2013-14,Akron,0,12,15,nan,109,Defensive
2014-15,Akron,12,12,19,nan,75,Offense
2014-15,Akron,0,12,17,nan,123,Defensive
2015-16,Akron,13,13,19,nan,98,Offense
2015-16,Akron,0,13,23,nan,123,Defensive
2016-17,Akron,12,12,17,3,298,Offense
2016-17,Akron,0,12,21,nan,157,Defensive
2017-18,Akron,13,13,6,nan,12,Offense
2017-18,Akron,0,13,20,1,280,Defensive
2013-14,Alabama,13,13,29,3,413,Offense
2013-14,Alabama,0,13,13,nan,58,Defensive
2014-15,Alabama,14,14,25,nan,234,Offense
2014-15,Alabama,0,14,12,nan,83,Defensive
2015-16,Alabama,15,15,47,5,597,Offense
2015-16,Alabama,0,15,27,2,279,Defensive
2016-17,Alabama,15,15,34,4,528,Offense
2016-17,Alabama,0,15,20,nan,213,Defensive
2017-18,Alabama,12,12,30,nan,233,Offense
2017-18,Alabama,0,12,4,nan,5,Defensive
2013-14,Akron,12,12,22,nan,72,Offense
2013-14,Akron,0,12,15,nan,109,Defensive
2014-15,Akron,12,12,19,nan,75,Offense
2014-15,Akron,0,12,17,nan,123,Defensive
2015-16,Akron,13,13,19,nan,98,Offense
2015-16,Akron,0,13,23,nan,123,Defensive
2016-17,Akron,12,12,17,3,298,Offense
2016-17,Akron,0,12,21,nan,157,Defensive
2017-18,Akron,13,13,6,nan,12,Offense
2017-18,Akron,0,13,20,1,280,Defensive
2013-14,Akron,12,12,22,nan,72,Offense
2013-14,Akron,0,12,15,nan,109,Defensive
2014-15,Akron,12,12,19,nan,75,Offense
2014-15,Akron,0,12,17,nan,123,Defensive
2015-16,Akron,13,13,19,nan,98,Offense
2015-16,Akron,0,13,23,nan,123,Defensive
2016-17,Akron,12,12,17,3,298,Offense
2016-17,Akron,0,12,21,nan,157,Defensive
2017-18,Akron,13,13,6,nan,12,Offense
2017-18,Akron,0,13,20,1,280,Defensive
2013-14,Akron,12,12,22,nan,72,Offense
2013-14,Akron,0,12,15,nan,109,Defensive
2014-15,Akron,12,12,19,nan,75,Offense
2014-15,Akron,0,12,17,nan,123,Defensive
2015-16,Akron,13,13,19,nan,98,Offense
2015-16,Akron,0,13,23,nan,123,Defensive
2016-17,Akron,12,12,17,3,298,Offense
2016-17,Akron,0,12,21,nan,157,Defensive
2017-18,Akron,13,13,6,nan,12,Offense
2017-18,Akron,0,13,20,1,280,Defensive
2013-14,Air Force,12,12,7,nan,23,Offense
2013-14,Air Force,0,12,9,nan,35,Defensive
2014-15,Air Force,13,13,14,nan,71,Offense
2014-15,Air Force,0,13,13,nan,95,Defensive
2015-16,Air Force,14,14,15,1,139,Offense
2015-16,Air Force,0,14,14,nan,98,Defensive
2016-17,Air Force,13,13,9,1,99,Offense
2016-17,Air Force,0,13,19,nan,86,Defensive
2017-18,Air Force,12,12,10,nan,83,Offense
2017-18,Air Force,0,12,9,1,122,Defensive
2013-14,Air Force,12,12,7,nan,23,Offense
2013-14,Air Force,0,12,9,nan,35,Defensive
2014-15,Air Force,13,13,14,nan,71,Offense
2014-15,Air Force,0,13,13,nan,95,Defensive
2015-16,Air Force,14,14,15,1,139,Offense
2015-16,Air Force,0,14,14,nan,98,Defensive
2016-17,Air Force,13,13,9,1,99,Offense
2016-17,Air Force,0,13,19,nan,86,Defensive
2017-18,Air Force,12,12,10,nan,83,Offense
2017-18,Air Force,0,12,9,1,122,Defensive
2013-14,Air Force,12,12,7,nan,23,Offense
2013-14,Air Force,0,12,9,nan,35,Defensive
2014-15,Air Force,13,13,14,nan,71,Offense
2014-15,Air Force,0,13,13,nan,95,Defensive
2015-16,Air Force,14,14,15,1,139,Offense
2015-16,Air Force,0,14,14,nan,98,Defensive
2016-17,Air Force,13,13,9,1,99,Offense
2016-17,Air Force,0,13,19,nan,86,Defensive
2017-18,Air Force,12,12,10,nan,83,Offense
2017-18,Air Force,0,12,9,1,122,Defensive
2013-14,Air Force,12,12,7,nan,23,Offense
2013-14,Air Force,0,12,9,nan,35,Defensive
2014-15,Air Force,13,13,14,nan,71,Offense
2014-15,Air Force,0,13,13,nan,95,Defensive
2015-16,Air Force,14,14,15,1,139,Offense
2015-16,Air Force,0,14,14,nan,98,Defensive
2016-17,Air Force,13,13,9,1,99,Offense
2016-17,Air Force,0,13,19,nan,86,Defensive
2017-18,Air Force,12,12,10,nan,83,Offense
2017-18,Air Force,0,12,9,1,122,Defensive
2011-12,Auburn,1,1,nan,nan,nan,Offense
2011-12,Auburn,0,1,3,nan,6,Defensive
2013-14,Auburn,14,14,32,1,377,Offense
2013-14,Auburn,0,14,5,nan,35,Defensive
2014-15,Auburn,13,13,17,2,303,Offense
2014-15,Auburn,0,13,19,nan,148,Defensive
2015-16,Auburn,13,13,15,nan,179,Offense
2015-16,Auburn,0,13,7,1,87,Defensive
2016-17,Auburn,13,13,16,nan,171,Offense
2016-17,Auburn,0,13,6,nan,19,Defensive
2017-18,Auburn,13,13,20,1,189,Offense
2017-18,Auburn,0,13,13,1,159,Defensive
2013-14,Army West Point,12,12,14,nan,47,Offense
