Year,Team,GP,G,Rec,ReceivingYards,ReceptionsPerGame,YardsPerReception,RecTD,RecYdsG,OffenseDefense
2013-14,Arizona St.,14,14,309,3723,22.07,12.05,28,265.93,Offense
2013-14,Arizona St.,0,14,249,3286,17.79,13.20,24,234.71,Defensive
2014-15,Arizona St.,13,13,281,3556,21.62,12.65,34,273.54,Offense
2014-15,Arizona St.,0,13,269,3376,20.69,12.55,22,259.69,Defensive
2015-16,Arizona St.,13,13,320,3888,24.62,12.15,30,299.08,Offense
2015-16,Arizona St.,0,13,294,4388,22.62,14.93,35,337.54,Defensive
2016-17,Arizona St.,12,12,257,3111,21.42,12.11,16,259.25,Offense
2016-17,Arizona St.,0,12,310,4289,25.83,13.84,33,357.42,Defensive
2017-18,Arizona St.,12,12,239,2972,19.92,12.44,18,247.67,Offense
2017-18,Arizona St.,0,12,265,3256,22.08,12.29,19,271.33,Defensive
2013-14,Appalachian St.,12,12,291,3261,24.25,11.21,16,271.75,Offense
2013-14,Appalachian St.,0,12,188,2163,15.67,11.51,15,180.25,Defensive
2014-15,Appalachian St.,12,12,205,2637,17.08,12.86,21,219.75,Offense
2014-15,Appalachian St.,0,12,210,2342,17.50,11.15,17,195.17,Defensive
2015-16,Appalachian St.,13,13,180,2546,13.85,14.14,33,195.85,Offense
2015-16,Appalachian St.,0,13,223,2378,17.15,10.66,10,182.92,Defensive
2016-17,Appalachian St.,13,13,203,2327,15.62,11.46,16,179.00,Offense
2016-17,Appalachian St.,0,13,255,2649,255.00,133.65,12,2649.00,Defensive
2017-18,Appalachian St.,12,12,207,2680,17.25,12.95,28,223.33,Offense
2017-18,Appalachian St.,0,12,203,2542,16.92,12.52,14,211.83,Defensive
2013-14,Appalachian St.,12,12,291,3261,24.25,11.21,16,271.75,Offense
2013-14,Appalachian St.,0,12,188,2163,15.67,11.51,15,180.25,Defensive
2014-15,Appalachian St.,12,12,205,2637,17.08,12.86,21,219.75,Offense
2014-15,Appalachian St.,0,12,210,2342,17.50,11.15,17,195.17,Defensive
2015-16,Appalachian St.,13,13,180,2546,13.85,14.14,33,195.85,Offense
2015-16,Appalachian St.,0,13,223,2378,17.15,10.66,10,182.92,Defensive
2016-17,Appalachian St.,13,13,203,2327,15.62,11.46,16,179.00,Offense
2016-17,Appalachian St.,0,13,255,2649,255.00,133.65,12,2649.00,Defensive
2017-18,Appalachian St.,12,12,207,2680,17.25,12.95,28,223.33,Offense
2017-18,Appalachian St.,0,12,203,2542,16.92,12.52,14,211.83,Defensive
2013-14,Appalachian St.,12,12,291,3261,24.25,11.21,16,271.75,Offense
2013-14,Appalachian St.,0,12,188,2163,15.67,11.51,15,180.25,Defensive
2014-15,Appalachian St.,12,12,205,2637,17.08,12.86,21,219.75,Offense
2014-15,Appalachian St.,0,12,210,2342,17.50,11.15,17,195.17,Defensive
