Year,Team,GP,G,RZScores,RZPts,RZRushTD,RZPassTD,RZFGMade,RZEndFGA,RZEndFumble,RZEndINT,RZEndDowns,RZEndHalf,RZEndGame,OffenseDefense
2013-14,Arizona St.,14,14,67,381,33,13,21,3,nan,nan,3,2,nan,Offense
2013-14,Arizona St.,0,14,40,234,14,16,10,4,nan,1,nan,1,nan,Defensive
2014-15,Arizona St.,13,13,58,333,17,23,18,1,nan,1,4,nan,nan,Offense
2014-15,Arizona St.,0,13,35,209,11,15,9,2,nan,2,6,1,nan,Defensive
2015-16,Arizona St.,13,13,56,300,14,19,23,3,1,2,2,nan,nan,Offense
2015-16,Arizona St.,0,13,43,241,10,19,14,2,1,1,1,nan,nan,Defensive
2016-17,Arizona St.,12,12,43,261,22,11,10,nan,nan,4,nan,nan,nan,Offense
2016-17,Arizona St.,0,12,44,246,16,13,15,3,nan,nan,1,nan,nan,Defensive
2017-18,Arizona St.,12,12,46,282,25,11,10,nan,nan,nan,nan,2,nan,Offense
2017-18,Arizona St.,0,12,39,224,16,11,12,4,2,nan,2,1,nan,Defensive
2013-14,Appalachian St.,12,12,32,192,16,8,8,2,1,2,2,1,nan,Offense
2013-14,Appalachian St.,0,12,39,239,22,9,8,2,3,nan,4,1,nan,Defensive
2014-15,Appalachian St.,12,12,45,291,29,11,5,4,4,3,2,2,nan,Offense
2014-15,Appalachian St.,0,12,40,234,19,11,10,4,1,nan,1,1,nan,Defensive
2015-16,Appalachian St.,13,13,44,276,18,18,8,1,2,nan,1,2,nan,Offense
2015-16,Appalachian St.,0,13,28,150,12,5,11,5,3,1,6,1,nan,Defensive
2016-17,Appalachian St.,13,13,41,235,19,9,13,nan,1,nan,4,1,nan,Offense
2016-17,Appalachian St.,0,13,27,157,11,8,8,2,nan,4,4,nan,nan,Defensive
2017-18,Appalachian St.,12,12,43,259,19,14,10,3,1,1,2,nan,nan,Offense
2017-18,Appalachian St.,0,12,32,172,13,6,13,3,1,1,nan,2,nan,Defensive
2013-14,Appalachian St.,12,12,32,192,16,8,8,2,1,2,2,1,nan,Offense
