Year,Team,GP,SackUA,G,SackA,SackYds,Sacks,OffenseDefense
2013-14,Arizona St.,14,nan,14,nan,261,nan,Offense
2013-14,Arizona St.,0,nan,14,nan,228,nan,Defensive
2014-15,Arizona St.,13,nan,13,nan,298,nan,Offense
2014-15,Arizona St.,0,nan,13,nan,235,nan,Defensive
2015-16,Arizona St.,13,nan,13,nan,292,nan,Offense
2015-16,Arizona St.,0,nan,13,nan,233,nan,Defensive
2016-17,Arizona St.,12,nan,12,nan,183,nan,Offense
2016-17,Arizona St.,0,nan,12,nan,260,nan,Defensive
2017-18,Arizona St.,12,nan,12,nan,213,nan,Offense
2017-18,Arizona St.,0,nan,12,nan,218,nan,Defensive
2013-14,Appalachian St.,12,nan,12,nan,38,nan,Offense
2013-14,Appalachian St.,0,nan,12,nan,150,nan,Defensive
2014-15,Appalachian St.,12,nan,12,nan,186,nan,Offense
2014-15,Appalachian St.,0,nan,12,nan,46,nan,Defensive
2015-16,Appalachian St.,13,nan,13,nan,234,nan,Offense
2015-16,Appalachian St.,0,nan,13,nan,71,nan,Defensive
2016-17,Appalachian St.,13,nan,13,nan,199,nan,Offense
2016-17,Appalachian St.,0,nan,13,nan,96,nan,Defensive
2017-18,Appalachian St.,12,nan,12,nan,211,nan,Offense
2017-18,Appalachian St.,0,nan,12,nan,55,nan,Defensive
2013-14,Appalachian St.,12,nan,12,nan,38,nan,Offense
2013-14,Appalachian St.,0,nan,12,nan,150,nan,Defensive
2014-15,Appalachian St.,12,nan,12,nan,186,nan,Offense
2014-15,Appalachian St.,0,nan,12,nan,46,nan,Defensive
2015-16,Appalachian St.,13,nan,13,nan,234,nan,Offense
2015-16,Appalachian St.,0,nan,13,nan,71,nan,Defensive
2016-17,Appalachian St.,13,nan,13,nan,199,nan,Offense
2016-17,Appalachian St.,0,nan,13,nan,96,nan,Defensive
2017-18,Appalachian St.,12,nan,12,nan,211,nan,Offense
2017-18,Appalachian St.,0,nan,12,nan,55,nan,Defensive
2013-14,Appalachian St.,12,nan,12,nan,38,nan,Offense
2013-14,Appalachian St.,0,nan,12,nan,150,nan,Defensive
2014-15,Appalachian St.,12,nan,12,nan,186,nan,Offense
2014-15,Appalachian St.,0,nan,12,nan,46,nan,Defensive
2015-16,Appalachian St.,13,nan,13,nan,234,nan,Offense
2015-16,Appalachian St.,0,nan,13,nan,71,nan,Defensive
