Year,Team,GP,G,TDs,KickPAT,PATAtt,RushPAT,Ru2PTAtt,ReceivingPAT,Pass2PtConv,Pass2PTAtt,KickReturnPAT,FumbRetPAT,FG,Safeties,Points,OffenseDefense
2013-14,Arizona St.,14,14,69,63,65,nan,nan,1,1,4,nan,nan,25,1,556,Offense
2013-14,Arizona St.,0,14,48,41,44,nan,1,nan,nan,3,nan,nan,14,1,373,Defensive
2014-15,Arizona St.,13,13,59,53,55,nan,1,2,2,2,nan,nan,23,nan,480,Offense
2014-15,Arizona St.,0,13,46,46,46,nan,nan,nan,nan,nan,1,nan,13,nan,363,Defensive
2015-16,Arizona St.,13,13,52,52,52,nan,nan,nan,nan,nan,1,nan,26,3,450,Offense
2015-16,Arizona St.,0,13,55,49,50,1,2,nan,nan,3,nan,nan,18,nan,435,Defensive
2016-17,Arizona St.,12,12,47,39,40,nan,nan,4,4,7,nan,nan,23,1,400,Offense
2016-17,Arizona St.,0,12,61,58,61,nan,nan,nan,nan,nan,nan,nan,18,nan,478,Defensive
2017-18,Arizona St.,12,12,47,45,46,nan,nan,nan,nan,1,nan,nan,18,1,383,Offense
2017-18,Arizona St.,0,12,47,42,43,nan,nan,nan,nan,3,nan,nan,17,nan,375,Defensive
2013-14,Appalachian St.,12,12,35,32,32,nan,1,1,1,2,nan,nan,13,nan,283,Offense
2013-14,Appalachian St.,0,12,44,42,43,nan,nan,nan,nan,1,nan,nan,10,nan,336,Defensive
2014-15,Appalachian St.,12,12,58,52,57,nan,nan,1,1,1,nan,nan,8,1,428,Offense
2014-15,Appalachian St.,0,12,42,34,38,nan,1,nan,nan,3,nan,nan,14,nan,328,Defensive
2015-16,Appalachian St.,13,13,62,61,61,nan,nan,nan,nan,1,nan,nan,14,1,477,Offense
2015-16,Appalachian St.,0,13,29,27,28,nan,1,nan,nan,nan,nan,nan,15,1,248,Defensive
2016-17,Appalachian St.,13,13,48,47,48,nan,nan,nan,nan,nan,nan,nan,15,nan,380,Offense
2016-17,Appalachian St.,0,13,28,28,28,nan,nan,nan,nan,nan,nan,nan,12,nan,232,Defensive
2017-18,Appalachian St.,12,12,51,48,50,nan,1,nan,nan,nan,nan,nan,15,1,401,Offense
2017-18,Appalachian St.,0,12,30,29,30,nan,nan,nan,nan,nan,nan,nan,18,nan,263,Defensive
2013-14,Appalachian St.,12,12,35,32,32,nan,1,1,,2,nan,nan,13,nan,283,Offense
2013-14,Appalachian St.,0,12,44,42,43,nan,nan,nan,,1,nan,nan,10,nan,336,Defensive
2014-15,Appalachian St.,12,12,58,52,57,nan,nan,1,,1,nan,nan,8,1,428,Offense
2014-15,Appalachian St.,0,12,42,34,38,nan,1,nan,,3,nan,nan,14,nan,328,Defensive
2015-16,Appalachian St.,13,13,62,61,61,nan,nan,nan,,1,nan,nan,14,1,477,Offense
2015-16,Appalachian St.,0,13,29,27,28,nan,1,nan,,nan,nan,nan,15,1,248,Defensive
2016-17,Appalachian St.,13,13,48,47,48,nan,nan,nan,,nan,nan,nan,15,nan,380,Offense
2016-17,Appalachian St.,0,13,28,28,28,nan,nan,nan,,nan,nan,nan,12,nan,232,Defensive
2017-18,Appalachian St.,12,12,51,48,50,nan,1,nan,,nan,nan,nan,15,1,401,Offense
2017-18,Appalachian St.,0,12,30,29,30,nan,nan,nan,,nan,nan,nan,18,nan,263,Defensive
2013-14,Appalachian St.,12,12,35,32,32,nan,1,1,1,2,nan,nan,13,nan,283,Offense
2013-14,Appalachian St.,0,12,44,42,43,nan,nan,nan,nan,1,nan,nan,10,nan,336,Defensive
2014-15,Appalachian St.,12,12,58,52,57,nan,nan,1,1,1,nan,nan,8,1,428,Offense
2014-15,Appalachian St.,0,12,42,34,38,nan,1,nan,nan,3,nan,nan,14,nan,328,Defensive
2015-16,Appalachian St.,13,13,62,61,61,nan,nan,nan,nan,1,nan,nan,14,1,477,Offense
2015-16,Appalachian St.,0,13,29,27,28,nan,1,nan,nan,nan,nan,nan,15,1,248,Defensive
2016-17,Appalachian St.,13,13,48,47,48,nan,nan,nan,nan,nan,nan,nan,15,nan,380,Offense
2016-17,Appalachian St.,0,13,28,28,28,nan,nan,nan,nan,nan,nan,nan,12,nan,232,Defensive
2017-18,Appalachian St.,12,12,51,48,50,nan,1,nan,nan,nan,nan,nan,15,1,401,Offense
2017-18,Appalachian St.,0,12,30,29,30,nan,nan,nan,nan,nan,nan,nan,18,nan,263,Defensive
2013-14,Appalachian St.,12,12,35,32,32,nan,1,1,,2,nan,nan,13,nan,283,Offense
2013-14,Appalachian St.,0,12,44,42,43,nan,nan,nan,,1,nan,nan,10,nan,336,Defensive
2014-15,Appalachian St.,12,12,58,52,57,nan,nan,1,,1,nan,nan,8,1,428,Offense
2014-15,Appalachian St.,0,12,42,34,38,nan,1,nan,,3,nan,nan,14,nan,328,Defensive
2015-16,Appalachian St.,13,13,62,61,61,nan,nan,nan,,1,nan,nan,14,1,477,Offense
2015-16,Appalachian St.,0,13,29,27,28,nan,1,nan,,nan,nan,nan,15,1,248,Defensive
2016-17,Appalachian St.,13,13,48,47,48,nan,nan,nan,,nan,nan,nan,15,nan,380,Offense
2016-17,Appalachian St.,0,13,28,28,28,nan,nan,nan,,nan,nan,nan,12,nan,232,Defensive
2017-18,Appalachian St.,12,12,51,48,50,nan,1,nan,,nan,nan,nan,15,1,401,Offense
2017-18,Appalachian St.,0,12,30,29,30,nan,nan,nan,,nan,nan,nan,18,nan,263,Defensive
2013-14,Alabama,13,13,65,65,65,nan,nan,nan,,nan,nan,nan,13,1,496,Offense
2013-14,Alabama,0,13,23,22,22,nan,nan,nan,,nan,nan,nan,7,nan,181,Defensive
2014-15,Alabama,14,14,68,63,65,nan,1,1,,2,nan,nan,14,1,517,Offense
2014-15,Alabama,0,14,27,23,25,1,1,1,,1,nan,nan,23,nan,258,Defensive
2015-16,Alabama,15,15,65,63,63,nan,nan,nan,,2,nan,nan,23,2,526,Offense
2015-16,Alabama,0,15,26,21,22,1,2,nan,,2,nan,nan,16,nan,227,Defensive
2016-17,Alabama,15,15,74,72,73,nan,nan,nan,,1,nan,nan,22,nan,582,Offense
2016-17,Alabama,0,15,21,19,19,nan,nan,nan,,2,1,nan,16,nan,195,Defensive
2017-18,Alabama,12,12,60,59,59,nan,nan,1,,1,nan,nan,16,nan,469,Offense
2017-18,Alabama,0,12,16,13,14,nan,nan,nan,,2,nan,nan,9,1,138,Defensive
2013-14,Alabama,13,13,65,65,65,nan,nan,nan,nan,nan,nan,nan,13,1,496,Offense
2013-14,Alabama,0,13,23,22,22,nan,nan,nan,nan,nan,nan,nan,7,nan,181,Defensive
2014-15,Alabama,14,14,68,63,65,nan,1,1,1,2,nan,nan,14,1,517,Offense
2014-15,Alabama,0,14,27,23,25,1,1,1,1,1,nan,nan,23,nan,258,Defensive
2015-16,Alabama,15,15,65,63,63,nan,nan,nan,nan,2,nan,nan,23,2,526,Offense
2015-16,Alabama,0,15,26,21,22,1,2,nan,nan,2,nan,nan,16,nan,227,Defensive
2016-17,Alabama,15,15,74,72,73,nan,nan,nan,nan,1,nan,nan,22,nan,582,Offense
2016-17,Alabama,0,15,21,19,19,nan,nan,nan,nan,2,1,nan,16,nan,195,Defensive
2017-18,Alabama,12,12,60,59,59,nan,nan,1,1,1,nan,nan,16,nan,469,Offense
2017-18,Alabama,0,12,16,13,14,nan,nan,nan,nan,2,nan,nan,9,1,138,Defensive
2013-14,Alabama,13,13,65,65,65,nan,nan,nan,,nan,nan,nan,13,1,496,Offense
2013-14,Alabama,0,13,23,22,22,nan,nan,nan,,nan,nan,nan,7,nan,181,Defensive
2014-15,Alabama,14,14,68,63,65,nan,1,1,,2,nan,nan,14,1,517,Offense
2014-15,Alabama,0,14,27,23,25,1,1,1,,1,nan,nan,23,nan,258,Defensive
2015-16,Alabama,15,15,65,63,63,nan,nan,nan,,2,nan,nan,23,2,526,Offense
2015-16,Alabama,0,15,26,21,22,1,2,nan,,2,nan,nan,16,nan,227,Defensive
2016-17,Alabama,15,15,74,72,73,nan,nan,nan,,1,nan,nan,22,nan,582,Offense
2016-17,Alabama,0,15,21,19,19,nan,nan,nan,,2,1,nan,16,nan,195,Defensive
2017-18,Alabama,12,12,60,59,59,nan,nan,1,,1,nan,nan,16,nan,469,Offense
2017-18,Alabama,0,12,16,13,14,nan,nan,nan,,2,nan,nan,9,1,138,Defensive
2013-14,Akron,12,12,31,29,30,nan,nan,nan,nan,1,nan,nan,9,nan,242,Offense
2013-14,Akron,0,12,44,39,40,1,2,nan,nan,2,nan,nan,12,1,343,Defensive
2014-15,Akron,12,12,33,32,33,nan,nan,nan,nan,nan,nan,nan,13,1,271,Offense
2014-15,Akron,0,12,35,28,31,nan,2,nan,nan,2,nan,nan,13,nan,277,Defensive
2015-16,Akron,13,13,38,36,38,nan,nan,nan,nan,nan,nan,nan,15,1,311,Offense
2015-16,Akron,0,13,37,36,36,nan,1,nan,nan,nan,nan,nan,7,nan,279,Defensive
2016-17,Akron,12,12,43,39,42,nan,nan,1,1,1,nan,nan,10,nan,329,Offense
2016-17,Akron,0,12,50,48,49,1,1,nan,nan,nan,nan,nan,17,1,403,Defensive
2017-18,Akron,13,13,42,40,42,nan,nan,nan,nan,nan,nan,nan,5,nan,307,Offense
2017-18,Akron,0,13,42,39,41,nan,nan,nan,nan,1,nan,nan,17,nan,342,Defensive
2013-14,Alabama,13,13,65,65,65,nan,nan,nan,nan,nan,nan,nan,13,1,496,Offense
2013-14,Alabama,0,13,23,22,22,nan,nan,nan,nan,nan,nan,nan,7,nan,181,Defensive
2014-15,Alabama,14,14,68,63,65,nan,1,1,1,2,nan,nan,14,1,517,Offense
2014-15,Alabama,0,14,27,23,25,1,1,1,1,1,nan,nan,23,nan,258,Defensive
2015-16,Alabama,15,15,65,63,63,nan,nan,nan,nan,2,nan,nan,23,2,526,Offense
2015-16,Alabama,0,15,26,21,22,1,2,nan,nan,2,nan,nan,16,nan,227,Defensive
2016-17,Alabama,15,15,74,72,73,nan,nan,nan,nan,1,nan,nan,22,nan,582,Offense
2016-17,Alabama,0,15,21,19,19,nan,nan,nan,nan,2,1,nan,16,nan,195,Defensive
2017-18,Alabama,12,12,60,59,59,nan,nan,1,1,1,nan,nan,16,nan,469,Offense
2017-18,Alabama,0,12,16,13,14,nan,nan,nan,nan,2,nan,nan,9,1,138,Defensive
2013-14,Akron,12,12,31,29,30,nan,nan,nan,,1,nan,nan,9,nan,242,Offense
2013-14,Akron,0,12,44,39,40,1,2,nan,,2,nan,nan,12,1,343,Defensive
2014-15,Akron,12,12,33,32,33,nan,nan,nan,,nan,nan,nan,13,1,271,Offense
2014-15,Akron,0,12,35,28,31,nan,2,nan,,2,nan,nan,13,nan,277,Defensive
2015-16,Akron,13,13,38,36,38,nan,nan,nan,,nan,nan,nan,15,1,311,Offense
2015-16,Akron,0,13,37,36,36,nan,1,nan,,nan,nan,nan,7,nan,279,Defensive
2016-17,Akron,12,12,43,39,42,nan,nan,1,,1,nan,nan,10,nan,329,Offense
2016-17,Akron,0,12,50,48,49,1,1,nan,,nan,nan,nan,17,1,403,Defensive
2017-18,Akron,13,13,42,40,42,nan,nan,nan,,nan,nan,nan,5,nan,307,Offense
2017-18,Akron,0,13,42,39,41,nan,nan,nan,,1,nan,nan,17,nan,342,Defensive
2013-14,Akron,12,12,31,29,30,nan,nan,nan,,1,nan,nan,9,nan,242,Offense
2013-14,Akron,0,12,44,39,40,1,2,nan,,2,nan,nan,12,1,343,Defensive
2014-15,Akron,12,12,33,32,33,nan,nan,nan,,nan,nan,nan,13,1,271,Offense
2014-15,Akron,0,12,35,28,31,nan,2,nan,,2,nan,nan,13,nan,277,Defensive
2015-16,Akron,13,13,38,36,38,nan,nan,nan,,nan,nan,nan,15,1,311,Offense
2015-16,Akron,0,13,37,36,36,nan,1,nan,,nan,nan,nan,7,nan,279,Defensive
2016-17,Akron,12,12,43,39,42,nan,nan,1,,1,nan,nan,10,nan,329,Offense
2016-17,Akron,0,12,50,48,49,1,1,nan,,nan,nan,nan,17,1,403,Defensive
2017-18,Akron,13,13,42,40,42,nan,nan,nan,,nan,nan,nan,5,nan,307,Offense
2017-18,Akron,0,13,42,39,41,nan,nan,nan,,1,nan,nan,17,nan,342,Defensive
2013-14,Akron,12,12,31,29,30,nan,nan,nan,nan,1,nan,nan,9,nan,242,Offense
2013-14,Akron,0,12,44,39,40,1,2,nan,nan,2,nan,nan,12,1,343,Defensive
2014-15,Akron,12,12,33,32,33,nan,nan,nan,nan,nan,nan,nan,13,1,271,Offense
2014-15,Akron,0,12,35,28,31,nan,2,nan,nan,2,nan,nan,13,nan,277,Defensive
2015-16,Akron,13,13,38,36,38,nan,nan,nan,nan,nan,nan,nan,15,1,311,Offense
2015-16,Akron,0,13,37,36,36,nan,1,nan,nan,nan,nan,nan,7,nan,279,Defensive
2016-17,Akron,12,12,43,39,42,nan,nan,1,1,1,nan,nan,10,nan,329,Offense
2016-17,Akron,0,12,50,48,49,1,1,nan,nan,nan,nan,nan,17,1,403,Defensive
2017-18,Akron,13,13,42,40,42,nan,nan,nan,nan,nan,nan,nan,5,nan,307,Offense
2017-18,Akron,0,13,42,39,41,nan,nan,nan,nan,1,nan,nan,17,nan,342,Defensive
2013-14,Air Force,12,12,38,35,36,nan,2,nan,,nan,nan,nan,11,nan,296,Offense
2013-14,Air Force,0,12,67,55,61,1,2,3,,4,nan,nan,5,nan,480,Defensive
2014-15,Air Force,13,13,50,46,47,nan,1,2,,2,nan,nan,19,1,409,Offense
2014-15,Air Force,0,13,39,38,39,nan,nan,nan,,nan,nan,nan,14,nan,314,Defensive
2015-16,Air Force,14,14,62,58,60,2,2,nan,,nan,nan,nan,13,nan,473,Offense
2015-16,Air Force,0,14,45,42,44,nan,1,nan,,nan,nan,nan,15,nan,357,Defensive
2016-17,Air Force,13,13,56,51,51,1,3,1,,2,nan,nan,22,nan,457,Offense
2016-17,Air Force,0,13,45,40,42,1,1,1,,2,nan,nan,9,nan,341,Defensive
2017-18,Air Force,12,12,50,45,46,nan,1,1,,3,nan,nan,10,nan,377,Offense
2017-18,Air Force,0,12,49,48,48,nan,nan,1,,1,nan,nan,15,nan,389,Defensive
2013-14,Air Force,12,12,38,35,36,nan,2,nan,,nan,nan,nan,11,nan,296,Offense
