Year,Team,GP,G,SoloTack,AsstTack,STFL,ATFL,TackleYds,Tackles,OffenseDefense
2013-14,Arizona St.,14,14,607,268,85,32,413,875,Offense
2013-14,Arizona St.,0,14,758,258,78,32,354,1016,Defensive
2014-15,Arizona St.,13,13,617,290,88,20,452,907,Offense
2014-15,Arizona St.,0,13,629,220,87,14,363,849,Defensive
2015-16,Arizona St.,13,13,588,192,94,34,445,780,Offense
2015-16,Arizona St.,0,13,683,266,82,28,356,949,Defensive
2016-17,Arizona St.,12,12,541,170,70,30,324,711,Offense
2016-17,Arizona St.,0,12,619,208,81,18,367,827,Defensive
2017-18,Arizona St.,12,12,531,238,62,28,316,769,Offense
2017-18,Arizona St.,0,12,603,304,67,22,333,907,Defensive
2013-14,Appalachian St.,12,12,440,504,38,38,146,944,Offense
2013-14,Appalachian St.,0,12,493,414,60,22,306,907,Defensive
2014-15,Appalachian St.,12,12,452,366,57,38,287,818,Offense
2014-15,Appalachian St.,0,12,510,344,49,28,157,854,Defensive
2015-16,Appalachian St.,13,13,519,388,74,46,375,907,Offense
2015-16,Appalachian St.,0,13,511,502,60,32,222,1013,Defensive
2016-17,Appalachian St.,13,13,477,345,64,24,286,822,Offense
2016-17,Appalachian St.,0,13,521,460,57,36,235,981,Defensive
2017-18,Appalachian St.,12,12,466,356,62,42,322,822,Offense
2017-18,Appalachian St.,0,12,476,362,51,28,190,838,Defensive
2013-14,Appalachian St.,12,12,440,504,38,38,146,944,Offense
2013-14,Appalachian St.,0,12,493,414,60,22,306,907,Defensive
2014-15,Appalachian St.,12,12,452,366,57,38,287,818,Offense
2014-15,Appalachian St.,0,12,510,344,49,28,157,854,Defensive
2015-16,Appalachian St.,13,13,519,388,74,46,375,907,Offense
2015-16,Appalachian St.,0,13,511,502,60,32,222,1013,Defensive
2016-17,Appalachian St.,13,13,477,345,64,24,286,822,Offense
2016-17,Appalachian St.,0,13,521,460,57,36,235,981,Defensive
2017-18,Appalachian St.,12,12,466,356,62,42,322,822,Offense
2017-18,Appalachian St.,0,12,476,362,51,28,190,838,Defensive
2013-14,Appalachian St.,12,12,440,504,38,38,146,944,Offense
2013-14,Appalachian St.,0,12,493,414,60,22,306,907,Defensive
2014-15,Appalachian St.,12,12,452,366,57,38,287,818,Offense
2014-15,Appalachian St.,0,12,510,344,49,28,157,854,Defensive
2015-16,Appalachian St.,13,13,519,388,74,46,375,907,Offense
2015-16,Appalachian St.,0,13,511,502,60,32,222,1013,Defensive
2016-17,Appalachian St.,13,13,477,345,64,24,286,822,Offense
2016-17,Appalachian St.,0,13,521,460,57,36,235,981,Defensive
2017-18,Appalachian St.,12,12,466,356,62,42,322,822,Offense
2017-18,Appalachian St.,0,12,476,362,51,28,190,838,Defensive
2013-14,Appalachian St.,12,12,440,504,38,38,146,944,Offense
2013-14,Appalachian St.,0,12,493,414,60,22,306,907,Defensive
2014-15,Appalachian St.,12,12,452,366,57,38,287,818,Offense
2014-15,Appalachian St.,0,12,510,344,49,28,157,854,Defensive
2015-16,Appalachian St.,13,13,519,388,74,46,375,907,Offense
2015-16,Appalachian St.,0,13,511,502,60,32,222,1013,Defensive
2016-17,Appalachian St.,13,13,477,345,64,24,286,822,Offense
2016-17,Appalachian St.,0,13,521,460,57,36,235,981,Defensive
2017-18,Appalachian St.,12,12,466,356,62,42,322,822,Offense
2017-18,Appalachian St.,0,12,476,362,51,28,190,838,Defensive
2013-14,Alabama,13,13,471,372,53,32,245,843,Offense
2013-14,Alabama,0,13,466,414,38,36,209,880,Defensive
2014-15,Alabama,14,14,525,434,73,46,360,959,Offense
2014-15,Alabama,0,14,602,448,51,24,231,1050,Defensive
2015-16,Alabama,15,15,531,371,92,32,484,902,Offense
2015-16,Alabama,0,15,702,450,84,34,370,1152,Defensive
2016-17,Alabama,15,15,544,447,91,54,615,991,Offense
2016-17,Alabama,0,15,663,414,80,56,374,1077,Defensive
2017-18,Alabama,12,12,407,417,65,30,312,824,Offense
2017-18,Alabama,0,12,432,440,36,18,189,872,Defensive
2013-14,Alabama,13,13,471,372,53,32,245,843,Offense
2013-14,Alabama,0,13,466,414,38,36,209,880,Defensive
2014-15,Alabama,14,14,525,434,73,46,360,959,Offense
2014-15,Alabama,0,14,602,448,51,24,231,1050,Defensive
2015-16,Alabama,15,15,531,371,92,32,484,902,Offense
2015-16,Alabama,0,15,702,450,84,34,370,1152,Defensive
2016-17,Alabama,15,15,544,447,91,54,615,991,Offense
2016-17,Alabama,0,15,663,414,80,56,374,1077,Defensive
2017-18,Alabama,12,12,407,417,65,30,312,824,Offense
2017-18,Alabama,0,12,432,440,36,18,189,872,Defensive
2013-14,Alabama,13,13,471,372,53,32,245,843,Offense
2013-14,Alabama,0,13,466,414,38,36,209,880,Defensive
2014-15,Alabama,14,14,525,434,73,46,360,959,Offense
2014-15,Alabama,0,14,602,448,51,24,231,1050,Defensive
2015-16,Alabama,15,15,531,371,92,32,484,902,Offense
2015-16,Alabama,0,15,702,450,84,34,370,1152,Defensive
2016-17,Alabama,15,15,544,447,91,54,615,991,Offense
2016-17,Alabama,0,15,663,414,80,56,374,1077,Defensive
2017-18,Alabama,12,12,407,417,65,30,312,824,Offense
2017-18,Alabama,0,12,432,440,36,18,189,872,Defensive
2013-14,Akron,12,12,470,431,51,32,251,901,Offense
2013-14,Akron,0,12,480,308,54,34,266,788,Defensive
2014-15,Akron,12,12,501,327,59,26,280,761,Offense
2014-15,Akron,0,12,473,271,48,22,213,682,Defensive
2015-16,Akron,13,13,498,332,63,44,382,830,Offense
2015-16,Akron,0,13,494,395,57,38,257,889,Defensive
2016-17,Akron,12,12,524,466,48,36,229,990,Offense
2016-17,Akron,0,12,460,252,68,18,254,712,Defensive
2017-18,Akron,13,13,537,402,51,34,267,939,Offense
2017-18,Akron,0,13,387,494,49,66,323,881,Defensive
2013-14,Alabama,13,13,471,372,53,32,245,843,Offense
2013-14,Alabama,0,13,466,414,38,36,209,880,Defensive
2014-15,Alabama,14,14,525,434,73,46,360,959,Offense
2014-15,Alabama,0,14,602,448,51,24,231,1050,Defensive
2015-16,Alabama,15,15,531,371,92,32,484,902,Offense
2015-16,Alabama,0,15,702,450,84,34,370,1152,Defensive
2016-17,Alabama,15,15,544,447,91,54,615,991,Offense
2016-17,Alabama,0,15,663,414,80,56,374,1077,Defensive
2017-18,Alabama,12,12,407,417,65,30,312,824,Offense
2017-18,Alabama,0,12,432,440,36,18,189,872,Defensive
2013-14,Akron,12,12,470,431,51,32,251,901,Offense
2013-14,Akron,0,12,480,308,54,34,266,788,Defensive
2014-15,Akron,12,12,501,327,59,26,280,761,Offense
2014-15,Akron,0,12,473,271,48,22,213,682,Defensive
2015-16,Akron,13,13,498,332,63,44,382,830,Offense
2015-16,Akron,0,13,494,395,57,38,257,889,Defensive
2016-17,Akron,12,12,524,466,48,36,229,990,Offense
2016-17,Akron,0,12,460,252,68,18,254,712,Defensive
2017-18,Akron,13,13,537,402,51,34,267,939,Offense
