Year,Team,GP,G,RushNetYards,TOP,PassYards,Plays,TotOff,YdsPlay,RushingFirstDowns,PassingFirstDowns,FirstDownsbyPenalty,Penalties,PenaltiesPerGame,PenaltyYards,PenaltyYdsPerGame,TotalOffYardsG,OffenseDefense
2013-14,Arizona St.,14,14,2679,25496,3723,1102,6402,0.00,147,165,28,56,4.00,439,31.36,457.29,Offense
2013-14,Arizona St.,0,14,1927,24904,3286,942,5213,5.53,94,135,14,92,6.57,793,56.64,372.36,Defensive
2014-15,Arizona St.,13,13,2194,22391,3556,975,5750,0.00,110,166,25,58,4.46,421,32.38,442.31,Offense
2014-15,Arizona St.,0,13,2046,24409,3376,964,5422,5.62,100,146,15,91,7.00,796,61.23,417.08,Defensive
2015-16,Arizona St.,13,13,2319,24566,3888,1070,6207,0.00,116,170,19,60,4.62,518,39.85,477.46,Offense
2015-16,Arizona St.,0,13,1641,22234,4388,967,6029,6.23,93,164,14,75,5.77,663,51.00,463.77,Defensive
2016-17,Arizona St.,12,12,1578,21734,3111,900,4689,0.00,88,134,22,66,5.50,624,52.00,390.75,Offense
2016-17,Arizona St.,0,12,1957,21466,4289,884,6246,7.07,93,163,22,82,6.83,723,60.25,520.50,Defensive
2017-18,Arizona St.,12,12,2159,22961,2972,911,5131,0.00,122,116,19,49,4.08,483,40.25,427.58,Offense
2017-18,Arizona St.,0,12,2108,20239,3256,852,5364,6.30,103,142,22,83,6.92,699,58.25,447.00,Defensive
2013-14,Appalachian St.,12,12,1656,21138,3261,845,4917,0.00,92,155,12,81,6.75,664,55.33,409.75,Offense
2013-14,Appalachian St.,0,12,2643,22062,2163,835,4806,5.76,139,95,12,72,6.00,637,53.08,400.50,Defensive
2014-15,Appalachian St.,12,12,2901,22566,2637,877,5538,0.00,137,114,32,88,7.33,755,62.92,461.50,Offense
2014-15,Appalachian St.,0,12,1828,20634,2342,786,4170,5.31,94,100,19,80,6.67,837,69.75,347.50,Defensive
2015-16,Appalachian St.,13,13,3529,24485,2546,902,6075,0.00,158,109,24,84,6.46,739,56.85,467.31,Offense
2015-16,Appalachian St.,0,13,1710,22315,2378,871,4088,4.69,99,112,12,79,6.08,688,52.92,314.46,Defensive
2016-17,Appalachian St.,13,13,3262,26206,2327,912,5589,0.00,156,114,21,79,6.08,750,57.69,429.92,Offense
2016-17,Appalachian St.,0,13,1637,20594,2649,859,4286,4.99,83,125,24,77,77.00,694,694.00,4286.00,Defensive
2017-18,Appalachian St.,12,12,2580,22279,2680,816,5260,0.00,121,109,19,87,7.25,806,67.17,438.33,Offense
2017-18,Appalachian St.,0,12,1765,20921,2542,789,4307,5.46,93,103,18,88,7.33,754,62.83,358.92,Defensive
