Year,Team,GP,FumblesRecovered,Int,FumblesLost,Interceptions,OffenseDefense
2013-14,Arizona St.,14,12,21,6,12,Offense
2013-14,Arizona St.,0,6,12,12,21,Defensive
2014-15,Arizona St.,13,13,14,4,9,Offense
2014-15,Arizona St.,0,4,9,13,14,Defensive
2015-16,Arizona St.,13,6,15,10,9,Offense
2015-16,Arizona St.,0,10,9,6,15,Defensive
2016-17,Arizona St.,12,8,9,7,14,Offense
2016-17,Arizona St.,0,7,14,8,9,Defensive
2017-18,Arizona St.,12,5,11,5,6,Offense
2017-18,Arizona St.,0,5,6,5,11,Defensive
2013-14,Appalachian St.,12,8,10,10,7,Offense
2013-14,Appalachian St.,0,10,7,8,10,Defensive
2014-15,Appalachian St.,12,7,12,10,11,Offense
2014-15,Appalachian St.,0,10,11,7,12,Defensive
2015-16,Appalachian St.,13,6,18,13,9,Offense
2015-16,Appalachian St.,0,13,9,6,18,Defensive
2016-17,Appalachian St.,13,1,20,5,8,Offense
2016-17,Appalachian St.,0,5,8,1,20,Defensive
2017-18,Appalachian St.,12,7,15,8,6,Offense
2017-18,Appalachian St.,0,8,6,7,15,Defensive
2013-14,Appalachian St.,12,8,10,10,7,Offense
2013-14,Appalachian St.,0,10,7,8,10,Defensive
2014-15,Appalachian St.,12,7,12,10,11,Offense
2014-15,Appalachian St.,0,10,11,7,12,Defensive
2015-16,Appalachian St.,13,6,18,13,9,Offense
2015-16,Appalachian St.,0,13,9,6,18,Defensive
2016-17,Appalachian St.,13,1,20,5,8,Offense
2016-17,Appalachian St.,0,5,8,1,20,Defensive
2017-18,Appalachian St.,12,7,15,8,6,Offense
2017-18,Appalachian St.,0,8,6,7,15,Defensive
2013-14,Appalachian St.,12,8,10,10,7,Offense
2013-14,Appalachian St.,0,10,7,8,10,Defensive
2014-15,Appalachian St.,12,7,12,10,11,Offense
2014-15,Appalachian St.,0,10,11,7,12,Defensive
2015-16,Appalachian St.,13,6,18,13,9,Offense
2015-16,Appalachian St.,0,13,9,6,18,Defensive
2016-17,Appalachian St.,13,1,20,5,8,Offense
2016-17,Appalachian St.,0,5,8,1,20,Defensive
2017-18,Appalachian St.,12,7,15,8,6,Offense
2017-18,Appalachian St.,0,8,6,7,15,Defensive
2013-14,Appalachian St.,12,8,10,10,7,Offense
2013-14,Appalachian St.,0,10,7,8,10,Defensive
2014-15,Appalachian St.,12,7,12,10,11,Offense
2014-15,Appalachian St.,0,10,11,7,12,Defensive
2015-16,Appalachian St.,13,6,18,13,9,Offense
2015-16,Appalachian St.,0,13,9,6,18,Defensive
2016-17,Appalachian St.,13,1,20,5,8,Offense
2016-17,Appalachian St.,0,5,8,1,20,Defensive
2017-18,Appalachian St.,12,7,15,8,6,Offense
2017-18,Appalachian St.,0,8,6,7,15,Defensive
2013-14,Alabama,13,8,11,10,7,Offense
2013-14,Alabama,0,9,7,8,11,Defensive
2014-15,Alabama,14,9,11,12,10,Offense
2014-15,Alabama,0,12,10,9,11,Defensive
2015-16,Alabama,15,8,19,7,10,Offense
2015-16,Alabama,0,7,10,8,19,Defensive
2016-17,Alabama,15,13,16,10,9,Offense
2016-17,Alabama,0,10,9,13,16,Defensive
2017-18,Alabama,12,5,15,6,2,Offense
2017-18,Alabama,0,6,2,5,15,Defensive
2013-14,Alabama,13,8,11,10,7,Offense
2013-14,Alabama,0,9,7,8,11,Defensive
2014-15,Alabama,14,9,11,12,10,Offense
2014-15,Alabama,0,12,10,9,11,Defensive
2015-16,Alabama,15,8,19,7,10,Offense
2015-16,Alabama,0,7,10,8,19,Defensive
2016-17,Alabama,15,13,16,10,9,Offense
2016-17,Alabama,0,10,9,13,16,Defensive
2017-18,Alabama,12,5,15,6,2,Offense
2017-18,Alabama,0,6,2,5,15,Defensive
2013-14,Alabama,13,8,11,10,7,Offense
2013-14,Alabama,0,9,7,8,11,Defensive
2014-15,Alabama,14,9,11,12,10,Offense
2014-15,Alabama,0,12,10,9,11,Defensive
2015-16,Alabama,15,8,19,7,10,Offense
2015-16,Alabama,0,7,10,8,19,Defensive
2016-17,Alabama,15,13,16,10,9,Offense
2016-17,Alabama,0,10,9,13,16,Defensive
2017-18,Alabama,12,5,15,6,2,Offense
2017-18,Alabama,0,6,2,5,15,Defensive
2013-14,Akron,12,6,13,11,10,Offense
2013-14,Akron,0,10,10,6,13,Defensive
2014-15,Akron,12,11,13,12,14,Offense
2014-15,Akron,0,12,14,11,13,Defensive
2015-16,Akron,13,14,14,6,12,Offense
2015-16,Akron,0,6,12,14,14,Defensive
2016-17,Akron,12,6,8,8,14,Offense
2016-17,Akron,0,8,14,6,8,Defensive
2017-18,Akron,13,8,19,6,11,Offense
2017-18,Akron,0,6,11,8,19,Defensive
2013-14,Alabama,13,8,11,10,7,Offense
2013-14,Alabama,0,9,7,8,11,Defensive
2014-15,Alabama,14,9,11,12,10,Offense
2014-15,Alabama,0,12,10,9,11,Defensive
2015-16,Alabama,15,8,19,7,10,Offense
2015-16,Alabama,0,7,10,8,19,Defensive
2016-17,Alabama,15,13,16,10,9,Offense
2016-17,Alabama,0,10,9,13,16,Defensive
2017-18,Alabama,12,5,15,6,2,Offense
2017-18,Alabama,0,6,2,5,15,Defensive
2013-14,Akron,12,6,13,11,10,Offense
2013-14,Akron,0,10,10,6,13,Defensive
2014-15,Akron,12,11,13,12,14,Offense
2014-15,Akron,0,12,14,11,13,Defensive
2015-16,Akron,13,14,14,6,12,Offense
2015-16,Akron,0,6,12,14,14,Defensive
2016-17,Akron,12,6,8,8,14,Offense
2016-17,Akron,0,8,14,6,8,Defensive
2017-18,Akron,13,8,19,6,11,Offense
2017-18,Akron,0,6,11,8,19,Defensive
2013-14,Akron,12,6,13,11,10,Offense
2013-14,Akron,0,10,10,6,13,Defensive
2014-15,Akron,12,11,13,12,14,Offense
2014-15,Akron,0,12,14,11,13,Defensive
2015-16,Akron,13,14,14,6,12,Offense
2015-16,Akron,0,6,12,14,14,Defensive
2016-17,Akron,12,6,8,8,14,Offense
2016-17,Akron,0,8,14,6,8,Defensive
2017-18,Akron,13,8,19,6,11,Offense
2017-18,Akron,0,6,11,8,19,Defensive
2013-14,Akron,12,6,13,11,10,Offense
2013-14,Akron,0,10,10,6,13,Defensive
2014-15,Akron,12,11,13,12,14,Offense
2014-15,Akron,0,12,14,11,13,Defensive
2015-16,Akron,13,14,14,6,12,Offense
2015-16,Akron,0,6,12,14,14,Defensive
2016-17,Akron,12,6,8,8,14,Offense
2016-17,Akron,0,8,14,6,8,Defensive
2017-18,Akron,13,8,19,6,11,Offense
2017-18,Akron,0,6,11,8,19,Defensive
2013-14,Air Force,12,5,4,9,4,Offense
2013-14,Air Force,0,9,4,5,4,Defensive
2014-15,Air Force,13,8,10,13,4,Offense
2014-15,Air Force,0,13,4,8,10,Defensive
2015-16,Air Force,14,7,11,11,12,Offense
2015-16,Air Force,0,11,12,7,11,Defensive
2016-17,Air Force,13,8,15,9,8,Offense
2016-17,Air Force,0,9,8,8,15,Defensive
2017-18,Air Force,12,5,5,14,6,Offense
2017-18,Air Force,0,14,6,5,5,Defensive
2013-14,Air Force,12,5,4,9,4,Offense
2013-14,Air Force,0,9,4,5,4,Defensive
2014-15,Air Force,13,8,10,13,4,Offense
2014-15,Air Force,0,13,4,8,10,Defensive
2015-16,Air Force,14,7,11,11,12,Offense
2015-16,Air Force,0,11,12,7,11,Defensive
2016-17,Air Force,13,8,15,9,8,Offense
2016-17,Air Force,0,9,8,8,15,Defensive
2017-18,Air Force,12,5,5,14,6,Offense
2017-18,Air Force,0,14,6,5,5,Defensive
2013-14,Air Force,12,5,4,9,4,Offense
2013-14,Air Force,0,9,4,5,4,Defensive
2014-15,Air Force,13,8,10,13,4,Offense
2014-15,Air Force,0,13,4,8,10,Defensive
2015-16,Air Force,14,7,11,11,12,Offense
2015-16,Air Force,0,11,12,7,11,Defensive
2016-17,Air Force,13,8,15,9,8,Offense
2016-17,Air Force,0,9,8,8,15,Defensive
2017-18,Air Force,12,5,5,14,6,Offense
2017-18,Air Force,0,14,6,5,5,Defensive
2013-14,Air Force,12,5,4,9,4,Offense
2013-14,Air Force,0,9,4,5,4,Defensive
2014-15,Air Force,13,8,10,13,4,Offense
2014-15,Air Force,0,13,4,8,10,Defensive
2015-16,Air Force,14,7,11,11,12,Offense
2015-16,Air Force,0,11,12,7,11,Defensive
2016-17,Air Force,13,8,15,9,8,Offense
2016-17,Air Force,0,9,8,8,15,Defensive
2017-18,Air Force,12,5,5,14,6,Offense
2017-18,Air Force,0,14,6,5,5,Defensive
2011-12,Auburn,1,nan,2,1,1,Offense
2011-12,Auburn,0,1,1,nan,2,Defensive
2013-14,Auburn,14,6,13,11,8,Offense
2013-14,Auburn,0,11,8,6,13,Defensive
2014-15,Auburn,13,5,22,13,7,Offense
2014-15,Auburn,0,13,7,5,22,Defensive
2015-16,Auburn,13,5,14,5,12,Offense
2015-16,Auburn,0,5,12,5,14,Defensive
2016-17,Auburn,13,6,11,8,6,Offense
2016-17,Auburn,0,8,6,6,11,Defensive
2017-18,Auburn,13,12,6,13,4,Offense
2017-18,Auburn,0,13,4,12,6,Defensive
2013-14,Army West Point,12,9,7,13,4,Offense
2013-14,Army West Point,0,13,4,10,7,Defensive
2014-15,Army West Point,12,4,11,11,2,Offense
2014-15,Army West Point,0,11,2,4,11,Defensive
2015-16,Army West Point,12,5,6,13,9,Offense
2015-16,Army West Point,0,13,9,5,6,Defensive
2016-17,Army West Point,13,5,17,14,11,Offense
2016-17,Army West Point,0,14,11,5,17,Defensive
2017-18,Army West Point,12,8,5,4,5,Offense
2017-18,Army West Point,0,4,5,8,5,Defensive
2013-14,Army West Point,12,9,7,13,4,Offense
2013-14,Army West Point,0,13,4,10,7,Defensive
2014-15,Army West Point,12,4,11,11,2,Offense
2014-15,Army West Point,0,11,2,4,11,Defensive
2015-16,Army West Point,12,5,6,13,9,Offense
2015-16,Army West Point,0,13,9,5,6,Defensive
2016-17,Army West Point,13,5,17,14,11,Offense
2016-17,Army West Point,0,14,11,5,17,Defensive
2017-18,Army West Point,12,8,5,4,5,Offense
2017-18,Army West Point,0,4,5,8,5,Defensive
2013-14,Army West Point,12,9,7,13,4,Offense
2013-14,Army West Point,0,13,4,10,7,Defensive
2014-15,Army West Point,12,4,11,11,2,Offense
2014-15,Army West Point,0,11,2,4,11,Defensive
2015-16,Army West Point,12,5,6,13,9,Offense
2015-16,Army West Point,0,13,9,5,6,Defensive
2016-17,Army West Point,13,5,17,14,11,Offense
2016-17,Army West Point,0,14,11,5,17,Defensive
