team,year,link
Air Force Falcons,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=721&stats_player_seq=-100
Air Force Falcons,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=721&stats_player_seq=-100
Air Force Falcons,2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=721&stats_player_seq=-100
Air Force Falcons,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=721&stats_player_seq=-100
Akron Zips,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=5&stats_player_seq=-100
Akron Zips,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=5&stats_player_seq=-100
Akron Zips,2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=5&stats_player_seq=-100
Akron Zips,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=5&stats_player_seq=-100
Alabama Crimson Tide,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=8&stats_player_seq=-100
Alabama Crimson Tide,2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=8&stats_player_seq=-100
Alabama Crimson Tide,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=8&stats_player_seq=-100
Alabama Crimson Tide,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=8&stats_player_seq=-100
Appalachian St. Mountaineers,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=27&stats_player_seq=-100
Appalachian St. Mountaineers,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=27&stats_player_seq=-100
Appalachian St. Mountaineers,2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=27&stats_player_seq=-100
Appalachian St. Mountaineers,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=27&stats_player_seq=-100
Arizona St. Sun Devils,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=28&stats_player_seq=-100
Arizona St. Sun Devils,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=28&stats_player_seq=-100
Arizona St. Sun Devils,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=28&stats_player_seq=-100
Arizona Wildcats,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=29&stats_player_seq=-100
Arizona Wildcats,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=29&stats_player_seq=-100
Arizona Wildcats,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=29&stats_player_seq=-100
Arizona Wildcats,2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=29&stats_player_seq=-100
Arkansas Razorbacks,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=31&stats_player_seq=-100
Arkansas Razorbacks,2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=31&stats_player_seq=-100
Arkansas Razorbacks,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=31&stats_player_seq=-100
Arkansas Razorbacks,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=31&stats_player_seq=-100
Arkansas St. Red Wolves,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=30&stats_player_seq=-100
Arkansas St. Red Wolves,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=30&stats_player_seq=-100
Army West Point Black Knights,2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=725&stats_player_seq=-100
Army West Point Black Knights,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=725&stats_player_seq=-100
Army West Point Black Knights,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=725&stats_player_seq=-100
Army West Point Black Knights,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=725&stats_player_seq=-100
Auburn Tigers,2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=37&stats_player_seq=-100
Auburn Tigers,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=37&stats_player_seq=-100
Auburn Tigers,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=37&stats_player_seq=-100
Auburn Tigers,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=37&stats_player_seq=-100
BYU Cougars,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=77&stats_player_seq=-100
BYU Cougars,2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=77&stats_player_seq=-100
BYU Cougars,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=77&stats_player_seq=-100
BYU Cougars,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=77&stats_player_seq=-100
Ball St. Cardinals,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=47&stats_player_seq=-100
Ball St. Cardinals,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=47&stats_player_seq=-100
Ball St. Cardinals,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=47&stats_player_seq=-100
Ball St. Cardinals,2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=47&stats_player_seq=-100
Baylor Bears,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=51&stats_player_seq=-100
Baylor Bears,2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=51&stats_player_seq=-100
Baylor Bears,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=51&stats_player_seq=-100
Baylor Bears,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=51&stats_player_seq=-100
Boise St. Broncos,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=66&stats_player_seq=-100
Boise St. Broncos,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=66&stats_player_seq=-100
Boise St. Broncos,2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=66&stats_player_seq=-100
Boise St. Broncos,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=66&stats_player_seq=-100
Boston College Eagles,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=67&stats_player_seq=-100
