team,link,txt,key,year
Akron  Zips,http://stats.ncaa.org/teams/history/MFB/5,Team History,history,2014
Akron  Zips,http://stats.ncaa.org/people/25564?sport_code=MFB,Terry Bowden,people,2014
Akron  Zips,http://stats.ncaa.org/team/5/roster/11520,Roster,roster,2014
Akron  Zips,http://stats.ncaa.org/team/5/stats/11520,Team Statistics,stats,2014
Air Force Falcons,http://stats.ncaa.org/teams/history/MFB/721,Team History,history,2014
Air Force Falcons,http://stats.ncaa.org/people/31099?sport_code=MFB,Troy Calhoun,people,2014
Air Force Falcons,http://stats.ncaa.org/team/721/roster/11520,Roster,roster,2014
Air Force Falcons,http://stats.ncaa.org/team/721/stats/11520,Team Statistics,stats,2014
Appalachian St. Mountaineers,http://stats.ncaa.org/teams/history/MFB/27,Team History,history,2014
Appalachian St. Mountaineers,http://stats.ncaa.org/people/41727?sport_code=MFB,Scott Satterfield,people,2014
Appalachian St. Mountaineers,http://stats.ncaa.org/team/27/roster/11520,Roster,roster,2014
Appalachian St. Mountaineers,http://stats.ncaa.org/team/27/stats/11520,Team Statistics,stats,2014
Alabama  Crimson Tide,http://stats.ncaa.org/teams/history/MFB/8,Team History,history,2014
Alabama  Crimson Tide,http://stats.ncaa.org/people/2826?sport_code=MFB,Nick Saban,people,2014
Alabama  Crimson Tide,http://stats.ncaa.org/team/8/roster/11520,Roster,roster,2014
Alabama  Crimson Tide,http://stats.ncaa.org/team/8/stats/11520,Team Statistics,stats,2014
Arizona  Wildcats,http://stats.ncaa.org/teams/history/MFB/29,Team History,history,2014
Arizona  Wildcats,http://stats.ncaa.org/people/3089?sport_code=MFB,Rich Rodriguez,people,2014
Arizona  Wildcats,http://stats.ncaa.org/team/29/roster/11520,Roster,roster,2014
Arizona  Wildcats,http://stats.ncaa.org/team/29/stats/11520,Team Statistics,stats,2014
Arkansas  Razorbacks,http://stats.ncaa.org/teams/history/MFB/31,Team History,history,2014
Arkansas  Razorbacks,http://stats.ncaa.org/people/28008?sport_code=MFB,Bret Bielema,people,2014
Arkansas  Razorbacks,http://stats.ncaa.org/team/31/roster/11520,Roster,roster,2014
Arkansas  Razorbacks,http://stats.ncaa.org/team/31/stats/11520,Team Statistics,stats,2014
Army West Point Black Knights,http://stats.ncaa.org/teams/history/MFB/725,Team History,history,2014
Army West Point Black Knights,http://stats.ncaa.org/people/3078?sport_code=MFB,Rich Ellerson,people,2014
Army West Point Black Knights,http://stats.ncaa.org/team/725/roster/11520,Roster,roster,2014
Army West Point Black Knights,http://stats.ncaa.org/team/725/stats/11520,Team Statistics,stats,2014
Auburn Tigers,http://stats.ncaa.org/teams/history/MFB/37,Team History,history,2014
Auburn Tigers,http://stats.ncaa.org/people/18897?sport_code=MFB,Gus Malzahn,people,2014
Auburn Tigers,http://stats.ncaa.org/team/37/roster/11520,Roster,roster,2014
Auburn Tigers,http://stats.ncaa.org/team/37/stats/11520,Team Statistics,stats,2014
BYU Cougars,http://stats.ncaa.org/teams/history/MFB/77,Team History,history,2014
BYU Cougars,http://stats.ncaa.org/people/24968?sport_code=MFB,Bronco Mendenhall,people,2014
BYU Cougars,http://stats.ncaa.org/team/77/roster/11520,Roster,roster,2014
BYU Cougars,http://stats.ncaa.org/team/77/stats/11520,Team Statistics,stats,2014
Ball St. Cardinals,http://stats.ncaa.org/teams/history/MFB/47,Team History,history,2014
Ball St. Cardinals,http://stats.ncaa.org/people/2969?sport_code=MFB,Pete Lembo,people,2014
Ball St. Cardinals,http://stats.ncaa.org/team/47/roster/11520,Roster,roster,2014
Ball St. Cardinals,http://stats.ncaa.org/team/47/stats/11520,Team Statistics,stats,2014
Baylor Bears,http://stats.ncaa.org/teams/history/MFB/51,Team History,history,2014
Baylor Bears,http://stats.ncaa.org/people/21351?sport_code=MFB,Art Briles,people,2014
Baylor Bears,http://stats.ncaa.org/team/51/roster/11520,Roster,roster,2014
Baylor Bears,http://stats.ncaa.org/team/51/stats/11520,Team Statistics,stats,2014
Boise St. Broncos,http://stats.ncaa.org/teams/history/MFB/66,Team History,history,2014
Boise St. Broncos,http://stats.ncaa.org/people/27999?sport_code=MFB,Chris Petersen,people,2014
Boise St. Broncos,http://stats.ncaa.org/people/43189?sport_code=MFB,Bob Gregory,people,2014
Boise St. Broncos,http://stats.ncaa.org/team/66/roster/11520,Roster,roster,2014
Boise St. Broncos,http://stats.ncaa.org/team/66/stats/11520,Team Statistics,stats,2014
Boston College Eagles,http://stats.ncaa.org/teams/history/MFB/67,Team History,history,2014
Boston College Eagles,http://stats.ncaa.org/people/38547?sport_code=MFB,Steve Addazio,people,2014
Boston College Eagles,http://stats.ncaa.org/team/67/roster/11520,Roster,roster,2014
Boston College Eagles,http://stats.ncaa.org/team/67/stats/11520,Team Statistics,stats,2014
Bowling Green  Falcons,http://stats.ncaa.org/teams/history/MFB/71,Team History,history,2014
Bowling Green  Falcons,http://stats.ncaa.org/people/807?sport_code=MFB,Dave Clawson,people,2014
Bowling Green  Falcons,http://stats.ncaa.org/people/45735?sport_code=MFB,Adam Scheier,people,2014
Bowling Green  Falcons,http://stats.ncaa.org/team/71/roster/11520,Roster,roster,2014
Bowling Green  Falcons,http://stats.ncaa.org/team/71/stats/11520,Team Statistics,stats,2014
Buffalo  Bulls,http://stats.ncaa.org/teams/history/MFB/86,Team History,history,2014
Buffalo  Bulls,http://stats.ncaa.org/people/31016?sport_code=MFB,Jeff Quinn,people,2014
Buffalo  Bulls,http://stats.ncaa.org/team/86/roster/11520,Roster,roster,2014
Buffalo  Bulls,http://stats.ncaa.org/team/86/stats/11520,Team Statistics,stats,2014
California  Golden Bears,http://stats.ncaa.org/teams/history/MFB/107,Team History,history,2014
California  Golden Bears,http://stats.ncaa.org/people/37006?sport_code=MFB,Sonny Dykes,people,2014
California  Golden Bears,http://stats.ncaa.org/team/107/roster/11520,Roster,roster,2014
California  Golden Bears,http://stats.ncaa.org/team/107/stats/11520,Team Statistics,stats,2014
Cincinnati  Bearcats,http://stats.ncaa.org/teams/history/MFB/140,Team History,history,2014
Cincinnati  Bearcats,http://stats.ncaa.org/people/3821?sport_code=MFB,Tommy Tuberville,people,2014
Cincinnati  Bearcats,http://stats.ncaa.org/team/140/roster/11520,Roster,roster,2014
Cincinnati  Bearcats,http://stats.ncaa.org/team/140/stats/11520,Team Statistics,stats,2014
Clemson Tigers,http://stats.ncaa.org/teams/history/MFB/147,Team History,history,2014
Clemson Tigers,http://stats.ncaa.org/people/34932?sport_code=MFB,Dabo Swinney,people,2014
