Jersey,Player,Yr,Pos,GP,GS,SoloTack,G,AsstTack,STFL,ATFL,TackleYds,Tackles,stat,year,team
87,"Hansen, Alexander",Jr,DL,13,13,23,13,33,7,6,25,56,Tackles,2014-15,Air Force Falcons
91,"Timmerman, Troy",Sr,DL,13,13,14,13,12,5,1,23,26,Tackles,2014-15,Air Force Falcons
95,"Cannon, Riley",Sr,DL,13,0,4,13,5,1,nan,2,9,Tackles,2014-15,Air Force Falcons
20,"McHenry, Gavin",Jr,DB,13,6,23,13,11,nan,1,1,34,Tackles,2014-15,Air Force Falcons
13,"Decoud, Justin",Sr,DB,13,8,32,13,9,1,1,8,41,Tackles,2014-15,Air Force Falcons
98,"Beschel, Dillon",Sr,DL,13,0,6,13,6,3,nan,8,12,Tackles,2014-15,Air Force Falcons
30,"Conant, Will",Sr,K,13,0,nan,13,nan,nan,nan,nan,nan,Tackles,2014-15,Air Force Falcons
21,"Spears, Christian",Sr,DB,13,13,52,13,29,nan,3,1,81,Tackles,2014-15,Air Force Falcons
2A,"Mayes, Jordan",Sr,DB,13,9,37,13,12,2,nan,3,49,Tackles,2014-15,Air Force Falcons
94,"Oehrle, Drew",Jr,K,13,0,1,13,nan,nan,nan,nan,1,Tackles,2014-15,Air Force Falcons
72,"Rochell, Matt",Jr,OL,13,13,nan,13,nan,nan,nan,nan,nan,Tackles,2014-15,Air Force Falcons
58,"Ruechel, Andrew",Jr,OL,13,13,nan,13,nan,nan,nan,nan,nan,Tackles,2014-15,Air Force Falcons
9,"Robinette, Jalen",So,WR,13,11,1,13,nan,nan,nan,nan,1,Tackles,2014-15,Air Force Falcons
8,"Steelhammer, Weston",So,DB,13,11,42,13,19,6,nan,19,61,Tackles,2014-15,Air Force Falcons
25,"Ladipo, Roland",So,DB,13,0,5,13,5,nan,nan,nan,10,Tackles,2014-15,Air Force Falcons
5R,"Rushing, Devin",Jr,RB,13,3,nan,13,nan,nan,nan,nan,nan,Tackles,2014-15,Air Force Falcons
29,"Linn, Hayes",So,DB,13,0,3,13,2,nan,nan,nan,5,Tackles,2014-15,Air Force Falcons
47,"Alexander, Claude",So,LB,13,0,2,13,2,nan,nan,nan,4,Tackles,2014-15,Air Force Falcons
46,"Dreslinski, Nate",Sr,TE,13,1,nan,13,nan,nan,nan,nan,nan,Tackles,2014-15,Air Force Falcons
6,"Healy, Connor",Jr,LB,13,13,44,13,46,3,5,29,90,Tackles,2014-15,Air Force Falcons
97,"Fitzgerald, Nick",Sr,DL,13,13,15,13,11,5,2,29,26,Tackles,2014-15,Air Force Falcons
51,"Pierce, Jordan",Sr,LB,13,12,61,13,56,16,7,71,117,Tackles,2014-15,Air Force Falcons
65,"Husar, Jr., Michael",Sr,OL,13,13,nan,13,nan,nan,nan,nan,nan,Tackles,2014-15,Air Force Falcons
36,"Proctor, Spencer",Sr,LB,13,13,30,13,17,9,3,32,47,Tackles,2014-15,Air Force Falcons
64,"Noyes, Patrick",Sr,OL,12,10,nan,12,nan,nan,nan,nan,nan,Tackles,2014-15,Air Force Falcons
11,"Barnes, Myles",Jr,WR,12,0,nan,12,nan,nan,nan,nan,nan,Tackles,2014-15,Air Force Falcons
53,"Harris, David",So,DL,12,0,9,12,7,3,1,17,16,Tackles,2014-15,Air Force Falcons
40,"Watson, Ryan",So,DL,12,0,8,12,6,3,nan,9,14,Tackles,2014-15,Air Force Falcons
60,"Manuel, Jimmy",Sr,OL,12,0,nan,12,nan,nan,nan,nan,nan,Tackles,2014-15,Air Force Falcons
2,"Pearson, Kale",Sr,QB,12,12,1,12,nan,nan,nan,nan,1,Tackles,2014-15,Air Force Falcons
10,"Apfel, Cody",Jr,WR,12,0,3,12,4,nan,nan,nan,7,Tackles,2014-15,Air Force Falcons
80,"Griffin, Garrett",Jr,TE,12,10,1,12,nan,nan,nan,nan,1,Tackles,2014-15,Air Force Falcons
66,"Elliott, Harrison",Sr,OL,12,0,nan,12,1,nan,nan,nan,1,Tackles,2014-15,Air Force Falcons
7,"Brown, Garrett",Jr,WR,12,8,nan,12,1,nan,nan,nan,1,Tackles,2014-15,Air Force Falcons
48,"Onyechi, Jacob",So,LB,12,1,6,12,11,nan,1,4,17,Tackles,2014-15,Air Force Falcons
5,"Walker, Dexter",Jr,DB,12,12,27,12,19,3,1,5,46,Tackles,2014-15,Air Force Falcons
92,"Dunn, Brett",Jr,K,11,0,nan,11,nan,nan,nan,nan,nan,Tackles,2014-15,Air Force Falcons
43,"Davern, Shayne",So,RB,11,9,nan,11,1,nan,nan,nan,1,Tackles,2014-15,Air Force Falcons
24,"Lee, Jonathan",Sr,RB,11,1,1,11,nan,nan,nan,nan,1,Tackles,2014-15,Air Force Falcons
85,"Hendricks, Marcus",Sr,TE,11,4,1,11,1,nan,nan,nan,2,Tackles,2014-15,Air Force Falcons
56,"Sandor, Colin",So,OL,11,6,nan,11,nan,nan,nan,nan,nan,Tackles,2014-15,Air Force Falcons
41,"Healy, Patrick",So,LB,11,0,1,11,4,nan,nan,nan,5,Tackles,2014-15,Air Force Falcons
3,"Johnson, D.J.",So,RB,11,2,nan,11,nan,nan,nan,nan,nan,Tackles,2014-15,Air Force Falcons
4,"Baker, Kalon",Jr,DB,10,0,4,10,3,nan,nan,nan,7,Tackles,2014-15,Air Force Falcons
22,"Solano, Paco",Sr,RB,10,0,1,10,nan,nan,nan,nan,1,Tackles,2014-15,Air Force Falcons
28,"Owens, Jocobi",So,RB,10,10,nan,10,nan,nan,nan,nan,nan,Tackles,2014-15,Air Force Falcons
99,"Lacy, Jalen",So,DL,10,0,3,10,nan,nan,nan,nan,3,Tackles,2014-15,Air Force Falcons
17,"Byrd, Jamal",Sr,DB,10,2,9,10,7,nan,nan,nan,16,Tackles,2014-15,Air Force Falcons
63,"Jones, David",Sr,OL,9,5,nan,9,nan,nan,nan,nan,nan,Tackles,2014-15,Air Force Falcons
15,"Ludowig, Alex",Jr,WR,9,2,nan,9,nan,nan,nan,nan,nan,Tackles,2014-15,Air Force Falcons
82,"Link, Keith",Sr,TE,9,0,nan,9,nan,nan,nan,nan,nan,Tackles,2014-15,Air Force Falcons
14,"Huntsman, Colton",Sr,WR,9,2,1,9,2,nan,nan,nan,3,Tackles,2014-15,Air Force Falcons
23,"Galland, Matt",So,WR,7,0,nan,7,nan,nan,nan,nan,nan,Tackles,2014-15,Air Force Falcons
12,"Chubb, Zach",So,DB,7,0,1,7,1,nan,nan,nan,2,Tackles,2014-15,Air Force Falcons
75,"Brantley, Luke",Jr,OL,7,0,nan,7,nan,nan,nan,nan,nan,Tackles,2014-15,Air Force Falcons
39,"Wharton, Donnie",Sr,LB,7,0,3,7,1,1,nan,6,4,Tackles,2014-15,Air Force Falcons
32,"Hart, Broam",Sr,RB,7,2,nan,7,nan,nan,nan,nan,nan,Tackles,2014-15,Air Force Falcons
44,"Ross, Grant",nan,nan,6,0,1,6,1,nan,nan,nan,2,Tackles,2014-15,Air Force Falcons
6A,"Romine, Nate",So,QB,5,1,nan,5,1,nan,nan,nan,1,Tackles,2014-15,Air Force Falcons
79,"Green, Robert",Sr,DL,5,0,1,5,3,nan,nan,nan,4,Tackles,2014-15,Air Force Falcons
49,"Nichol, Joey",Sr,LB,4,1,2,4,1,nan,nan,nan,3,Tackles,2014-15,Air Force Falcons
73,"Caunitz, Allen",So,OL,4,1,nan,4,nan,nan,nan,nan,nan,Tackles,2014-15,Air Force Falcons
93,"Byers, Samuel",So,DL,4,0,nan,4,nan,nan,nan,nan,nan,Tackles,2014-15,Air Force Falcons
34,"Dunn, Haji",So,LB,3,0,1,3,2,nan,nan,nan,3,Tackles,2014-15,Air Force Falcons
16,"Roberts, Karson",Jr,QB,3,0,nan,3,nan,nan,nan,nan,nan,Tackles,2014-15,Air Force Falcons
27,"Driskell, Bryan",So,RB,3,0,nan,3,nan,nan,nan,nan,nan,Tackles,2014-15,Air Force Falcons
52,"Halloran, Patrick",So,OL,3,0,nan,3,nan,nan,nan,nan,nan,Tackles,2014-15,Air Force Falcons
74,"Remmo, Sevrin",Jr,OL,3,3,nan,3,nan,nan,nan,nan,nan,Tackles,2014-15,Air Force Falcons
70,"Uzo-Okereke, Ar",Jr,OL,3,0,nan,3,nan,nan,nan,nan,nan,Tackles,2014-15,Air Force Falcons
67,"Vail, Dylan",So,OL,2,0,nan,2,nan,nan,nan,nan,nan,Tackles,2014-15,Air Force Falcons
18,"Hicks, Brodie",Fr,WR,2,0,2,2,nan,nan,nan,nan,2,Tackles,2014-15,Air Force Falcons
2W,"Williams, Tyler",Fr,QB,2,0,nan,2,nan,nan,nan,nan,nan,Tackles,2014-15,Air Force Falcons
69,"Darling, Daniel",So,OL,2,0,nan,2,nan,nan,nan,nan,nan,Tackles,2014-15,Air Force Falcons
26,"Hancock, Tucker",nan,nan,2,0,nan,2,nan,nan,nan,nan,nan,Tackles,2014-15,Air Force Falcons
42,"George, Kristov",Jr,LB,1,0,nan,1,nan,nan,nan,nan,nan,Tackles,2014-15,Air Force Falcons
54,"Bungum, Dylan",Sr,DL,1,0,nan,1,nan,nan,nan,nan,nan,Tackles,2014-15,Air Force Falcons
33,"Clinton-Earl, Aaron",Jr,RB,1,0,nan,1,nan,nan,nan,nan,nan,Tackles,2014-15,Air Force Falcons
19,"Hill, Brayden",So,DB,1,0,nan,1,nan,nan,nan,nan,nan,Tackles,2014-15,Air Force Falcons
3W,"Bronkar, Cody",Fr,WR,1,0,nan,1,nan,nan,nan,nan,nan,Tackles,2014-15,Air Force Falcons
38,"Cleveland, Kellen",So,LB,1,0,nan,1,nan,nan,nan,nan,nan,Tackles,2014-15,Air Force Falcons
4R,"Hester, Scott",So,RB,1,0,nan,1,nan,nan,nan,nan,nan,Tackles,2014-15,Air Force Falcons
57,"Sutton, Michael",Fr,OL,1,0,nan,1,nan,nan,nan,nan,nan,Tackles,2014-15,Air Force Falcons
61,"Wilson, Jackson",So,OL,1,0,nan,1,nan,nan,nan,nan,nan,Tackles,2014-15,Air Force Falcons
89,"Zuberer, Grayson",So,TE,1,0,nan,1,nan,nan,nan,nan,nan,Tackles,2014-15,Air Force Falcons
90,"Allen, Reed",Jr,DL,1,0,nan,1,nan,nan,nan,nan,nan,Tackles,2014-15,Air Force Falcons
