Jersey,Player,Yr,Pos,GP,GS,FumblesRecovered,Int,FumblesLost,Interceptions,stat,year,team
91,"Timmerman, Troy",Sr,DL,13,13,2.0,nan,nan,nan,Turnover Margin,2014-15,Air Force Falcons
20,"McHenry, Gavin",Jr,DB,13,6,1.0,1.0,nan,nan,Turnover Margin,2014-15,Air Force Falcons
21,"Spears, Christian",Sr,DB,13,13,nan,1.0,nan,nan,Turnover Margin,2014-15,Air Force Falcons
8,"Steelhammer, Weston",So,DB,13,11,2.0,6.0,nan,nan,Turnover Margin,2014-15,Air Force Falcons
5R,"Rushing, Devin",Jr,RB,13,3,nan,nan,1.0,nan,Turnover Margin,2014-15,Air Force Falcons
6,"Healy, Connor",Jr,LB,13,13,1.0,nan,nan,nan,Turnover Margin,2014-15,Air Force Falcons
97,"Fitzgerald, Nick",Sr,DL,13,13,1.0,nan,nan,nan,Turnover Margin,2014-15,Air Force Falcons
51,"Pierce, Jordan",Sr,LB,13,12,nan,2.0,nan,nan,Turnover Margin,2014-15,Air Force Falcons
2,"Pearson, Kale",Sr,QB,12,12,nan,nan,3.0,3.0,Turnover Margin,2014-15,Air Force Falcons
80,"Griffin, Garrett",Jr,TE,12,10,nan,nan,1.0,nan,Turnover Margin,2014-15,Air Force Falcons
7,"Brown, Garrett",Jr,WR,12,8,nan,nan,1.0,nan,Turnover Margin,2014-15,Air Force Falcons
5,"Walker, Dexter",Jr,DB,12,12,1.0,nan,nan,nan,Turnover Margin,2014-15,Air Force Falcons
43,"Davern, Shayne",So,RB,11,9,nan,nan,1.0,nan,Turnover Margin,2014-15,Air Force Falcons
24,"Lee, Jonathan",Sr,RB,11,1,nan,nan,1.0,nan,Turnover Margin,2014-15,Air Force Falcons
3,"Johnson, D.J.",So,RB,11,2,nan,nan,1.0,nan,Turnover Margin,2014-15,Air Force Falcons
28,"Owens, Jocobi",So,RB,10,10,nan,nan,2.0,nan,Turnover Margin,2014-15,Air Force Falcons
